Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
AIRFLOW-5306,2019-08-27 05:17:37 +0000,airflow/www/templates/airflow/dag.html|,21,22,22,2019-08-24 11:02:50 +0000,2019-08-27 07:16:57 +0200,bb3379bbcf0f9558bcdaa3c76a74af44b7be472e,airflow
AIRFLOW-4459,2019-05-07 05:13:08 +0000,airflow/www/views.py|,20,21,21,2019-05-04 07:22:09 +0000,2019-05-06 22:12:15 -0700,1755c358d40e515ac91d8a23dad18bade68e6cd1,airflow
AIRFLOW-5301,2019-08-23 20:35:18 +0000,scripts/ci/docker-compose-local.yml|,21,22,22,2019-08-23 17:47:33 +0000,2019-08-23 16:16:00 -0400,aacf9ba1a6d367efa35d2812b7aec7d36c1a23dd,airflow
AIRFLOW-5302,2019-08-24 08:58:45 +0000,airflow/ti_deps/deps/trigger_rule_dep.py|tests/ti_deps/deps/test_trigger_rule_dep.py|,21,22,22,2019-08-23 19:49:43 +0000,2019-08-24 09:58:31 +0100,f14947cfb36e564299c0ef2cf191ea309759c4ed,airflow
AIRFLOW-4455,2019-05-13 17:40:48 +0000,airflow/models/dag.py|tests/models/test_dag.py|tests/www/test_views.py|,20,21,21,2019-05-03 00:44:39 +0000,2019-05-13 10:40:35 -0700,118492e82bcd5207ef1d09c569c31a1243553d82,airflow
AIRFLOW-2030,2018-01-26 19:03:31 +0000,airflow/hooks/dbapi_hook.py|,16,17,17,2018-01-25 08:27:07 +0000,2018-01-26 20:03:05 +0100,0565bdc4ea8c9625eac253865bb91aac293d0300,airflow
AIRFLOW-1184,2017-07-12 09:28:35 +0000,airflow/contrib/hooks/spark_submit_hook.py|tests/contrib/hooks/test_spark_submit_hook.py|tests/contrib/operators/test_spark_submit_operator.py|,13,15,15,2017-05-09 16:04:24 +0000,2017-07-12 11:27:39 +0200,f5ffb9deb51e896cdda8992c8b28102f7d650662,airflow
AIRFLOW-4450,2019-05-01 22:33:43 +0000,airflow/www/decorators.py|,20,21,21,2019-05-01 00:42:16 +0000,2019-05-01 23:32:11 +0100,52b121797b328383cd39905ef762fc79e2e6a653,airflow
AIRFLOW-4451,2019-07-30 05:41:13 +0000,airflow/models/baseoperator.py|tests/models/test_dag.py|tests/operators/test_python_operator.py|,20,21,21,2019-05-01 02:30:05 +0000,2019-07-30 07:32:22 +0200,6e425f4c7a6937be5df8eef5ae1f9886c2c2aa66,airflow
AIRFLOW-4452,2019-05-02 04:50:10 +0000,setup.py|,18,21,21,2019-05-02 03:44:57 +0000,2019-05-01 21:48:36 -0700,406882f5e5b271d2f9aef98f56d197c9b8b6784f,airflow
AIRFLOW-3366,2018-11-25 22:03:47 +0000,airflow/config_templates/default_celery.py|airflow/configuration.py|tests/test_configuration.py|,17,18,19,2018-11-19 13:33:50 +0000,2018-11-25 23:03:04 +0100,930e2ff7ee63ba44c77d4839674448f99c7fc605,airflow
AIRFLOW-1187,2017-05-10 16:28:56 +0000,docs/configuration.rst|docs/installation.rst|docs/start.rst|,14,15,15,2017-05-10 10:12:19 +0000,2017-05-10 09:28:22 -0700,72cf07b489dfd317e37aaff5d2416e689c7d99c7,airflow
AIRFLOW-3365,2018-11-25 22:03:30 +0000,airflow/config_templates/default_celery.py|airflow/configuration.py|tests/test_configuration.py|,17,18,19,2018-11-19 13:32:57 +0000,2018-11-25 23:03:04 +0100,930e2ff7ee63ba44c77d4839674448f99c7fc605,airflow
