Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
AMQNET-323,2011-03-31 22:02:50 +0000,src/main/csharp/MessageConsumer.cs|src/test/csharp/AMQRedeliveryPolicyTest.cs|,7,8,8,2011-03-30 23:27:38 +0000,2011-03-31 21:59:56 +0000,998154d19c58aaa28f8e2dc88114dbee22caf71d,activemq-nms-openwire
AMQNET-202,2009-10-30 14:36:52 +0000,src/main/csharp/MessageConsumer.cs|src/main/csharp/Session.cs|,2,3,3,2009-10-30 13:07:44 +0000,2009-10-30 14:36:06 +0000,4d6b155893a11bfd833b5403ca2e200e12d4585b,activemq-nms-openwire
AMQNET-435,2013-04-29 17:32:23 +0000,src/main/csharp/State/ConnectionState.cs|src/main/csharp/State/ConnectionStateTracker.cs|src/main/csharp/State/SessionState.cs|src/main/csharp/State/TransactionState.cs|src/main/csharp/Util/LRUCache.cs|src/test/csharp/State/ConnectionStateTest.cs|src/test/csharp/State/ConnectionStateTrackerTest.cs|src/test/csharp/State/ConsumerStateTest.cs|src/test/csharp/State/ProducerStateTest.cs|src/test/csharp/State/SessionStateTest.cs|src/test/csharp/State/TransactionStateTest.cs|,13,14,14,2013-04-29 17:27:14 +0000,2013-04-29 17:31:07 +0000,7315c11658aa26a337e3bbafa608f7903840b6bd,activemq-nms-openwire
AMQNET-434,2013-04-30 21:17:48 +0000,src/main/csharp/State/ConnectionStateTracker.cs|,13,14,14,2013-04-26 13:25:47 +0000,2013-04-30 21:16:59 +0000,72274885c83dbf73ca132c790b723782de096fcf,activemq-nms-openwire
AMQNET-330,2011-06-14 23:08:14 +0000,src/main/csharp/Transport/Failover/FailoverTransport.cs|src/main/csharp/Transport/ITransport.cs|src/main/csharp/Transport/Mock/MockTransport.cs|src/main/csharp/Transport/MutexTransport.cs|src/main/csharp/Transport/Tcp/TcpTransport.cs|src/main/csharp/Transport/TransportFilter.cs|,8,9,9,2011-06-14 20:51:13 +0000,2011-06-14 22:41:40 +0000,2cf4016544a4ec0a6b532288d88f845463bc43b6,activemq-nms-openwire
AMQNET-450,2013-10-29 13:53:44 +0000,src/main/csharp/NetTxTransactionContext.cs|,14,15,16,2013-10-15 06:38:07 +0000,2013-10-29 13:52:09 +0000,a0effa852e7fef9da976f62ef8105d826ade9020,activemq-nms-openwire
AMQNET-334,2011-07-08 19:32:07 +0000,vs2008-activemq-test.csproj|vs2008-activemq.csproj|,8,9,9,2011-07-06 07:30:07 +0000,2011-07-08 18:01:31 +0000,f7b8eff0e8d2bb203af9db5ad0e40fe3c1bb92c3,activemq-nms-openwire
AMQNET-331,2011-06-18 00:17:46 +0000,src/main/csharp/Connection.cs|src/main/csharp/State/ConnectionState.cs|src/main/csharp/State/ConnectionStateTracker.cs|src/main/csharp/State/SynchronizedObjects.cs|src/main/csharp/Transport/MutexTransport.cs|,8,9,9,2011-06-17 23:25:25 +0000,2011-06-18 00:11:21 +0000,adf23c10d224cf592c1ead5934c0d21f311f94fe,activemq-nms-openwire
AMQNET-448,2013-10-09 16:17:52 +0000,src/main/csharp/Transport/Failover/FailoverTransport.cs|,14,15,15,2013-10-09 16:13:01 +0000,2013-10-09 16:14:22 +0000,da07a2791b6a8a62b15ebb117b57ff168c183fba,activemq-nms-openwire
AMQNET-326,2011-04-22 21:13:35 +0000,src/main/csharp/TransactionContext.cs|,7,8,8,2011-04-08 13:35:37 +0000,2011-05-12 13:58:19 +0000,9e8ed0138e726b3f28a6492b1ae1ae724b02ee01,activemq-nms-openwire
AMQNET-449,2013-10-09 21:57:22 +0000,src/main/csharp/Connection.cs|src/main/csharp/Session.cs|src/main/csharp/State/ConnectionStateTracker.cs|,14,15,15,2013-10-09 21:53:43 +0000,2013-10-09 21:54:27 +0000,70f0612723c199e8dd0b947e6e636a68c4385465,activemq-nms-openwire
AMQNET-340,2011-11-01 18:16:10 +0000,src/test/csharp/Commands/ActiveMQMessageTest.cs|,7,9,9,2011-08-23 18:17:00 +0000,2011-11-01 18:15:54 +0000,00a2144ffe4d251a2a3c1cb88ca19587560d6f2d,activemq-nms-openwire
AMQNET-460,2013-11-14 16:29:27 +0000,src/main/csharp/MessageConsumer.cs|,14,16,16,2013-11-14 11:48:27 +0000,2013-11-14 16:26:56 +0000,c46ced5401ad1e6b1d03ed2ffa66baff83e38860,activemq-nms-openwire
AMQNET-344,2011-11-02 21:09:54 +0000,src/main/csharp/Transport/Failover/FailoverTransport.cs|src/main/csharp/Transport/InactivityMonitor.cs|,6,9,9,2011-11-02 19:48:18 +0000,2011-11-02 21:05:47 +0000,f3a27efc7e7745e3a2c6d029a524ff8bbc07edc5,activemq-nms-openwire
AMQNET-343,2011-09-17 00:26:47 +0000,nmsprovider-test.config|src/main/csharp/Transport/InactivityMonitor.cs|src/test/csharp/NetTxConnectionFactoryTest.cs|src/test/csharp/OpenWire/MaxInactivityDurationTest.cs|,8,9,9,2011-09-17 00:22:36 +0000,2011-09-17 00:24:27 +0000,527369b3b17c0b05a6d665ac9ea00dac00e94ed3,activemq-nms-openwire
AMQNET-342,2011-09-29 18:48:47 +0000,src/main/csharp/MessageConsumer.cs|src/main/csharp/Session.cs|,8,9,9,2011-09-13 11:00:06 +0000,2011-09-29 18:47:53 +0000,3ab0f755debf5aa077d7b4a39dce560fbe6dfe1e,activemq-nms-openwire
AMQNET-338,2014-04-09 23:06:24 +0000,src/main/csharp/Transport/Tcp/TcpTransport.cs|,8,9,16,2011-08-04 22:42:44 +0000,2013-12-11 19:56:34 +0000,c4829fece925d683c23e031a1131b5406d0f5a6c,activemq-nms-openwire
AMQNET-336,2011-11-12 21:36:00 +0000,nant.build|src/main/csharp/Transport/Tcp/SslTransportFactory.cs|,8,9,9,2011-07-11 22:24:50 +0000,2011-11-12 21:35:34 +0000,a2837a17a9cdebe41d2e7197f83ff23f396b8a69,activemq-nms-openwire
AMQNET-456,2013-10-29 15:43:27 +0000,src/main/csharp/Transport/TransportFactory.cs|,14,16,16,2013-10-29 15:13:29 +0000,2013-10-29 15:40:08 +0000,492038e2e56abeb8bc9174a29c4830af50e74dd5,activemq-nms-openwire
AMQNET-339,2011-09-29 18:33:06 +0000,src/main/csharp/Transport/InactivityMonitor.cs|,8,9,9,2011-08-15 12:31:39 +0000,2011-09-29 18:28:20 +0000,9ad498e1f14b9b0803a599ffef29e7231668089b,activemq-nms-openwire
AMQNET-218,2010-02-04 20:27:29 +0000,src/main/csharp/Threads/DedicatedTaskRunner.cs|,3,3,4,2009-12-10 18:57:58 +0000,2010-02-03 19:30:51 +0000,e8769b76f0e4f45db334de4674c700edcacfb4bd,activemq-nms-openwire
AMQNET-352,2011-11-21 23:26:13 +0000,src/test/csharp/Transport/failover/FailoverTransactionTest.cs|,9,10,10,2011-11-21 22:31:42 +0000,2011-11-21 22:51:07 +0000,276ccfffa9da72ec3484a996159f35790fadca12,activemq-nms-openwire
AMQNET-471,2014-08-28 15:56:37 +0000,src/main/csharp/Commands/MessageDispatch.cs|src/main/csharp/Connection.cs|src/main/csharp/MessageConsumer.cs|src/main/csharp/Session.cs|src/main/csharp/TransactionContext.cs|src/main/csharp/Util/FifoMessageDispatchChannel.cs|src/main/csharp/Util/MessageDispatchChannel.cs|src/main/csharp/Util/SimplePriorityMessageDispatchChannel.cs|src/test/csharp/Transport/failover/FailoverTransactionTest.cs|,16,17,18,2014-02-21 10:44:02 +0000,2014-08-28 14:30:49 +0000,cf096d5c739ed55b8538460e7fa000a96b625ed9,activemq-nms-openwire
AMQNET-235,2010-02-18 22:30:09 +0000,src/main/csharp/Connection.cs|src/main/csharp/Session.cs|,3,4,4,2010-02-18 21:13:16 +0000,2010-02-18 22:27:37 +0000,2f6f613a4803dc9213ba25c50a86dfc2a0b5498b,activemq-nms-openwire
AMQNET-114,2008-09-10 00:21:01 +0000,nant.build|nmsprovider-test.config|src/main/csharp/Commands/WireFormatInfo.cs|src/main/csharp/Connection.cs|src/main/csharp/OpenWire/OpenWireFormat.cs|src/main/csharp/OpenWire/PrimitiveMap.cs|src/test/csharp/OpenWire/MaxInactivityDurationTest.cs|vs2008-activemq-test.csproj|vs2008-activemq.csproj|,1,2,2,2008-09-09 18:09:14 +0000,2008-09-10 00:20:49 +0000,7e82b88bfcda0586e80aba28cca1095676e46e1f,activemq-nms-openwire
AMQNET-475,2014-04-09 23:56:50 +0000,src/main/csharp/Session.cs|,14,17,17,2014-04-09 23:12:19 +0000,2014-04-09 23:55:39 +0000,7c01110a7a18122d68af417c49c1d4a59e16ce0e,activemq-nms-openwire
AMQNET-112,2008-09-17 20:39:24 +0000,src/main/csharp/Transport/Tcp/TcpTransport.cs|,1,2,2,2008-09-08 15:49:12 +0000,2008-09-17 18:58:53 +0000,89c07eaaf7c9e8db229cf9387ba11c3cceafdd58,activemq-nms-openwire
AMQNET-474,2014-08-29 15:31:22 +0000,src/main/csharp/NetTxTransactionContext.cs|,16,17,18,2014-03-19 12:50:03 +0000,2014-08-29 15:12:09 +0000,5b391fefb0eb4bac176adedbec3a7b657cdcb5f2,activemq-nms-openwire
AMQNET-353,2011-11-22 20:55:58 +0000,src/main/csharp/State/ConnectionState.cs|src/main/csharp/State/ConnectionStateTracker.cs|src/main/csharp/State/ConsumerState.cs|src/main/csharp/State/ProducerState.cs|src/main/csharp/State/SessionState.cs|src/main/csharp/State/SynchronizedObjects.cs|src/main/csharp/State/Tracked.cs|src/main/csharp/State/TransactionState.cs|src/test/csharp/Transport/failover/FailoverTransactionTest.cs|,9,10,10,2011-11-22 15:36:01 +0000,2011-11-22 20:44:50 +0000,60dcd66eccbfa3d5d789c9bee618daf2f0aafd05,activemq-nms-openwire
AMQNET-228,2010-01-20 23:47:54 +0000,src/test/csharp/NMSConnectionFactoryTest.cs|,3,4,4,2010-01-20 23:27:27 +0000,2010-01-21 15:38:14 +0000,b227c40a78e46409e4e542257a53b7d0da97f828,activemq-nms-openwire
