Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
ARIES-623,2011-05-16 08:23:24 +0000,blueprint/blueprint-itests/src/test/java/org/apache/aries/blueprint/itests/BlueprintContainerTest.java|,3,7,7,2011-03-29 12:35:05 +0000,2011-04-04 06:13:36 +0000,9b06cbca707c2730cd684013480a5e3d8ba27066,aries
ARIES-867,2012-07-25 07:17:37 +0000,blueprint/blueprint-core/src/main/java/org/apache/aries/blueprint/container/BlueprintContainerImpl.java|,5,9,9,2012-07-05 09:22:30 +0000,2012-07-25 07:16:09 +0000,0edae3f2c683d56503c2045f6484c911ff40749b,aries
ARIES-872,2012-07-18 20:09:15 +0000,jpa/jpa-container/src/main/java/org/apache/aries/jpa/container/parsing/impl/PersistenceDescriptorParserImpl.java|jpa/jpa-container/src/main/java/org/apache/aries/jpa/container/parsing/impl/SchemaLocatingHandler.java|jpa/jpa-container/src/main/resources/org/apache/aries/jpa/container/nls/jpaContainerMessages.properties|jpa/jpa-container/src/test/java/org/apache/aries/jpa/container/parsing/PersistenceXMLParsingTest.java|jpa/jpa-container/src/test/resources/file26/META-INF/persistence.xml|jpa/jpa-container/src/test/resources/file27/META-INF/persistence.xml|,3,9,9,2012-07-10 14:38:29 +0000,2012-07-18 20:07:39 +0000,8d5fd092a24fd23290ae135605e50e31c4abed1b,aries
ARIES-634,2011-04-19 08:26:33 +0000,jpa/jpa-container/src/main/java/org/apache/aries/jpa/container/annotation/impl/AnnotationScanner.java|,3,7,7,2011-04-18 17:20:58 +0000,2011-04-20 15:38:06 +0000,8a25a966cf78e5c3b3860bb2e5761f26f899d041,aries
ARIES-635,2011-04-18 20:16:08 +0000,application/application-management/src/main/resources/org/apache/aries/application/management/messages/AppManagementMessages.properties|,4,7,7,2011-04-18 19:42:28 +0000,2011-04-18 19:48:19 +0000,5cdf7925a43591b0b6f0261d3828c347ae4cec5c,aries
ARIES-402,2010-09-16 18:59:00 +0000,samples/ariestrader/assemblies/equinox-test-harness/src/main/resources/tradeDB.sql|samples/ariestrader/modules/ariestrader-entities/src/main/java/org/apache/aries/samples/ariestrader/entities/AccountDataBeanImpl.java|samples/ariestrader/modules/ariestrader-entities/src/main/java/org/apache/aries/samples/ariestrader/entities/AccountProfileDataBeanImpl.java|samples/ariestrader/modules/ariestrader-entities/src/main/java/org/apache/aries/samples/ariestrader/entities/HoldingDataBeanImpl.java|samples/ariestrader/modules/ariestrader-entities/src/main/java/org/apache/aries/samples/ariestrader/entities/OrderDataBeanImpl.java|samples/ariestrader/modules/ariestrader-entities/src/main/java/org/apache/aries/samples/ariestrader/entities/QuoteDataBeanImpl.java|samples/ariestrader/modules/ariestrader-web/src/main/java/org/apache/aries/samples/ariestrader/web/TradeBuildDB.java|samples/ariestrader/modules/ariestrader-web/src/main/java/org/apache/aries/samples/ariestrader/web/TradeConfigServlet.java|samples/ariestrader/modules/ariestrader-web/src/main/resources/dbscripts/db2/Table.ddl|samples/ariestrader/modules/ariestrader-web/src/main/resources/dbscripts/derby/Table.ddl|samples/ariestrader/modules/ariestrader-web/src/main/resources/dbscripts/oracle/Table.ddl|samples/ariestrader/modules/ariestrader-web/src/main/resources/dbscripts/other/Table.ddl|,1,3,3,2010-09-07 22:17:01 +0000,2010-09-07 22:18:50 +0000,d46ebdef4caf36feeea1040ba4217d3c8418f770,aries
ARIES-407,2010-09-14 13:18:50 +0000,jpa/jpa-container/src/main/java/org/apache/aries/jpa/container/unit/impl/TempBundleDelegatingClassLoader.java|,1,3,3,2010-09-14 10:39:34 +0000,2010-09-14 13:16:44 +0000,423803e122139b050388a53d4c8a3877c5b83845,aries
ARIES-405,2010-09-14 09:25:29 +0000,jmx/jmx-core/src/main/java/org/apache/aries/jmx/util/FrameworkUtils.java|jmx/jmx-core/src/test/java/org/apache/aries/jmx/util/FrameworkUtilsTest.java|,1,3,3,2010-09-14 09:13:55 +0000,2010-09-14 09:24:52 +0000,40db8780b984b9335a13f2897b617427292bff16,aries
ARIES-406,2010-09-15 10:57:36 +0000,transaction/transaction-blueprint/src/main/java/org/apache/aries/transaction/TxComponentMetaDataHelperImpl.java|transaction/transaction-blueprint/src/main/resources/org/apache/aries/transaction/parsing/transactionv11.xsd|transaction/transaction-blueprint/src/test/java/org/apache/aries/transaction/NameSpaceHandlerTest.java|transaction/transaction-blueprint/src/test/resources/org/apache/aries/transaction/aries2.xml|transaction/transaction-blueprint/src/test/resources/org/apache/aries/transaction/aries3.xml|transaction/transaction-blueprint/src/test/resources/org/apache/aries/transaction/aries4.xml|transaction/transaction-blueprint/src/test/resources/org/apache/aries/transaction/aries5.xml|transaction/transaction-blueprint/src/test/resources/org/apache/aries/transaction/aries6.xml|,2,3,3,2010-09-14 10:06:42 +0000,2010-09-14 14:40:40 +0000,f8e92867f657c9187e3f39c5012d6d569e7d9fe5,aries
ARIES-894,2012-07-31 17:12:01 +0000,blueprint/blueprint-core/src/main/java/org/apache/aries/blueprint/container/BeanRecipe.java|blueprint/blueprint-core/src/main/java/org/apache/aries/blueprint/utils/ReflectionUtils.java|,5,9,9,2012-07-31 10:41:42 +0000,2012-07-31 17:23:51 +0000,3c3639f0935aa65e0e00bad068404d74b0bd394c,aries
