Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
ARROW-3399,2019-04-17 05:08:28 +0000,python/pyarrow/serialization.py|python/pyarrow/tests/test_serialization.py|,14,15,22,2018-10-02 06:32:05 +0000,2019-04-16 22:08:20 -0700,7561027ea09925f3077c2deb047f8a9c7dfb7ded,arrow
ARROW-2072,2018-02-01 13:19:48 +0000,python/pyarrow/tests/test_types.py|python/pyarrow/types.pxi|,10,11,11,2018-02-01 07:48:26 +0000,2018-02-01 08:19:42 -0500,1ed4019a2249be68de81854c79acf5f353c18d51,arrow
ARROW-723,2017-04-01 15:19:18 +0000,python/pyarrow/_parquet.pyx|python/pyarrow/parquet.py|python/pyarrow/tests/test_parquet.py|,2,3,3,2017-03-28 11:45:02 +0000,2017-04-01 11:19:09 -0400,fd000964d218b355e725d8eced1d1301f36dc092,arrow
ARROW-2070,2018-01-31 21:34:22 +0000,python/setup.py|,10,11,11,2018-01-31 17:34:19 +0000,2018-01-31 16:34:14 -0500,0e04f6d2bd6984b5afd33ae0dd1b9eae96a681a9,arrow
ARROW-4694,2019-04-29 16:06:31 +0000,ci/detect-changes.py|,19,20,22,2019-02-27 14:30:01 +0000,2019-04-29 18:06:23 +0200,56a1292fe2dae172e096ef633bfd27d8c866d667,arrow
ARROW-2033,2018-01-30 15:17:03 +0000,cpp/src/arrow/python/builtin_convert.cc|cpp/src/arrow/python/builtin_convert.h|python/pyarrow/array.pxi|python/pyarrow/includes/libarrow.pxd|python/pyarrow/tests/test_convert_builtin.py|,10,11,11,2018-01-25 10:52:33 +0000,2018-01-30 10:31:42 -0500,40dd9cc25a46aa56a5d852fbc8ebdbc55b5fe8d6,arrow
ARROW-2039,2018-02-15 16:35:09 +0000,python/pyarrow/io.pxi|python/pyarrow/lib.pxd|python/pyarrow/tests/test_io.py|,10,11,11,2018-01-26 05:17:45 +0000,2018-02-15 11:34:59 -0500,e15f54505d4d92810c8c216a89eee3e703013d1c,arrow
ARROW-2040,2018-02-28 23:19:26 +0000,cpp/src/arrow/python/arrow_to_python.cc|cpp/src/arrow/python/numpy_convert.cc|cpp/src/arrow/python/numpy_convert.h|python/pyarrow/array.pxi|python/pyarrow/includes/common.pxd|python/pyarrow/includes/libarrow.pxd|python/pyarrow/tests/test_serialization.py|,10,11,12,2018-01-26 05:21:31 +0000,2018-02-28 18:18:47 -0500,3d5880aa0fd2325f1c0a4d5557a71f57838def83,arrow
ARROW-2047,2018-01-30 16:43:03 +0000,python/pyarrow/tests/test_serialization.py|,10,11,11,2018-01-28 16:06:39 +0000,2018-01-30 11:42:57 -0500,8d78376979965a203207899084820631394de017,arrow
ARROW-2049,2018-02-10 16:05:16 +0000,cpp/cmake_modules/FindCython.cmake|cpp/cmake_modules/UseCython.cmake|,10,11,11,2018-01-28 16:52:40 +0000,2018-02-10 11:05:06 -0500,9d9cc8f79ea869daaf41d85772bb0274b8c2ded3,arrow
ARROW-5553,2019-06-12 12:01:06 +0000,ruby/red-arrow-cuda/README.md|ruby/red-arrow/README.md|ruby/red-gandiva/README.md|ruby/red-parquet/README.md|ruby/red-plasma/README.md|,21,22,22,2019-06-11 14:49:17 +0000,2019-06-12 21:00:40 +0900,adba5bb4d46403e2d3df431375b6c654ad0570f6,arrow
ARROW-3374,2018-10-01 10:10:46 +0000,cpp/src/arrow/python/arrow_to_pandas.cc|python/pyarrow/array.pxi|python/pyarrow/tests/test_convert_pandas.py|,14,15,15,2018-10-01 00:51:48 +0000,2018-10-01 06:10:38 -0400,b83db6116dc323eea3f6b516e176d36d66960475,arrow
ARROW-1197,2017-07-09 04:38:15 +0000,c_glib/arrow-glib/arrow-glib.hpp|,5,6,6,2017-07-08 14:19:09 +0000,2017-07-09 00:38:05 -0400,e8945325e187e2f9667840497e22cc05c53ae123,arrow
ARROW-5560,2019-07-16 07:31:06 +0000,cpp/src/plasma/store.cc|python/pyarrow/tests/test_plasma.py|,21,22,23,2019-06-11 21:30:06 +0000,2019-07-16 00:30:50 -0700,f976629a54f5518f6285a311c45c5957281b1ee7,arrow
ARROW-1166,2017-06-29 20:01:43 +0000,format/Layout.md|,5,6,6,2017-06-29 16:09:15 +0000,2017-06-29 16:01:14 -0400,af83c451983b3c5b231aea04875767de5336d380,arrow
ARROW-4675,2019-06-19 17:37:13 +0000,python/pyarrow/serialization.pxi|,17,20,22,2019-02-25 20:49:24 +0000,2019-06-19 12:37:08 -0500,831774b51cf7f74a88059bfbb6c9cc56d65a8554,arrow
ARROW-1169,2017-07-01 22:15:03 +0000,cpp/cmake_modules/ThirdpartyToolchain.cmake|,5,6,6,2017-06-29 21:26:31 +0000,2017-07-01 18:06:45 -0400,930db87d63571756118c6edc2e4df3a678d92393,arrow
ARROW-1162,2017-06-29 15:22:35 +0000,java/vector/src/main/java/org/apache/arrow/vector/complex/BaseRepeatedValueVector.java|java/vector/src/test/java/org/apache/arrow/vector/TestBufferOwnershipTransfer.java|,5,6,6,2017-06-29 04:53:18 +0000,2017-06-29 08:22:07 -0700,65558dbb927c045f104988c1c7632872cb95752b,arrow
ARROW-4674,2019-02-26 15:32:22 +0000,js/src/bin/arrow2csv.ts|js/src/type.ts|js/src/util/pretty.ts|js/src/vector/map.ts|js/src/vector/row.ts|js/src/vector/struct.ts|,18,20,20,2019-02-25 19:39:51 +0000,2019-02-26 07:31:59 -0800,1d0b3697efee154f72b96df20155eb7e68ce6569,arrow
ARROW-5528,2019-06-11 05:24:09 +0000,cpp/src/arrow/array/concatenate-test.cc|cpp/src/arrow/array/concatenate.cc|,21,22,22,2019-06-07 16:25:29 +0000,2019-06-08 23:24:35 -0700,7b0b79627a71be4d8dfa68e3477725a911c58030,arrow
