Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
AVRO-1807,2016-05-14 20:47:15 +0000,CHANGES.txt|lang/java/avro/src/main/java/org/apache/avro/util/internal/JacksonUtils.java|,26,27,27,2016-03-08 15:59:26 +0000,2016-05-14 13:44:56 -0700,f793202c4b87ec258326513568dd62353850f1d0,avro
AVRO-1929,2017-08-18 14:57:36 +0000,CHANGES.txt|lang/java/avro/src/main/java/org/apache/avro/SchemaCompatibility.java|lang/java/avro/src/test/java/org/apache/avro/TestSchemaCompatibility.java|,25,28,28,2016-10-04 13:57:25 +0000,2016-10-06 15:07:12 -0700,0a74e1e0fb45dae8785f204f17d05bd86d0a2d2b,avro
AVRO-993,2012-01-17 19:43:02 +0000,CHANGES.txt|lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java|,15,17,17,2012-01-16 07:48:26 +0000,2012-01-17 19:42:22 +0000,40b2a8672349cad661cf53f07d52d2219585e2fb,avro
AVRO-994,2012-01-17 15:32:44 +0000,CHANGES.txt|,15,17,17,2012-01-16 08:24:29 +0000,2012-01-17 18:00:56 +0000,d72dafc3e20c310271e45acb371529e18e0c2fc4,avro
AVRO-510,2010-08-25 21:40:11 +0000,CHANGES.txt|lang/c/src/datafile.c|,6,7,8,2010-04-06 01:39:24 +0000,2010-08-25 21:38:55 +0000,8c2d1e975ddb3516e2c42de73d78f3d40556c13b,avro
AVRO-996,2012-02-07 07:24:54 +0000,CHANGES.txt|lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java|lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificRecordBuilder.java|share/test/schemas/contexts.avdl|,15,17,17,2012-01-17 06:44:51 +0000,2012-02-07 07:23:55 +0000,29f8701a42d172cf4b9a2a474000d509f34a2d46,avro
AVRO-633,2010-08-26 19:27:53 +0000,CHANGES.txt|lang/ruby/lib/avro/io.rb|lang/ruby/test/test_io.rb|,7,8,8,2010-08-26 01:09:59 +0000,2010-08-26 19:26:29 +0000,61a54e4487501db5ce5ce3447363560fb0d880d6,avro
AVRO-997,2014-10-03 20:34:09 +0000,CHANGES.txt|lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java|lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumWriter.java|lang/java/avro/src/test/java/org/apache/avro/TestSchemaCompatibility.java|lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericData.java|lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericDatumWriter.java|lang/java/ipc/src/test/java/org/apache/avro/TestCompare.java|,11,17,26,2012-01-18 16:40:54 +0000,2014-10-03 20:33:39 +0000,4eec345521b9b7ec5a27e4f495a2e9a5b7d09efc,avro
AVRO-755,2011-02-21 17:20:45 +0000,CHANGES.txt|lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java|lang/java/ipc/src/main/java/org/apache/avro/ipc/Responder.java|lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericResponder.java|lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectResponder.java|lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificResponder.java|lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecific.java|,9,10,10,2011-02-01 18:48:45 +0000,2011-02-21 17:20:23 +0000,1c5bbe95f612b841bfeec3880e660d1b6ec44fab,avro
AVRO-980,2012-02-09 23:28:56 +0000,CHANGES.txt|lang/c/examples/quickstop.c|lang/c/src/avro/schema.h|lang/c/src/datafile.c|lang/c/src/schema.c|lang/c/tests/test_avro_schema.c|lang/c/tests/test_avro_values.c|,16,17,17,2011-12-13 23:29:14 +0000,2012-02-09 23:26:32 +0000,753c54f0c060e098cce00a125f6ce022dfa86815,avro
