Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
AXIS2C-1647,2013-09-05 18:44:00 +0000,axiom/configure.ac|axiom/pkg.m4|,20,21,21,2013-09-05 18:39:48 +0000,2013-09-05 18:43:28 +0000,005c28f7c817685eb4374f028525b663377061ef,axis2-c
AXIS2C-73,2006-02-27 15:47:39 +0000,src/core/transport/http/server/simple_axis2_server/http_server_main.c|util/include/axutil_file_handler.h|util/include/axutil_log.h|util/src/file_handler.c|util/src/log.c|,4,5,15,2006-02-17 14:12:44 +0000,2007-11-01 00:06:33 +0000,491fe55a5984cc96a32f0ed8460a4286ca6c782a,axis2-c
AXIS2C-61,2006-02-07 13:03:25 +0000,include/axis2_http_out_transport_info.h|include/axis2_msg_ctx.h|include/axis2_out_transport_info.h|src/core/context/msg_ctx.c|src/core/engine/engine.c|src/core/transport/http/common/http_out_transport_info.c|src/core/transport/http/common/http_worker.c|src/core/transport/http/sender/http_transport_sender.c|src/core/transport/http/server/IIS/axis2_iis_worker.c|src/core/transport/http/server/apache2/apache2_worker.c|src/core/util/core_utils.c|,3,4,17,2006-02-06 17:37:02 +0000,2008-03-22 09:08:20 +0000,f44c9ac384a03c557ca40dd3a5788e369594d168,axis2-c
AXIS2C-1434,2010-01-28 11:55:35 +0000,configure.ac|,20,21,21,2010-01-18 15:06:39 +0000,2010-01-28 11:54:58 +0000,2d0049206b09b93b6cfc6415c8dd0f87c45b70ce,axis2-c
AXIS2C-1431,2010-02-24 04:05:31 +0000,axiom/configure.ac|neethi/configure.ac|samples/configure.ac|tools/tcpmon/configure.ac|util/configure.ac|,20,21,21,2010-01-07 14:51:39 +0000,2010-02-25 12:25:32 +0000,a9278c5e03e45e67c19d16b352c39f5d252146e8,axis2-c
AXIS2C-1426,2010-06-02 03:03:48 +0000,axiom/src/xpath/xpath.c|src/modules/mod_addr/mod_addr.c|,20,21,21,2010-01-05 13:55:37 +0000,2010-06-02 03:00:12 +0000,1b32ea285daf341d1fd792d0e113e66579003dc1,axis2-c
AXIS2C-1427,2010-02-24 09:15:13 +0000,axiom/configure.ac|guththila/configure.ac|neethi/configure.ac|samples/configure.ac|tools/md5/configure.ac|tools/tcpmon/configure.ac|,20,21,21,2010-01-06 17:15:40 +0000,2010-02-25 12:29:07 +0000,8519f2fdc9578a49807cfb2f412aee6592b181b0,axis2-c
AXIS2C-54,2006-03-22 17:32:44 +0000,modules/core/engine/ctx_handler.c|modules/core/engine/engine.c|,3,4,13,2006-02-02 22:41:40 +0000,2007-03-26 04:31:35 +0000,152d4dfea8f9ed09ef00c25b6f584fa968210651,axis2-c
AXIS2C-1422,2010-02-23 11:48:43 +0000,util/configure.ac|util/include/platforms/unix/axutil_unix.h|util/src/platforms/unix/uuid_gen_unix.c|,20,21,21,2010-01-05 10:13:54 +0000,2010-02-23 11:47:05 +0000,717e2484dbca1255187f091a82f4b33effde03ad,axis2-c
AXIS2C-1665,2018-12-02 01:12:30 +0000,src/core/transport/http/sender/http_client.c|,20,21,21,2014-07-24 13:27:42 +0000,2018-12-02 01:09:05 +0000,ea12b7c35c6551503a9e26a01059905ecc6a5147,axis2-c
