Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
AXIS-93,2004-02-24 00:11:51 +0000,src/org/apache/axis/client/Service.java|src/org/apache/axis/client/Stub.java|src/org/apache/axis/i18n/resource.properties|,2,3,16,2002-05-21 13:45:53 +0000,2005-04-22 13:59:29 +0000,449ca1d917c334aa34a9b8cb0632ed229b2e9518,axis1-java
AXIS-92,2004-02-24 00:11:50 +0000,integration/pom.xml|integration/src/test/java/test/wsdl/rpcParams/RpcParamsBindingImpl.java|integration/src/test/java/test/wsdl/rpcParams/RpcParamsServiceTestCase.java|integration/src/test/wsdd/wsdl/rpcParams/deploy.wsdd|integration/src/test/wsdl/rpcParams/rpcParams.wsdl|test/wsdl/rpcParams/RpcParamsBindingStub.java|test/wsdl/rpcParams/RpcParamsServiceTestCase.java|test/wsdl/rpcParams/build.xml|test/wsdl/rpcParams/readme.txt|,2,3,20,2002-05-21 13:42:58 +0000,2012-09-29 11:13:38 +0000,48023b7b0156ede96d5bd4729725071b6a00ddfc,axis1-java
AXIS-75,2004-02-24 00:11:19 +0000,integration/pom.xml|integration/src/test/java/test/wsdl/adaptive/AdaptiveInterfaceBindingImpl.java|integration/src/test/java/test/wsdl/adaptive/AdaptiveServiceTestCase.java|integration/src/test/wsdl/adaptive/adaptive.wsdl|test/wsdl/adaptive/build.xml|,1,3,20,2002-04-29 22:45:01 +0000,2012-01-04 16:17:58 +0000,e130534fac7e04dede99a1df6594a50d043aae27,axis1-java
AXIS-76,2004-02-24 00:11:22 +0000,src/org/apache/axis/components/net/DefaultSocketFactory.java|src/org/apache/axis/transport/http/HTTPSender.java|,1,3,12,2002-04-30 03:37:09 +0000,2004-03-25 16:50:18 +0000,6fa6f89d73ed391423fad80d01d7a25d6f8277f3,axis1-java
AXIS-1910,2005-04-27 06:08:08 +0000,src/org/apache/axis/encoding/ser/SimpleDeserializerFactory.java|src/org/apache/axis/encoding/ser/SimpleSerializer.java|src/org/apache/axis/encoding/ser/SimpleSerializerFactory.java|src/org/apache/axis/utils/JavaUtils.java|,15,16,16,2005-04-05 06:29:17 +0000,2005-04-26 21:06:36 +0000,f16008aa6c1e0e84192e5601ebac2c3e5327726c,axis1-java
AXIS-1919,2005-04-28 20:59:07 +0000,src/org/apache/axis/encoding/TypeMappingImpl.java|,15,16,16,2005-04-08 02:16:26 +0000,2005-04-28 04:08:29 +0000,6f373d7c56fadace9c4862af2219e0c6b6b16fd1,axis1-java
AXIS-84,2004-02-24 00:11:36 +0000,src/org/apache/axis/transport/http/AxisServlet.java|,1,3,15,2002-05-14 01:53:42 +0000,2004-12-23 19:59:06 +0000,7bf5d2ee901c5441be38d0a9ed9887c3e0f77986,axis1-java
AXIS-89,2004-02-24 00:11:44 +0000,src/org/apache/axis/transport/http/CommonsHTTPSender.java|src/org/apache/axis/transport/http/HTTPSender.java|,1,3,17,2002-05-17 00:38:12 +0000,2005-06-14 01:45:34 +0000,02a09c2384b67569ab279359ec3ddd2cb697a067,axis1-java
AXIS-83,2004-02-24 00:11:35 +0000,axis-ant/pom.xml|axis-ant/src/test/ant/qname/build.xml|axis-ant/src/test/java/test/wsdl/qname/MyServiceImpl.java|axis-ant/src/test/java/test/wsdl/qname/MyServiceInterface.java|axis-ant/src/test/java/test/wsdl/qname/foo.java|integration/pom.xml|pom.xml|test/wsdl/qname/build.xml|,1,3,20,2002-05-06 22:00:17 +0000,2012-01-03 08:59:53 +0000,208135676f170b6946e50db2f0e36553403a9b91,axis1-java
AXIS-81,2004-02-24 00:11:31 +0000,src/org/apache/axis/types/URI.java|test/types/PackageTests.java|test/types/TestURI.java|,1,3,13,2002-05-04 01:51:11 +0000,2004-04-03 09:43:19 +0000,65a2da9eda6056ada5e2fce20c1a865f0f53deee,axis1-java
AXIS-1903,2005-06-11 10:43:19 +0000,src/org/apache/axis/message/MessageElement.java|,15,16,17,2005-03-29 06:06:20 +0000,2005-06-11 01:42:27 +0000,8270a7f79903b3ee7e09e1bcbc500b1be28a20fd,axis1-java
AXIS-1906,2005-04-24 06:41:20 +0000,src/org/apache/axis/attachments/DimeBodyPart.java|,10,16,16,2005-04-03 01:05:29 +0000,2005-04-23 21:37:38 +0000,9ecb746c1309a04964c6c0ea175f75db1cfcc77c,axis1-java
AXIS-2180,2005-08-20 11:50:35 +0000,src/org/apache/axis/Message.java|,17,18,18,2005-08-19 03:00:51 +0000,2005-08-20 02:49:32 +0000,1578b781d3049e23fae911afca7057dcdb1cb2a2,axis1-java
AXIS-52,2004-02-24 00:10:32 +0000,axis/src/main/java/org/apache/axis/deployment/wsdd/WSDDUndeployment.java|axis/src/main/java/org/apache/axis/handlers/soap/SOAPService.java|axis/src/main/java/org/apache/axis/providers/java/JavaProvider.java|,1,2,20,2002-04-17 15:25:56 +0000,2012-09-22 09:15:20 +0000,9d36dda2637684d298a521ddd5b3285124dd93ec,axis1-java
