Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
BIGTOP-126,2011-10-25 22:03:40 +0000,bigtop-packages/src/common/zookeeper/ZOOKEEPER-1911.patch|bigtop-packages/src/common/zookeeper/do-component-build|bigtop-packages/src/common/zookeeper/install_zookeeper.sh|bigtop-packages/src/common/zookeeper/zookeeper-rest.svc|bigtop-packages/src/deb/zookeeper/control|bigtop-packages/src/deb/zookeeper/rules|bigtop-packages/src/deb/zookeeper/zookeeper-rest.postinst|bigtop-packages/src/rpm/zookeeper/SPECS/zookeeper.spec|,1,2,9,2011-10-20 00:17:10 +0000,2014-10-06 08:04:29 -0600,abd4db2e8680073368abb1eb9b570577d4a02655,bigtop
BIGTOP-367,2012-01-27 23:18:25 +0000,bigtop-packages/src/rpm/flume/SPECS/flume.spec|bigtop-packages/src/rpm/hadoop/SPECS/hadoop.spec|bigtop-packages/src/rpm/hbase/SPECS/hbase.spec|bigtop-packages/src/rpm/hive/SPECS/hive.spec|bigtop-packages/src/rpm/sqoop/SPECS/sqoop.spec|bigtop-packages/src/rpm/zookeeper/SPECS/zookeeper.spec|,2,3,3,2012-01-25 21:07:21 +0000,2012-01-27 23:10:44 +0000,26b73b983836ec317312b0c7dcc1f5b5e201849a,bigtop
BIGTOP-125,2011-10-25 22:03:48 +0000,bigtop-deploy/puppet/modules/spark/manifests/init.pp|,1,2,8,2011-10-20 00:07:03 +0000,2014-07-14 13:22:31 -0700,9a648f36e6b47dd732c23e0ad86179580f4bee34,bigtop
BIGTOP-128,2011-10-24 19:36:45 +0000,bigtop-tests/test-artifacts/mahout/src/main/groovy/org/apache/bigtop/itest/mahout/smoke/TestMahoutExamples.groovy|,2,2,9,2011-10-20 06:43:30 +0000,2015-01-15 21:35:08 -0500,3b13a811a8c6ad568a6a3a7b586be9f2fdf4e810,bigtop
BIGTOP-127,2011-10-25 22:05:00 +0000,bigtop-packages/src/common/hadoop/install_hadoop.sh|,2,2,9,2011-10-20 06:39:41 +0000,2015-01-15 18:17:09 -0800,b4a7a7a47c2ab582af93c5d267b2970f4555f934,bigtop
BIGTOP-122,2011-10-25 22:03:32 +0000,bigtop-test-framework/src/main/groovy/org/apache/bigtop/itest/TestUtils.groovy|bigtop-tests/smoke-tests/README|bigtop-tests/smoke-tests/build.gradle|bigtop-tests/smoke-tests/flume/TestFlumeNG.groovy|bigtop-tests/smoke-tests/flume/build.gradle|bigtop-tests/smoke-tests/flume/conf/flume.conf|bigtop-tests/smoke-tests/flume/log4j.properties|bigtop-tests/smoke-tests/hive/build.gradle|bigtop-tests/smoke-tests/hive/log4j.properties|bigtop-tests/smoke-tests/mahout/build.gradle|bigtop-tests/smoke-tests/mahout/log4j.properties|bigtop-tests/smoke-tests/mapreduce/build.gradle|bigtop-tests/smoke-tests/pig/TestPigSmoke.groovy|bigtop-tests/smoke-tests/pig/build.gradle|bigtop-tests/smoke-tests/pig/log4j.properties|bigtop-tests/smoke-tests/pig/wordcount.pig|bigtop-tests/smoke-tests/settings.gradle|bigtop-tests/smoke-tests/sqoop/TestSqoopETLHsql.groovy|bigtop-tests/smoke-tests/sqoop/build.gradle|bigtop-tests/smoke-tests/sqoop/log4j.properties|bigtop-tests/test-artifacts/hadoop/src/main/groovy/org/apache/bigtop/itest/hadoop/mapreduce/TestHadoopExamples.groovy|bigtop-tests/test-artifacts/hadoop/src/main/groovy/org/apache/bigtop/itest/hadoop/mapreduce/TestHadoopSmoke.groovy|bigtop-tests/test-artifacts/hive/src/main/groovy/org/apache/bigtop/itest/hivesmoke/HiveBulkScriptExecutor.groovy|bigtop-tests/test-artifacts/hive/src/main/groovy/org/apache/bigtop/itest/hivesmoke/TestHiveSmokeBulk.groovy|bigtop-tests/test-artifacts/hive/src/main/resources/scripts/ql/basic/filter|,1,2,8,2011-10-19 23:03:39 +0000,2014-08-20 00:00:04 -0400,da7ce0f3e3fa2e24fddfb73a60733ded2061c698,bigtop
BIGTOP-124,2011-10-25 22:03:54 +0000,bigtop-packages/src/common/flume/do-component-build|,1,2,8,2011-10-19 23:38:22 +0000,2014-06-27 18:30:42 -0700,b39748a22fb985a1352f5e20c481d521840f5da8,bigtop
BIGTOP-123,2011-10-25 22:03:24 +0000,bigtop-packages/src/common/bigtop-utils/init-hcfs.groovy|bigtop-packages/src/common/hadoop/init-hdfs.sh|bigtop-packages/src/common/hadoop/install_hadoop.sh|bigtop-packages/src/deb/hadoop/hadoop-hdfs.install|bigtop-packages/src/rpm/bigtop-utils/SPECS/bigtop-utils.spec|bigtop-packages/src/rpm/hadoop/SPECS/hadoop.spec|bigtop-tests/test-artifacts/package/src/main/resources/yum/bigtop-utils.xml|,1,2,9,2011-10-19 23:06:42 +0000,2015-03-15 14:27:23 -0700,d7e9834d54da0ceb90959de193436d7ccda1dc3f,bigtop
BIGTOP-2342,2016-04-17 18:08:49 +0000,bigtop-deploy/puppet/hieradata/bigtop/cluster.yaml|bigtop-deploy/puppet/modules/hadoop/manifests/init.pp|bigtop-deploy/puppet/modules/hadoop/templates/yarn-site.xml|,10,11,11,2016-02-20 01:03:53 +0000,2016-04-17 20:05:19 +0200,9fa68d18f97d8519f2db57cfb2e67d3c03e35d27,bigtop
BIGTOP-1250,2014-03-11 06:02:17 +0000,bigtop-tests/test-artifacts/hadoop/src/main/resources/part-00001.snappy|,7,8,8,2014-03-10 21:52:25 +0000,2014-03-10 23:01:26 -0700,24277571a932763b70765fcfc363585473cac1a9,bigtop
