Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
BUILDR-417,2010-04-07 15:10:14 +0000,CHANGELOG|lib/buildr/java/packaging.rb|,7,8,8,2010-04-07 09:20:19 +0000,2010-04-07 15:08:53 +0000,009d8cb78341378417414064d397ca292c1acf56,buildr
BUILDR-419,2010-04-10 17:57:33 +0000,CHANGELOG|lib/buildr/packaging/archive.rb|spec/java/packaging_spec.rb|,7,8,8,2010-04-09 00:35:47 +0000,2010-04-10 18:02:44 +0000,3ec7df1de57a13b0682a9c3b4a3e1db423ddd9a8,buildr
BUILDR-532,2010-10-13 05:46:22 +0000,CHANGELOG|lib/buildr/packaging/package.rb|spec/java/packaging_spec.rb|,10,11,11,2010-10-11 21:31:00 +0000,2010-10-12 16:41:44 +0000,76e0b8e30c5adb2d704c8baf501c43bd864f1f6a,buildr
BUILDR-411,2010-04-01 03:02:36 +0000,CHANGELOG|lib/buildr/core/doc.rb|lib/buildr/packaging/artifact.rb|,7,8,8,2010-04-01 02:00:08 +0000,2010-04-01 03:02:09 +0000,ebb6c8514e68694557e7f3ed11af9e44e5df6551,buildr
BUILDR-655,2013-01-29 02:04:52 +0000,CHANGELOG|lib/buildr/java/rjb.rb|,15,16,16,2012-09-26 15:14:00 +0000,2012-10-05 21:50:08 +0000,7ff7ba4127bc18edae82d16540b446cb10f537c9,buildr
BUILDR-534,2010-10-13 05:27:31 +0000,CHANGELOG|lib/buildr/java/packaging.rb|spec/java/packaging_spec.rb|,10,11,12,2010-10-12 18:38:40 +0000,2010-10-13 05:25:33 +0000,d4c9593589577164803e00ad368ecf0f57a2c6af,buildr
BUILDR-654,2012-09-23 00:41:47 +0000,CHANGELOG|addon/buildr/bnd.rb|spec/addon/bnd_spec.rb|,15,16,16,2012-09-22 15:03:31 +0000,2012-09-23 00:40:28 +0000,b315166310c425409bb79661c396c433f71da286,buildr
BUILDR-412,2010-04-10 18:14:07 +0000,CHANGELOG|buildr.gemspec|,7,8,8,2010-04-01 03:56:14 +0000,2010-04-10 18:19:32 +0000,b7969162294dc8c273f6b8e5dd6bfd60d7ce2f65,buildr
BUILDR-535,2010-10-14 04:40:15 +0000,CHANGELOG|lib/buildr/core/util.rb|,10,12,12,2010-10-13 06:03:46 +0000,2010-10-14 04:39:17 +0000,cdbd0696fb7b8a9a66f3718f1ee7d94da0d6e8a7,buildr
BUILDR-549,2010-11-17 01:39:53 +0000,CHANGELOG|buildr.gemspec|lib/buildr/version.rb|,9,13,13,2010-11-15 19:12:11 +0000,2010-11-22 23:28:17 +0000,238585873338e48762501f4ed6955477a01c8aba,buildr
BUILDR-548,2011-07-19 07:16:02 +0000,CHANGELOG|doc/languages.textile|lib/buildr/java/bdd.rb|lib/buildr/java/jtestr_result.rb|lib/buildr/java/jtestr_runner.rb.erb|spec/java/bdd_spec.rb|,11,13,15,2010-11-14 08:44:14 +0000,2011-07-19 07:15:09 +0000,eb2e97ec182c91e92ce5c609b5d34c510c7ec078,buildr
BUILDR-662,2013-03-22 20:54:50 +0000,lib/buildr/core/application.rb|,17,20,20,2013-03-21 10:56:33 +0000,2013-03-22 20:54:15 +0000,ac37e455d90dab09dfeae4bb87670afb47c682d8,buildr
