Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
CAY-2084,2016-05-19 10:27:03 +0000,cayenne-server/src/main/java/org/apache/cayenne/access/DataDomainQueryAction.java|,18,20,20,2016-05-19 08:12:52 +0000,2016-05-19 13:32:28 +0300,579160fa1b6190bd6fdfc94a49698255a2c75e44,cayenne
CAY-2082,2017-04-19 15:46:43 +0000,cayenne-project/src/main/java/org/apache/cayenne/project/validation/ObjAttributeValidator.java|modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/ObjEntityAttributePanel.java|,18,19,22,2016-05-03 20:19:31 +0000,2017-04-19 14:51:54 +0300,821d730e5f0b738de9f22c4d67fd65468baad68e,cayenne
CAY-2099,2016-08-08 08:52:41 +0000,modeler/cayenne-wocompat/src/main/java/org/apache/cayenne/wocompat/EOModelProcessor.java|,18,20,20,2016-08-05 13:56:17 +0000,2016-08-05 15:57:01 +0200,bc4f9a3608b9e80ab03ea0bc46bb15cfe395e1d3,cayenne
CAY-2097,2016-08-05 13:37:18 +0000,cayenne-server/src/main/java/org/apache/cayenne/access/DataDomainDBDiffBuilder.java|cayenne-server/src/test/java/org/apache/cayenne/access/VerticalInheritanceIT.java|cayenne-server/src/test/java/org/apache/cayenne/map/ObjRelationshipIT.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/IvAbstract.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/IvConcrete.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_Iv1Root.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_Iv1Sub1.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_Iv2Root.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_Iv2Sub1.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_Iv2X.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_IvAbstract.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_IvConcrete.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_IvRoot.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_IvSub1.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_IvSub1Sub1.java|cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/auto/_IvSub2.java|cayenne-server/src/test/resources/inheritance-vertical.map.xml|docs/doc/src/main/resources/RELEASE-NOTES.txt|,18,20,20,2016-08-05 11:28:37 +0000,2016-08-05 16:05:53 +0300,697f38e5127852a144b13e7640787e57ac3ebba1,cayenne
CAY-2098,2016-08-08 08:53:12 +0000,modeler/cayenne-wocompat/src/main/java/org/apache/cayenne/wocompat/EOModelHelper.java|modeler/cayenne-wocompat/src/main/java/org/apache/cayenne/wocompat/EOModelProcessor.java|,18,20,20,2016-08-05 11:56:47 +0000,2016-08-05 13:58:10 +0200,ee22c10da10c672e2c19b16c7f3a36d27025d18b,cayenne
CAY-2068,2016-04-27 13:56:30 +0000,cayenne-client/src/test/java/org/apache/cayenne/QueryLimitTest.java|cayenne-client/src/test/java/org/apache/cayenne/query/ClientObjectSelectIT.java|cayenne-server/src/main/java/org/apache/cayenne/access/ClientServerChannelQueryAction.java|,17,19,19,2016-03-18 10:24:51 +0000,2016-04-27 16:45:50 +0300,d31b0146637733a21e37c079c254f3388c5ee17e,cayenne
CAY-2064,2016-02-26 16:12:21 +0000,docs/doc/src/main/resources/RELEASE-NOTES.txt|,18,19,19,2016-02-26 14:54:34 +0000,2016-02-26 19:11:07 +0300,80f26f064ae397581dfb7d594c69bf89f88453cf,cayenne
CAY-2074,2016-04-20 08:07:04 +0000,docs/doc/src/main/resources/RELEASE-NOTES.txt|,18,19,19,2016-04-06 09:40:47 +0000,2016-04-20 11:06:47 +0300,00d2386457f1b798eef95a4cde90dc98f922348d,cayenne
CAY-2070,2016-07-27 07:03:59 +0000,docs/doc/src/main/resources/RELEASE-NOTES.txt|,18,19,20,2016-03-29 17:37:01 +0000,2016-07-27 09:57:39 +0300,8e6ba19405d12d8554cddb4fb51fd1f23e22820e,cayenne
CAY-2049,2016-01-20 10:37:20 +0000,docs/doc/src/main/resources/RELEASE-NOTES.txt|modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/objentity/ObjRelationshipInfo.java|,16,18,18,2016-01-19 15:15:33 +0000,2016-01-19 18:23:38 +0300,c07db4b3486a53bb03a84dc7f9df10dea85b2376,cayenne
