Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
CB-7598,2014-10-07 18:01:40 +0000,cordova-lib/src/cordova/metadata/android_parser.js|,31,32,33,2014-09-19 05:00:55 +0000,2014-10-07 13:58:37 -0400,d50441c26fe8a912f33d1891a603ab8c92d3c5d1,cordova-lib
CB-2702,2013-03-19 22:19:14 +0000,README.md|bootstrap.js|,20,21,21,2013-03-18 13:29:56 +0000,2013-03-19 15:12:54 -0700,5ba321a2109c31415a4438abb12236a34639d267,cordova-lib
CB-8007,2015-05-29 23:13:34 +0000,cordova-lib/spec-plugman/plugins/org.apache.plist/plugin.xml|cordova-lib/spec-plugman/projects/ios-config-xml/SampleApp/SampleApp-Info.plist|cordova-lib/spec-plugman/util/config-changes.spec.js|cordova-lib/src/plugman/util/plist-helpers.js|,31,33,33,2014-11-12 13:36:41 +0000,2015-05-29 16:07:41 -0700,dff78b0779444d06e259140694e07d5e8c5f5308,cordova-lib
CB-4484,2013-08-13 18:51:05 +0000,spec/create.spec.js|src/create.js|,25,26,26,2013-08-01 21:28:42 +0000,2013-08-13 11:50:37 -0700,9f83b4ac892f41c855d3f9d41777dc855c50fb4d,cordova-lib
CB-4472,2013-12-02 20:41:11 +0000,spec/config_parser.spec.js|spec/test-config.xml|,25,26,29,2013-07-31 08:01:23 +0000,2013-12-02 15:57:11 -0500,2a7bcaeccf415f1ceaaed8f7c19f832add9e5d45,cordova-lib
CB-221,2012-02-08 00:19:21 +0000,.gitignore|bin/cordova|bootstrap.js|src/metadata/android_parser.js|src/metadata/blackberry_parser.js|src/metadata/ios_parser.js|src/platform.js|,7,8,19,2012-02-05 07:46:14 +0000,2013-01-28 14:48:53 -0800,235a8d27e812ca723bd606a258072da01de94360,cordova-lib
CB-6238,2014-03-13 21:23:41 +0000,e2e/fixtures/hooks_sh/test/07.sh|e2e/fixtures/hooks_sh/test/1.sh|,30,31,31,2014-03-12 22:58:17 +0000,2014-03-13 14:22:40 -0700,55a31889d1ca46a027ebd34eb1abd54f469688c8,cordova-lib
CB-3183,2013-04-19 18:44:59 +0000,spec/plugin.spec.js|src/plugin.js|src/util.js|,21,22,23,2013-04-19 03:43:41 +0000,2013-05-09 15:03:56 -0700,d27766874ac653fdf90a102a6314520135ecb395,cordova-lib
CB-260,2012-03-12 19:39:06 +0000,cordova-lib/src/configparser/ConfigParser.js|cordova-lib/src/cordova/metadata/android_parser.js|cordova-lib/src/cordova/metadata/ios_parser.js|cordova-lib/src/cordova/metadata/windows_parser.js|cordova-lib/src/cordova/metadata/wp8_parser.js|,7,8,32,2012-02-18 01:39:43 +0000,2014-06-23 13:39:26 -0400,098565911a1284a329f9319268f51121f11ad780,cordova-lib
CB-6211,2014-03-12 18:59:53 +0000,src/info.js|,30,31,31,2014-03-10 21:39:15 +0000,2014-03-12 14:50:33 -0400,150323053b8a4a90532f7ec67616b2ae0cff93d3,cordova-lib
