Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
COCOON-1882,2006-07-18 04:28:47 +0000,core/cocoon-core/src/main/java/org/apache/cocoon/serialization/ZipArchiveSerializer.java|,23,25,25,2006-07-14 12:22:47 +0000,2006-07-18 04:29:24 +0000,ab16c3af2def63e24024eeea1fee7a3620828d22,cocoon
COCOON-1880,2006-07-17 04:12:34 +0000,blocks/cocoon-lucene/cocoon-lucene-impl/src/main/java/org/apache/cocoon/transformation/LuceneIndexTransformer.java|,23,25,25,2006-07-12 13:13:36 +0000,2006-07-17 04:13:23 +0000,24a3f863bb00be6978f3354b2d4909285e33c0ec,cocoon
COCOON-1885,2006-07-26 05:07:11 +0000,core/cocoon-core/src/main/java/org/apache/cocoon/components/store/impl/EHDefaultStore.java|,24,25,25,2006-07-25 11:24:54 +0000,2006-07-26 05:09:03 +0000,a4c8ca5c4127ff169d499550a642b92fbbeb4763,cocoon
COCOON-1883,2006-10-09 20:15:06 +0000,blocks/cocoon-xsp/cocoon-xsp-impl/src/main/java/org/apache/cocoon/components/language/markup/xsp/SOAPHelper.java|blocks/cocoon-xsp/cocoon-xsp-impl/status.xml|,24,25,25,2006-07-19 08:54:15 +0000,2006-10-09 20:09:25 +0000,e1b5c80e34d6b400eeb1325d412f9c5007aa8a51,cocoon
COCOON-1887,2009-02-22 08:53:18 +0000,core/cocoon-core/src/test/java/org/apache/cocoon/selection/HostSelectorTestCase.java|core/cocoon-core/src/test/resources/org/apache/cocoon/selection/HostSelectorTestCase.xtest|core/cocoon-sitemap/cocoon-sitemap-components/src/changes/changes.xml|core/cocoon-sitemap/cocoon-sitemap-components/src/main/java/org/apache/cocoon/selection/HostSelector.java|core/cocoon-sitemap/cocoon-sitemap-impl/src/main/java/org/apache/cocoon/selection/NamedPatternsSelector.java|,23,25,28,2006-07-28 10:15:41 +0000,2009-02-22 08:49:25 +0000,f36d471411be9559e989362d0832aef21b05ad0c,cocoon
COCOON-1869,2006-10-09 19:19:13 +0000,blocks/cocoon-mail/cocoon-mail-impl/src/main/java/org/apache/cocoon/mail/MailMessageSender.java|,24,25,25,2006-06-26 05:11:46 +0000,2006-10-09 19:18:12 +0000,fa22b01b2da09c85fc4c923ca179f78556194f7c,cocoon
COCOON-1627,2006-01-18 23:12:55 +0000,cocoon-core/src/main/java/org/apache/cocoon/transformation/AugmentTransformer.java|,22,23,24,2005-10-10 18:26:07 +0000,2006-01-18 14:12:53 +0000,7b428232652662af1eb284fd06d89eb97f4bd385,cocoon
COCOON-1878,2006-10-14 17:33:03 +0000,blocks/cocoon-validation/cocoon-validation-impl/src/main/java/org/apache/cocoon/components/validation/jaxp/JaxpSchemaParser.java|blocks/cocoon-validation/cocoon-validation-impl/status.xml|,23,25,25,2006-07-06 17:05:41 +0000,2006-10-14 17:23:56 +0000,b8cf6944078f621c35f45539122fee2a93a0cfaa,cocoon
COCOON-1876,2006-07-11 13:00:43 +0000,blocks/cocoon-xmldb/cocoon-xmldb-impl/src/main/java/org/apache/cocoon/transformation/XMLDBTransformer.java|,24,25,25,2006-07-06 03:42:50 +0000,2006-07-11 06:01:26 +0000,965396538228489f7610b04477e4e4d0d9440f14,cocoon
COCOON-1651,2006-01-23 23:39:48 +0000,cocoon-forms/cocoon-forms-impl/src/main/java/org/apache/cocoon/forms/transformation/EffectPipe.java|,23,23,24,2005-10-19 04:54:59 +0000,2006-01-23 14:39:28 +0000,5910bb4a6013430c86a152e9471e9f65f4523be4,cocoon
