Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
CONFIGURATION-712,2018-09-16 20:24:11 +0000,src/changes/changes.xml|,18,19,19,2018-08-22 20:56:37 +0000,2018-09-16 20:22:37 +0000,78e692c33d25e2da9a549235464e4b212f701263,commons-configuration
CONFIGURATION-715,2018-10-05 20:06:05 +0000,src/main/java/org/apache/commons/configuration2/PropertiesConfiguration.java|src/site/xdoc/userguide/howto_properties.xml|,18,19,19,2018-09-19 15:37:48 +0000,2018-10-05 20:05:16 +0000,02b373073397b8e116d1e1c9289bcec3088feaa7,commons-configuration
CONFIGURATION-285,2007-07-21 19:09:43 +0000,src/java/org/apache/commons/configuration/DefaultConfigurationBuilder.java|src/test/org/apache/commons/configuration/TestDefaultConfigurationBuilder.java|xdocs/changes.xml|,5,6,6,2007-07-11 12:30:33 +0000,2007-07-21 19:00:51 +0000,3b74386d3d412594f2b34a9bc782fe1efcfb041c,commons-configuration
CONFIGURATION-287,2007-07-26 20:17:03 +0000,src/java/org/apache/commons/configuration/HierarchicalConfiguration.java|src/test/org/apache/commons/configuration/TestHierarchicalConfiguration.java|src/test/org/apache/commons/configuration/TestXMLConfiguration.java|xdocs/changes.xml|,5,6,6,2007-07-26 14:05:49 +0000,2007-07-26 20:10:36 +0000,c6b7241fc57ac41db358ee5990e1908ac41f4b58,commons-configuration
CONFIGURATION-600,2015-05-25 18:05:16 +0000,src/site/xdoc/userguide/howto_combinedbuilder.xml|,9,12,12,2015-05-06 13:49:05 +0000,2015-05-25 18:03:32 +0000,94228aeb55ee1a3391f7dcf09503e1fbed9c9d4b,commons-configuration
CONFIGURATION-280,2007-06-10 16:11:36 +0000,src/java/org/apache/commons/configuration/AbstractFileConfiguration.java|src/test/org/apache/commons/configuration/TestXMLConfiguration.java|xdocs/changes.xml|,5,6,6,2007-06-07 21:33:35 +0000,2007-06-10 16:10:17 +0000,508e0cc43be9b617cdd4ac5415c76521d478ef92,commons-configuration
CONFIGURATION-281,2007-06-21 20:00:56 +0000,src/java/org/apache/commons/configuration/JNDIConfiguration.java|src/test/org/apache/commons/configuration/MockInitialContextFactory.java|src/test/org/apache/commons/configuration/TestJNDIConfiguration.java|xdocs/changes.xml|,3,6,6,2007-06-20 18:31:05 +0000,2007-06-21 19:57:25 +0000,2f861bcfac177afe6802a3c2f826d60eb568339e,commons-configuration
CONFIGURATION-282,2007-07-18 19:36:12 +0000,src/java/org/apache/commons/configuration/HierarchicalConfiguration.java|xdocs/changes.xml|,5,6,6,2007-06-26 06:49:27 +0000,2007-07-09 19:37:37 +0000,1c53281831611837de4358b6e75de594867f46b0,commons-configuration
CONFIGURATION-283,2007-07-12 20:02:18 +0000,src/java/org/apache/commons/configuration/ConfigurationUtils.java|src/test/org/apache/commons/configuration/TestCombinedConfiguration.java|src/test/org/apache/commons/configuration/TestConfigurationUtils.java|xdocs/changes.xml|,5,6,6,2007-07-02 12:38:23 +0000,2007-07-12 19:59:25 +0000,ee22fe99ffb101fb4ca0428ebe2ad0ba35603ccf,commons-configuration
CONFIGURATION-703,2018-06-09 20:02:42 +0000,src/changes/changes.xml|,17,18,18,2018-05-25 02:59:01 +0000,2018-06-09 20:00:49 +0000,f503bad4805b3c0e6f38bb9e6c4888483807b292,commons-configuration
