Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
CONTINUUM-1303,2007-08-07 15:41:51 +0000,continuum-core/src/main/java/org/apache/maven/continuum/utils/DefaultWorkingDirectoryService.java|,9,10,11,2007-06-13 12:01:02 +0000,2007-08-07 20:41:50 +0000,701d9b1aced4a49a6dd0a1a7c5c64550d359b660,continuum
CONTINUUM-1788,2008-06-02 15:34:46 +0000,continuum-docs/src/site/apt/installation/jboss.apt|,14,15,15,2008-06-02 13:46:49 +0000,2008-06-02 20:34:25 +0000,8d5c2e25b78b0ddc4366bc9f9f01e986ff60797c,continuum
CONTINUUM-1304,2007-08-06 08:13:10 +0000,continuum-webapp/src/main/java/org/apache/maven/continuum/web/action/admin/ConfigurationAction.java|,9,10,11,2007-06-13 12:36:06 +0000,2007-08-06 13:13:06 +0000,bdd87e2f7255d6e9e6df69c8230582e656fee0f8,continuum
CONTINUUM-1547,2007-11-08 02:40:06 +0000,continuum-site/src/site/apt/documentation/1_1/installation/upgrade.apt|,13,14,14,2007-11-05 10:36:49 +0000,2007-11-08 08:39:49 +0000,721407a30d98e84b43e224ec5c2fd6597c607921,continuum
CONTINUUM-1305,2007-08-07 04:57:21 +0000,continuum-webapp/src/main/java/org/apache/maven/continuum/web/action/AddMavenProjectAction.java|continuum-webapp/src/main/java/org/apache/maven/continuum/web/action/AddProjectAction.java|continuum-webapp/src/main/resources/xwork.xml|,9,10,11,2007-06-13 21:25:14 +0000,2007-08-07 09:57:05 +0000,f85af9cd485f591dd447ccba6a327402c8be9a93,continuum
CONTINUUM-1548,2007-11-05 17:15:53 +0000,continuum-notifiers/continuum-notifier-api/src/main/java/org/apache/maven/continuum/notification/AbstractContinuumNotifier.java|continuum-notifiers/continuum-notifier-irc/src/main/java/org/apache/maven/continuum/notification/irc/IrcContinuumNotifier.java|,13,14,14,2007-11-05 17:03:35 +0000,2007-11-05 23:14:59 +0000,5aaddbdc1a94bb5284ccf6d84fcfe34cfe59123f,continuum
CONTINUUM-1541,2007-11-09 10:27:45 +0000,continuum-release/src/main/java/org/apache/maven/continuum/release/executors/PerformReleaseTaskExecutor.java|continuum-webapp/src/main/resources/xwork.xml|,13,14,14,2007-10-31 23:49:31 +0000,2007-11-09 16:27:38 +0000,2ec5665834befd8f9d5ae7516a5485f1eb3a5181,continuum
CONTINUUM-1301,2007-08-07 10:22:22 +0000,continuum-model/src/main/mdo/continuum.xml|,9,10,11,2007-06-05 12:39:25 +0000,2007-08-07 15:22:14 +0000,f99f98100db1b263c9052e497340340514372761,continuum
CONTINUUM-1544,2007-11-13 10:37:23 +0000,continuum-core/pom.xml|continuum-core/src/main/java/org/apache/maven/continuum/notification/mail/MailContinuumNotifier.java|continuum-core/src/main/resources/org/apache/maven/continuum/notification/mail/templates/common.vm|continuum-core/src/test/resources/org/apache/maven/continuum/notification/mail/MailContinuumNotifierTest.xml|continuum-data-management/data-management-cli/src/main/java/org/apache/maven/continuum/management/DataManagementCli.java|continuum-reports/pom.xml|continuum-reports/src/main/java/org/apache/maven/continuum/reports/surefire/DefaultReportTestSuiteGenerator.java|continuum-reports/src/main/java/org/apache/maven/continuum/reports/surefire/ReportFailure.java|continuum-reports/src/main/java/org/apache/maven/continuum/reports/surefire/ReportTest.java|continuum-reports/src/main/java/org/apache/maven/continuum/reports/surefire/ReportTestCase.java|continuum-reports/src/main/java/org/apache/maven/continuum/reports/surefire/ReportTestResult.java|continuum-reports/src/main/java/org/apache/maven/continuum/reports/surefire/ReportTestSuite.java|continuum-reports/src/main/java/org/apache/maven/continuum/reports/surefire/ReportTestSuiteGenerator.java|continuum-reports/src/main/java/org/apache/maven/continuum/reports/surefire/ReportTestSuiteGeneratorException.java|continuum-reports/src/test/java/org/apache/maven/continuum/reports/surefire/DefaultReportTestSuiteGeneratorTest.java|continuum-reports/src/test/java/org/apache/maven/continuum/reports/surefire/MockConfigurationService.java|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.DefaultContinuumTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.TestAction.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.buildcontroller.DefaultBuildControllerTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.builddefinition.DefaultBuildDefinitionServiceTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.buildqueue.BuildQueueTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.core.action.CreateProjectsFromMetadataTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.execution.manager.DefaultBuildExecutorManagerTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.execution.maven.m1.MavenOneBuildExecutorTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.initialization.DefaultContinuumInitializerTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.installation.DefaultInstallationServiceTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.notification.ContinuumNotificationDispatcherTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.notification.mail.FormatterToolTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.notification.mail.MailContinuumNotifierTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.profile.DefaultProfileServiceTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.project.builder.maven.MavenOneContinuumProjectBuilderTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.project.builder.maven.MavenTwoContinuumProjectBuilderTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.scm.ContinuumScmTest.xml|continuum-reports/src/test/resources/continuum-core/TEST-org.apache.maven.continuum.utils.ProjectSorterTest.xml|continuum-reports/src/test/resources/continuum-core/org.apache.maven.continuum.TestAction.txt|continuum-reports/src/test/resources/continuum-core/org.apache.maven.continuum.project.builder.maven.MavenTwoContinuumProjectBuilderTest.txt|continuum-reports/src/test/resources/continuum-core/org.apache.maven.continuum.scm.ContinuumScmTest.txt|continuum-reports/src/test/resources/continuum-core/org.apache.maven.continuum.utils.ProjectSorterTest.txt|continuum-reports/src/test/resources/org/apache/maven/continuum/reports/surefire/DefaultReportTestSuiteGeneratorTest.xml|continuum-reports/src/test/resources/simplereport/TEST-org.apache.maven.continuum.AppTest.xml|continuum-webapp/pom.xml|continuum-webapp/src/main/java/org/apache/maven/continuum/web/action/SurefireReportAction.java|continuum-webapp/src/main/resources/META-INF/plexus/application.xml|pom.xml|,13,14,14,2007-11-02 11:32:23 +0000,2007-11-13 16:36:11 +0000,67ec3f23ea7e2b2ea0b81239d8d99c43979bddfa,continuum
CONTINUUM-1782,2008-07-18 04:46:04 +0000,continuum-security/src/main/resources/META-INF/redback/redback.xml|,14,15,15,2008-05-26 03:14:49 +0000,2008-07-18 09:45:36 +0000,04e9909d445cc751f814aa88030656e4eade7561,continuum
