Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
COUCHDB-266,2009-02-24 13:58:58 +0000,src/global_changes_httpd.erl|,4,4,27,2009-02-24 13:51:13 +0000,2016-04-17 20:03:45 +0200,40e88fc7b95017270400e4fa78c3357f125fb0f0,couchdb
COUCHDB-1537,2012-09-28 17:32:56 +0000,src/couch_mrview_show.erl|,15,18,18,2012-09-28 17:17:29 +0000,2012-09-28 18:19:18 +0100,cda6f2f9e24ab6fb831bbbbe6bc1fb88ace14f2c,couchdb
COUCHDB-254,2009-03-06 00:12:57 +0000,test/couch_replicator_compact_tests.erl|test/couch_replicator_large_atts_tests.erl|test/couch_replicator_many_leaves_tests.erl|test/couch_replicator_missing_stubs_tests.erl|test/couch_replicator_use_checkpoints_tests.erl|,4,4,27,2009-02-13 21:44:34 +0000,2015-04-06 20:56:21 +0300,bbab85b9f9674a809b2ec1d044beffed20396eae,couchdb
COUCHDB-286,2009-03-10 08:23:02 +0000,src/fabric_doc_open_revs.erl|,4,4,27,2009-03-10 07:27:26 +0000,2016-05-17 10:53:25 -0500,9a1d0c54c78cef70d1a3992f3c71ef2878c498e4,couchdb
COUCHDB-281,2009-03-05 18:13:08 +0000,src/mango_httpd.erl|src/mango_idx.erl|src/mango_idx_text.erl|src/mango_idx_view.erl|src/mango_native_proc.erl|test/05-index-selection-test.py|,4,4,27,2009-03-05 18:05:54 +0000,2015-10-05 13:45:10 -0700,06cf106dc47188ce399b62c82c786197ef85a382,couchdb
COUCHDB-287,2009-11-15 21:20:46 +0000,rebar.config.script|,4,4,27,2009-03-11 08:31:29 +0000,2016-01-27 14:39:22 +0300,572bea392148e396a759f0fc9d093824556e6c71,couchdb
COUCHDB-1319,2011-10-30 18:57:46 +0000,couch_file.erl|,14,16,16,2011-10-26 18:02:01 +0000,2011-10-30 14:27:39 -0400,45115e82325cb82f6cf242ed2f693dc2ab4713f0,couchdb
COUCHDB-272,2011-10-30 16:41:09 +0000,src/global_changes_httpd.erl|,4,4,27,2009-03-01 04:20:44 +0000,2015-07-27 13:13:11 +0100,ad5bbfedc848812afcfc3460ffebbd62019d702d,couchdb
COUCHDB-275,2009-05-14 16:56:55 +0000,src/couch_httpd_auth.erl|,4,4,27,2009-03-02 15:44:18 +0000,2015-08-11 17:35:42 -0400,078f7a8c6c895773ecc6329f72ea6a9ee2ac5f69,couchdb
COUCHDB-270,2010-03-05 16:42:38 +0000,src/couch_db.erl|,4,4,27,2009-02-28 04:07:38 +0000,2015-06-24 13:02:49 -0300,6dcbf935390485bc7f141e029451714b1652006d,couchdb
COUCHDB-1799,2013-05-22 20:34:30 +0000,src/couchdb/couch_httpd.erl|src/couchdb/couch_httpd_rewrite.erl|,20,21,21,2013-05-20 10:53:27 +0000,2013-05-22 16:30:59 -0400,4abe8cd97f1dfe15c414989af67703952cb607fa,couchdb
COUCHDB-279,2010-06-01 15:41:55 +0000,test/javascript/tests/csrf.js|,4,4,27,2009-03-03 23:56:11 +0000,2015-09-03 22:06:58 +0100,315832d4dbc402347e4154eaf17b20587bbb6ea0,couchdb
COUCHDB-220,2009-04-09 21:56:40 +0000,.travis.yml|INSTALL.Unix|configure.ac|share/doc/build/Makefile.am|share/doc/src/install/unix.rst|share/doc/src/whatsnew/1.7.rst|share/doc/src/whatsnew/index.rst|,4,4,25,2009-01-23 14:19:05 +0000,2014-05-01 15:46:58 +0200,296de8b1fe69e66d649294fd0445449b18c49194,couchdb
