Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
CRUNCH-318,2014-01-03 00:32:57 +0000,crunch-core/src/it/java/org/apache/crunch/CheckpointIT.java|,8,9,9,2014-01-03 00:07:14 +0000,2014-01-02 17:53:31 -0800,b4cad9454bac13761091298c0f2a2e470c40ab2d,crunch
CRUNCH-316,2014-01-02 17:45:04 +0000,crunch-core/src/it/java/org/apache/crunch/types/avro/SafeAvroSerializationIT.java|crunch-core/src/it/resources/CRUNCH-316.avsc|,8,9,9,2013-12-31 17:02:16 +0000,2014-01-02 20:30:47 -0600,64c20ad9c2361786c225d874561511ec62dd408d,crunch
CRUNCH-556,2015-08-25 21:44:57 +0000,crunch-spark/pom.xml|crunch-spark/src/it/java/org/apache/crunch/SparkHFileTargetIT.java|crunch-spark/src/main/java/org/apache/crunch/impl/spark/collect/PGroupedTableImpl.java|crunch-spark/src/main/java/org/apache/crunch/impl/spark/fn/PartitionedMapOutputFunction.java|,13,14,14,2015-08-13 05:15:40 +0000,2015-08-25 14:28:39 -0700,366da2ee0996c573ecb3a3094a29d697ec539db3,crunch
CRUNCH-314,2013-12-21 20:18:03 +0000,crunch-core/src/it/java/org/apache/crunch/io/avro/AvroModeIT.java|crunch-core/src/it/resources/strings-100.avro|crunch-core/src/main/java/org/apache/crunch/types/avro/AvroDeepCopier.java|crunch-core/src/main/java/org/apache/crunch/types/avro/AvroGroupedTableType.java|crunch-core/src/main/java/org/apache/crunch/types/avro/AvroMode.java|crunch-core/src/main/java/org/apache/crunch/types/avro/Avros.java|crunch-core/src/main/java/org/apache/crunch/types/avro/SafeAvroSerialization.java|pom.xml|,8,9,9,2013-12-21 01:22:29 +0000,2013-12-21 11:31:07 -0800,58eb227d78e6b1a32a334f83913df275ea1c7811,crunch
CRUNCH-312,2013-12-21 01:18:32 +0000,crunch-core/src/it/java/org/apache/crunch/io/avro/AvroReflectIT.java|crunch-core/src/main/java/org/apache/crunch/types/avro/AvroTableType.java|crunch-core/src/main/java/org/apache/crunch/types/avro/AvroType.java|crunch-core/src/main/java/org/apache/crunch/types/avro/Avros.java|,8,9,9,2013-12-19 20:03:38 +0000,2013-12-20 09:09:02 -0800,9cde3d9005ede9281950a7556d3558101466b3ab,crunch
CRUNCH-434,2014-07-05 20:23:41 +0000,crunch-core/src/it/java/org/apache/crunch/io/CompressIT.java|crunch-core/src/main/java/org/apache/crunch/io/Compress.java|crunch-core/src/main/java/org/apache/crunch/io/avro/AvroFileTarget.java|crunch-core/src/main/java/org/apache/crunch/io/parquet/AvroParquetFileTarget.java|crunch-core/src/main/java/org/apache/crunch/io/text/TextFileTarget.java|,9,10,10,2014-07-04 23:20:11 +0000,2014-07-04 16:20:33 -0700,e1bfa47e8c77c96bd62334cc3e4cae36c29085da,crunch
CRUNCH-313,2013-12-21 01:33:09 +0000,crunch-core/src/it/java/org/apache/crunch/io/avro/AvroPipelineIT.java|crunch-core/src/main/java/org/apache/crunch/impl/mr/run/CrunchInputSplit.java|,8,9,9,2013-12-21 01:14:37 +0000,2013-12-20 17:15:06 -0800,316ccb6bfb8579ee6c269be80ed78e18e83a6402,crunch
CRUNCH-552,2015-07-28 02:21:00 +0000,crunch-core/pom.xml|crunch-core/src/main/java/org/apache/crunch/io/parquet/AvroParquetFileTarget.java|crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java|crunch-spark/src/main/java/org/apache/crunch/impl/spark/SparkRuntime.java|crunch-test/pom.xml|crunch-test/src/main/avro/employee.avsc|crunch-test/src/main/avro/person.avsc|,12,13,13,2015-07-28 00:37:28 +0000,2015-07-27 19:07:12 -0700,29d1ce4cddcddc86cda36bd464c26df4bdff3ae4,crunch
CRUNCH-553,2015-07-28 03:09:03 +0000,crunch-core/src/it/java/org/apache/crunch/RecordDropIT.java|crunch-core/src/main/java/org/apache/crunch/impl/dist/collect/BaseInputTable.java|,10,13,13,2015-07-28 01:49:04 +0000,2015-07-27 19:35:30 -0700,3a1d474b0514f02a5ce46f6db1fbe2e8abcb03be,crunch
CRUNCH-671,2018-08-13 20:42:38 +0000,pom.xml|,14,16,16,2018-08-09 05:25:58 +0000,2018-08-13 13:32:22 -0700,51d9443f5be3d67588e4c3a974f71ea02158d39e,crunch
