Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
DIRMINA-15,2005-04-12 17:37:02 +0000,,1,1,10,2005-04-12 03:32:10 +0000,2006-01-26 01:47:41 +0000,69ad1473066c1d23b2b03afc6ba4e93708555590,mina
DIRMINA-19,2005-05-03 12:47:22 +0000,core/src/main/java/org/apache/mina/filter/codec/CumulativeProtocolDecoder.java|,1,1,15,2005-05-03 00:33:47 +0000,2006-09-13 19:50:43 +0000,e9dcc85a405c75ca0315a6a21f6118d680112b31,mina
DIRMINA-62,2005-06-16 10:55:01 +0000,core/src/test/java/org/apache/mina/proxy/NTLMTest.java|,3,4,30,2005-06-16 01:38:03 +0000,2008-11-19 01:08:21 +0000,450c0acec4f820ad34645e50b0afa2a68e5966a4,mina
DIRMINA-65,2005-07-01 14:13:20 +0000,core/src/test/java/org/apache/mina/filter/ssl/SslTest.java|,1,4,34,2005-06-21 00:30:55 +0000,2009-12-10 13:03:58 +0000,0f57cd3748633371c0450366d55faf02cfc82d08,mina
DIRMINA-50,2005-06-07 10:52:29 +0000,core/src/main/java/org/apache/mina/filter/reqres/Request.java|,1,3,25,2005-06-01 19:15:37 +0000,2008-01-15 05:51:59 +0000,a645755dd1fe1e419fb524e064c01e97fe9c64fc,mina
DIRMINA-55,2005-06-07 12:51:42 +0000,statemachine/src/main/java/org/apache/mina/statemachine/StateMachine.java|statemachine/src/main/java/org/apache/mina/statemachine/StateMachineProxyBuilder.java|statemachine/src/main/java/org/apache/mina/statemachine/event/EventFactory.java|statemachine/src/test/java/org/apache/mina/statemachine/StateMachineProxyBuilderTest.java|,1,3,27,2005-06-07 12:30:12 +0000,2008-03-25 22:22:35 +0000,92d4586b9a99a4d4344fb526ce5f84ab23790b02,mina
DIRMINA-54,2005-06-07 09:28:52 +0000,core/src/main/java/org/apache/mina/common/UnderivableBuffer.java|core/src/main/java/org/apache/mina/filter/codec/CumulativeProtocolDecoder.java|core/src/test/java/org/apache/mina/filter/codec/CumulativeProtocolDecoderTest.java|,2,3,27,2005-06-07 06:50:28 +0000,2008-03-17 14:50:47 +0000,7552914ee19534ce18409bca581723551f6d008e,mina
DIRMINA-59,2005-06-09 09:58:33 +0000,transport-apr/src/main/java/org/apache/mina/transport/socket/apr/AprDatagramSession.java|transport-apr/src/main/java/org/apache/mina/transport/socket/apr/AprLibrary.java|,3,4,31,2005-06-09 09:55:39 +0000,2009-03-23 10:38:28 +0000,dcba81eaa2031d984aa69e083c280e882b167811,mina
DIRMINA-58,2005-06-09 10:06:11 +0000,example/src/main/java/org/apache/mina/example/proxy/AbstractProxyIoHandler.java|example/src/main/java/org/apache/mina/example/proxy/ClientToProxyIoHandler.java|,3,4,29,2005-06-08 20:19:16 +0000,2008-07-22 06:56:35 +0000,1764aaffc322b5286e0e4b4b12eaa4565d0a1341,mina
DIRMINA-199,2006-09-13 19:52:17 +0000,core/src/main/java/org/apache/mina/filter/codec/CumulativeProtocolDecoder.java|,11,13,15,2006-04-04 16:07:10 +0000,2006-09-13 19:50:43 +0000,e9dcc85a405c75ca0315a6a21f6118d680112b31,mina
DIRMINA-41,2005-05-20 17:10:10 +0000,example/src/test/java/org/apache/mina/example/proxy/ClientSessionHandler.java|example/src/test/java/org/apache/mina/example/proxy/ProxyTestClient.java|example/src/test/java/org/apache/mina/example/proxy/Socks5GSSAPITestServer.java|example/src/test/java/org/apache/mina/example/proxy/telnet/ProxyTelnetTest.java|example/src/test/java/org/apache/mina/example/proxy/telnet/TelnetSessionHandler.java|,1,3,30,2005-05-17 00:47:49 +0000,2008-08-20 00:07:55 +0000,303df69552b021c6cb7d6f3fb97070808da0be1d,mina
DIRMINA-44,2005-05-20 17:37:51 +0000,core/src/main/java/org/apache/mina/management/IoSessionStat.java|core/src/main/java/org/apache/mina/management/IoStatistics.java|core/src/main/java/org/apache/mina/management/IoStatisticsCollector.java|core/src/main/java/org/apache/mina/management/StatCollector.java|integration-jmx/src/main/java/org/apache/mina/integration/jmx/IoServiceManager.java|integration-jmx/src/main/java/org/apache/mina/integration/jmx/IoServiceManagerMBean.java|integration-jmx/src/main/java/org/apache/mina/integration/jmx/IoSessionManager.java|integration-jmx/src/main/java/org/apache/mina/integration/jmx/IoSessionManagerMBean.java|,1,3,24,2005-05-20 16:08:52 +0000,2007-11-14 06:45:49 +0000,f58daada3640d0d8caa143fb516e4976e421f8a2,mina
DIRMINA-43,2005-05-19 18:17:32 +0000,core/src/main/java/org/apache/mina/common/AbstractPollingIoConnector.java|core/src/main/java/org/apache/mina/transport/socket/nio/NioDatagramConnector.java|core/src/main/java/org/apache/mina/transport/socket/nio/NioSocketConnector.java|transport-apr/src/main/java/org/apache/mina/transport/socket/apr/AprSocketConnector.java|,1,3,25,2005-05-17 15:25:03 +0000,2007-12-04 06:38:46 +0000,e53a207e999c64f06fa2a444c30bbcaa1db7873b,mina
DIRMINA-45,2005-05-23 15:02:36 +0000,core/src/test/java/org/apache/mina/transport/socket/nio/DatagramConfigTest.java|example/src/test/java/org/apache/mina/example/echoserver/AcceptorTest.java|example/src/test/java/org/apache/mina/example/echoserver/ConnectorTest.java|,2,3,24,2005-05-20 21:40:50 +0000,2007-11-13 12:17:27 +0000,ad8a3638ca2cd54569433a32e023dd55e821d95b,mina
DIRMINA-47,2005-05-31 10:11:01 +0000,core/src/main/java/org/apache/mina/common/AbstractIoBuffer.java|core/src/main/java/org/apache/mina/common/IoBuffer.java|core/src/main/java/org/apache/mina/common/IoBufferWrapper.java|core/src/main/java/org/apache/mina/filter/ssl/SslBufferUtil.java|core/src/main/java/org/apache/mina/filter/ssl/SslFilter.java|core/src/main/java/org/apache/mina/filter/ssl/SslHandler.java|,2,3,24,2005-05-27 12:38:57 +0000,2007-11-13 03:37:37 +0000,d79b207fbdbf9e5fd3c89dacca808e240ba4f585,mina
DIRMINA-49,2005-06-07 10:32:35 +0000,core/src/main/java/org/apache/mina/common/AbstractIoConnector.java|core/src/main/java/org/apache/mina/common/AbstractIoService.java|core/src/main/java/org/apache/mina/common/AbstractPollingIoConnector.java|core/src/main/java/org/apache/mina/common/IoConnector.java|core/src/main/java/org/apache/mina/transport/vmpipe/VmPipeConnector.java|transport-serial/src/main/java/org/apache/mina/transport/serial/SerialConnector.java|,2,3,25,2005-06-01 17:08:55 +0000,2007-12-28 03:20:07 +0000,d616c6056add234aad29168ad1eca3a1cc14cd08,mina
DIRMINA-31,2005-05-10 00:01:40 +0000,core/src/main/java/org/apache/mina/transport/socket/nio/NioSocketConnector.java|,1,2,24,2005-05-09 21:22:11 +0000,2007-11-08 05:38:02 +0000,acc52e3f6d76d9ef4c278b781ff4d178073c24e7,mina
DIRMINA-33,2005-05-10 16:11:44 +0000,core/src/main/java/org/apache/mina/filter/executor/UnorderedExecutorFilter.java|,1,2,20,2005-05-10 15:50:59 +0000,2007-07-11 06:24:00 +0000,fadb5c080aa4eae1af24514129b6b750b4afc1a2,mina
DIRMINA-37,2005-05-13 14:35:47 +0000,core/src/main/java/org/apache/mina/common/AbstractIoConnector.java|core/src/main/java/org/apache/mina/common/AbstractIoSession.java|core/src/main/java/org/apache/mina/common/AbstractIoSessionConfig.java|core/src/main/java/org/apache/mina/common/DefaultIoFilterChain.java|core/src/main/java/org/apache/mina/common/DefaultReadFuture.java|core/src/main/java/org/apache/mina/common/IoSession.java|core/src/main/java/org/apache/mina/common/IoSessionConfig.java|core/src/main/java/org/apache/mina/common/ReadFuture.java|,1,2,24,2005-05-13 13:18:28 +0000,2007-11-13 10:42:03 +0000,3f659d731b534c95ae795016bbcf6c0b6abd952d,mina
DIRMINA-610,2008-07-22 21:30:28 +0000,core/src/main/java/org/apache/mina/core/polling/AbstractPollingIoProcessor.java|,27,29,29,2008-07-18 18:37:33 +0000,2008-07-28 08:22:53 +0000,c6497062e34aab2d237aab01581f402224c032ca,mina
DIRMINA-732,2010-02-12 00:26:31 +0000,core/src/main/java/org/apache/mina/core/polling/AbstractPollingConnectionlessIoAcceptor.java|core/src/main/java/org/apache/mina/transport/socket/nio/NioDatagramAcceptor.java|core/src/main/java/org/apache/mina/transport/socket/nio/NioDatagramSession.java|core/src/test/java/org/apache/mina/transport/socket/nio/DatagramSessionIdleTest.java|,32,33,34,2009-07-29 12:02:47 +0000,2010-01-14 19:29:26 +0000,19fbf91ff58e2a0134f08cb08238792b22882edc,mina
DIRMINA-733,2010-01-14 07:01:37 +0000,core/src/main/java/org/apache/mina/filter/statistic/ProfilerTimerFilter.java|,32,33,34,2009-08-04 18:25:56 +0000,2010-01-14 07:00:48 +0000,af3a005060dda596a5afc2d4f5457738536c9005,mina
DIRMINA-613,2008-07-30 12:00:20 +0000,core/src/main/java/org/apache/mina/filter/codec/CumulativeProtocolDecoder.java|,26,29,29,2008-07-30 11:52:21 +0000,2008-07-30 11:58:19 +0000,763425fb6785be08ef18126729b1d33a6535cf58,mina
