Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
DIRSERVER-1093,2012-02-28 02:19:33 +0000,protocol-dns/src/main/java/org/apache/directory/server/dns/io/encoder/QuestionRecordEncoder.java|protocol-dns/src/main/java/org/apache/directory/server/dns/io/encoder/ResourceRecordEncoder.java|,9,10,21,2007-10-31 09:31:41 +0000,2012-02-28 02:18:04 +0000,f332ef24f931598808450b5d22aa2925dda28052,directory-server
DIRSERVER-1086,2007-12-12 22:44:22 +0000,server-unit/src/test/java/org/apache/directory/server/ModifyRdnTest.java|,9,10,10,2007-10-14 22:35:31 +0000,2007-12-12 22:41:48 +0000,d966dce4a7e6330a16ec002e5abe89ba498ee6e1,directory-server
DIRSERVER-1085,2008-06-14 09:35:20 +0000,core/src/main/java/org/apache/directory/server/core/schema/SchemaInterceptor.java|jdbm-store/src/main/java/org/apache/directory/server/core/partition/impl/btree/jdbm/JdbmStore.java|server-unit/src/test/java/org/apache/directory/server/ModifyRdnTest.java|,8,10,11,2007-10-11 10:53:33 +0000,2008-06-14 09:23:18 +0000,3aeb3d4346bf8fd517676d871a3d3497479286d0,directory-server
DIRSERVER-2173,2016-11-20 20:31:39 +0000,installers/src/test/docker/bin2.test|installers/src/test/docker/run-tests.sh|,35,39,39,2016-11-16 19:02:45 +0000,2016-11-20 20:25:42 +0000,4267b6fc182b974cd90a0c484f9a4eea0e6a809d,directory-server
DIRSERVER-1080,2007-10-04 13:17:36 +0000,core-unit/src/test/java/org/apache/directory/server/core/operational/OperationalAttributeServiceITest.java|core/src/main/java/org/apache/directory/server/core/operational/OperationalAttributeService.java|core/src/main/java/org/apache/directory/server/core/schema/SchemaManager.java|core/src/main/java/org/apache/directory/server/core/schema/SchemaService.java|,9,10,10,2007-10-02 20:02:46 +0000,2007-10-04 13:15:48 +0000,6f485119e96987ab1d74b1d6e96c6e4ebc04a9b5,directory-server
DIRSERVER-2197,2019-06-23 20:55:26 +0000,installers/src/test/docker/archive.test|installers/src/test/docker/bin-DIRSERVER-2173.test|installers/src/test/docker/bin.test|installers/src/test/docker/deb.test|installers/src/test/docker/rpm.test|,39,39,41,2017-06-06 22:05:57 +0000,2019-06-23 22:35:57 +0200,cf28db76b3fb5d759fa6cdf64949f8ce52c18f6f,directory-server
DIRSERVER-1909,2013-11-01 18:09:21 +0000,jdbm-partition/src/main/java/org/apache/directory/server/core/partition/impl/btree/jdbm/JdbmTable.java|,30,31,31,2013-11-01 17:43:49 +0000,2013-11-01 18:08:00 +0000,0ec870277dea5497d478886bb7f9eba4838151a5,directory-server
DIRSERVER-1905,2013-10-09 09:50:57 +0000,kerberos-codec/src/main/java/org/apache/directory/server/kerberos/shared/keytab/KeytabDecoder.java|,30,31,31,2013-10-09 08:02:05 +0000,2013-10-09 09:49:52 +0000,5109b1697c3b59c7ea2834dcc062d357fbd91ad5,directory-server
DIRSERVER-1906,2013-10-15 05:24:58 +0000,xdbm-partition/src/main/java/org/apache/directory/server/core/partition/impl/btree/AbstractBTreePartition.java|,30,31,31,2013-10-15 05:22:30 +0000,2013-10-15 05:23:22 +0000,41f4d84e3d71ec150453d22066c9ffbc519267f8,directory-server
DIRSERVER-1900,2013-09-17 09:26:20 +0000,interceptors/hash/src/main/java/org/apache/directory/server/core/hash/PasswordHashingInterceptor.java|,30,31,31,2013-09-17 05:33:37 +0000,2013-09-17 06:14:12 +0000,92727c9c31f40f889f0b7ebd881908e0b2c02797,directory-server
