Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
DIRSTUDIO-94,2007-05-21 21:27:41 +0000,plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/dialogs/JdbmIndexDialog.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/dialogs/MavibotIndexDialog.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/dialogs/messages.properties|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/dialogs/messages_de.properties|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/dialogs/messages_fr.properties|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/AbstractPartitionSpecificDetailsBlock.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/JdbmPartitionSpecificDetailsBlock.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/MavibotPartitionSpecificDetailsBlock.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/PartitionDetailsPage.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/PartitionSpecificDetailsBlock.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/PartitionType.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/PartitionWrapper.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/PartitionsMasterDetailsBlock.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/PartitionsPage.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/ServerConfigurationEditor.java|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/messages.properties|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/messages_de.properties|plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/messages_fr.properties|,2,3,23,2007-05-03 23:20:37 +0000,2013-09-16 14:36:10 +0000,31123766fefcd2ad720a568bb6559f4a078c2fb0,directory-studio
DIRSTUDIO-96,2007-07-02 22:22:54 +0000,plugins/connection.core/src/main/java/org/apache/directory/studio/connection/core/DnUtils.java|,3,4,23,2007-05-10 10:25:40 +0000,2014-05-21 21:26:10 +0000,9fa890eb7b3dcfd031279b346bbcd97a6944308f,directory-studio
DIRSTUDIO-921,2013-06-07 15:47:45 +0000,plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/controller/SchemaViewController.java|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/controller/actions/RenameSchemaElementAction.java|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/editors/objectclass/ObjectClassEditor.java|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/editors/objectclass/ObjectClassEditorInput.java|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/views/SchemaViewContentProvider.java|plugins/schemaeditor/src/main/java/org/apache/directory/studio/schemaeditor/view/wrappers/ObjectClassWrapper.java|,21,22,22,2013-06-04 17:18:19 +0000,2013-06-07 15:22:46 +0000,4b47c4bf1d28bf40af52ff995d80c412e490ef24,directory-studio
DIRSTUDIO-808,2012-04-27 12:49:14 +0000,plugins/connection.core/src/main/java/org/apache/directory/studio/connection/core/io/api/DirectoryApiConnectionWrapper.java|,17,18,18,2012-04-27 12:21:23 +0000,2012-04-27 12:55:21 +0000,ef89043708868e382e32fd48b7f7c515a9711d8d,directory-studio
DIRSTUDIO-802,2012-04-10 12:47:32 +0000,plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/dialogs/EncoderDecoderDialog.java|,14,18,18,2012-04-05 17:14:53 +0000,2012-04-10 12:46:42 +0000,853836f85d2effdf6c45daedfb4d95b30007b823,directory-studio
DIRSTUDIO-82,2007-04-22 20:19:14 +0000,plugins/ldapbrowser.common/src/main/java/org/apache/directory/studio/ldapbrowser/common/actions/OpenQuickSearchAction.java|,2,3,18,2007-04-13 08:15:34 +0000,2012-10-16 14:40:55 +0000,974fe252384c3c44133d5b94435a75d3c7679e1d,directory-studio
DIRSTUDIO-83,2007-04-23 14:58:46 +0000,plugins/connection.core/src/main/java/org/apache/directory/studio/connection/core/io/api/DirectoryApiConnectionWrapper.java|,2,3,23,2007-04-16 07:57:27 +0000,2014-06-08 14:04:46 +0000,1a7d1591637158df3011d1dbb3b4a5c8368672ca,directory-studio
DIRSTUDIO-84,2007-04-22 22:14:46 +0000,plugins/apacheds.configuration.v2/src/main/java/org/apache/directory/studio/apacheds/configuration/v2/editor/ServerConfigurationEditor.java|,2,3,18,2007-04-17 17:22:25 +0000,2012-11-22 17:18:22 +0000,50e448b9545e21f4c95d144ec60df1f3ef4f9e26,directory-studio
DIRSTUDIO-80,2007-07-05 12:54:56 +0000,plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/BatchOperationApplyOnWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/BatchOperationFinishWizardPage.java|plugins/ldapbrowser.ui/src/main/java/org/apache/directory/studio/ldapbrowser/ui/wizards/BatchOperationWizard.java|,2,3,18,2007-04-12 16:45:27 +0000,2012-10-15 14:51:51 +0000,7db6059566059e4a1e4d06473a9162c8dc8f2f65,directory-studio
DIRSTUDIO-88,2007-04-23 13:26:04 +0000,plugins/valueeditors/plugin.properties|plugins/valueeditors/plugin.xml|plugins/valueeditors/plugin_de.properties|plugins/valueeditors/plugin_fr.properties|plugins/valueeditors/resources/icons/booleaneditor.gif|plugins/valueeditors/src/main/java/org/apache/directory/studio/valueeditors/bool/InPlaceBooleanValueEditor.java|,2,3,21,2007-04-23 13:11:29 +0000,2013-03-21 14:32:21 +0000,5aee4b92f7fd75ac0c2c39c00dba1c0d068f114e,directory-studio
