Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
DOXIA-177,2009-01-18 10:01:35 +0000,doxia-core/src/main/java/org/apache/maven/doxia/sink/XhtmlBaseSink.java|doxia-core/src/test/java/org/apache/maven/doxia/sink/XhtmlBaseSinkTest.java|,1,2,7,2007-10-26 07:51:49 +0000,2009-08-21 11:58:39 +0000,84d836f5dd000a4c734ce5280a422710c515e035,maven-doxia
DOXIA-176,2007-10-26 07:29:50 +0000,doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/SectionBlockParser.java|doxia-modules/doxia-module-confluence/src/test/java/org/apache/maven/doxia/module/confluence/ConfluenceParserTest.java|doxia-modules/doxia-module-confluence/src/test/resources/section.confluence|,1,2,2,2007-10-22 11:26:09 +0000,2007-10-26 12:21:38 +0000,586fb4ab3fccf56cfa5796d28ca4ec51908a7e99,maven-doxia
DOXIA-299,2009-05-07 02:36:28 +0000,doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/ParagraphBlockParser.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/SectionBlock.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/SectionBlockParser.java|,5,6,6,2009-03-14 17:21:46 +0000,2009-05-07 07:35:06 +0000,cb978a1a486e7d0c4a78e62ebc73e0982192e1aa,maven-doxia
DOXIA-178,2007-11-19 04:38:29 +0000,doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/AbstractFatherBlock.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/ChildBlocksBuilder.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/ParagraphBlockParser.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/list/TreeListBuilder.java|doxia-modules/doxia-module-confluence/src/test/java/org/apache/maven/doxia/module/confluence/ConfluenceParserTest.java|doxia-modules/doxia-module-confluence/src/test/resources/nested-format.confluence|,1,2,3,2007-10-28 04:54:51 +0000,2007-11-19 10:37:51 +0000,08f6026a4acbb0d6993ee64870edaf01616ffa7d,maven-doxia
DOXIA-291,2009-02-25 00:09:05 +0000,doxia-core/src/main/java/org/apache/maven/doxia/macro/SwfMacro.java|,4,5,5,2009-02-24 04:40:05 +0000,2009-02-25 06:06:01 +0000,6b48f5f522f94bfef177527b01da6c3bf2694ad8,maven-doxia
DOXIA-294,2009-03-08 15:43:57 +0000,doxia-modules/doxia-module-apt/src/main/java/org/apache/maven/doxia/module/apt/AptParser.java|doxia-modules/doxia-module-apt/src/test/java/org/apache/maven/doxia/module/apt/AptParserTest.java|,5,5,6,2009-03-03 07:34:34 +0000,2009-03-08 20:42:30 +0000,81b08e7844afb088b12535fe9e34fe34737e93d4,maven-doxia
DOXIA-296,2009-03-10 10:49:40 +0000,doxia-core/src/main/java/org/apache/maven/doxia/parser/XhtmlBaseParser.java|doxia-core/src/main/java/org/apache/maven/doxia/sink/XhtmlBaseSink.java|doxia-core/src/test/java/org/apache/maven/doxia/parser/XhtmlBaseParserTest.java|doxia-modules/doxia-module-fml/src/main/java/org/apache/maven/doxia/module/fml/FmlContentParser.java|doxia-modules/doxia-module-xdoc/src/main/java/org/apache/maven/doxia/module/xdoc/XdocParser.java|doxia-modules/doxia-module-xdoc/src/test/java/org/apache/maven/doxia/module/xdoc/XdocParserTest.java|doxia-modules/doxia-module-xhtml/src/main/java/org/apache/maven/doxia/module/xhtml/XhtmlParser.java|doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/Sink.java|,5,5,6,2009-03-06 06:25:24 +0000,2009-03-10 15:48:59 +0000,c7d677731b80d86b160610f1559d411fe2300f55,maven-doxia
DOXIA-189,2007-11-27 17:03:26 +0000,doxia-core/src/test/java/org/apache/maven/doxia/parser/XhtmlBaseParserTest.java|,2,3,3,2007-11-27 15:02:47 +0000,2008-02-21 10:33:02 +0000,484e70eeaa481591965ccbe655d4e26983a6265d,maven-doxia
DOXIA-180,2007-11-04 01:21:01 +0000,doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/ChildBlocksBuilder.java|doxia-modules/doxia-module-confluence/src/test/java/org/apache/maven/doxia/module/confluence/ConfluenceParserTest.java|doxia-modules/doxia-module-confluence/src/test/resources/link.confluence|,1,2,3,2007-10-28 12:28:20 +0000,2007-11-04 07:19:48 +0000,a20e0e6c2e8857f77059998ddfdbf1d753f40953,maven-doxia
DOXIA-182,2007-10-30 08:40:45 +0000,doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/ConfluenceParser.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/ChildBlocksBuilder.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/FigureBlock.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/FigureBlockParser.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/ParagraphBlockParser.java|doxia-modules/doxia-module-confluence/src/test/java/org/apache/maven/doxia/module/confluence/ConfluenceParserTest.java|doxia-modules/doxia-module-confluence/src/test/resources/figure.confluence|,1,2,2,2007-10-29 02:59:21 +0000,2007-10-30 13:35:44 +0000,92bb0d42d0d800d24470a7f42b0903d33c7f6c4b,maven-doxia
DOXIA-181,2007-11-04 12:32:37 +0000,doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/ConfluenceParser.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/ChildBlocksBuilder.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/FigureBlockParser.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/ParagraphBlockParser.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/list/ListBlockParser.java|doxia-modules/doxia-module-confluence/src/main/java/org/apache/maven/doxia/module/confluence/parser/list/TreeListBuilder.java|doxia-modules/doxia-module-confluence/src/test/java/org/apache/maven/doxia/module/confluence/ConfluenceParserTest.java|doxia-modules/doxia-module-confluence/src/test/resources/paragraph-figure.confluence|doxia-modules/doxia-module-confluence/src/test/resources/paragraph-header.confluence|doxia-modules/doxia-module-confluence/src/test/resources/paragraph-list.confluence|doxia-modules/doxia-module-confluence/src/test/resources/simple-list.confluence|,1,2,3,2007-10-28 12:31:04 +0000,2007-11-04 18:31:51 +0000,75f3b760d8491a65b30b4a7b2f98408363dec0f5,maven-doxia
DOXIA-184,2009-06-12 06:28:59 +0000,doxia-modules/doxia-module-docbook-simple/src/main/java/org/apache/maven/doxia/module/docbook/DocBookParser.java|doxia-modules/doxia-module-docbook-simple/src/test/java/org/apache/maven/doxia/module/docbook/DocBookParserTest.java|,1,2,6,2007-10-29 10:45:58 +0000,2009-06-12 03:42:35 +0000,09fd32318d6a386603362d07629f0815f0798296,maven-doxia
DOXIA-183,2008-05-28 04:51:31 +0000,doxia-core/src/main/java/org/apache/maven/doxia/markup/HtmlMarkup.java|doxia-core/src/main/java/org/apache/maven/doxia/parser/XhtmlBaseParser.java|doxia-core/src/main/java/org/apache/maven/doxia/sink/SinkAdapter.java|doxia-core/src/main/java/org/apache/maven/doxia/sink/XhtmlBaseSink.java|doxia-core/src/main/java/org/apache/maven/doxia/util/HtmlTools.java|doxia-core/src/test/java/org/apache/maven/doxia/sink/SinkEventTestingSink.java|doxia-core/src/test/java/org/apache/maven/doxia/sink/TextSink.java|doxia-core/src/test/java/org/apache/maven/doxia/sink/WellformednessCheckingSink.java|doxia-modules/doxia-module-apt/src/main/java/org/apache/maven/doxia/module/apt/AptSink.java|doxia-modules/doxia-module-docbook-simple/src/main/java/org/apache/maven/doxia/module/docbook/DocBookSink.java|doxia-modules/doxia-module-fml/src/main/java/org/apache/maven/doxia/module/fml/FmlContentParser.java|doxia-modules/doxia-module-fml/src/main/java/org/apache/maven/doxia/module/fml/FmlMarkup.java|doxia-modules/doxia-module-fo/src/main/java/org/apache/maven/doxia/module/fo/FoSink.java|doxia-modules/doxia-module-itext/src/main/java/org/apache/maven/doxia/module/itext/ITextSink.java|doxia-modules/doxia-module-latex/src/main/java/org/apache/maven/doxia/module/latex/LatexSink.java|doxia-modules/doxia-module-rtf/src/main/java/org/apache/maven/doxia/module/rtf/RtfSink.java|doxia-modules/doxia-module-xdoc/src/main/java/org/apache/maven/doxia/module/xdoc/XdocMarkup.java|doxia-modules/doxia-module-xdoc/src/main/java/org/apache/maven/doxia/module/xdoc/XdocParser.java|doxia-modules/doxia-module-xhtml/src/main/java/org/apache/maven/doxia/module/xhtml/XhtmlMarkup.java|doxia-modules/doxia-module-xhtml/src/main/java/org/apache/maven/doxia/module/xhtml/XhtmlParser.java|doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/Sink.java|,1,2,4,2007-10-29 06:09:41 +0000,2008-05-28 09:50:10 +0000,942e94523716aa11ee79ec366d711c49caf9849f,maven-doxia
