Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
HADOOP-9906,2013-08-28 18:09:47 +0000,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/ZKUtil.java|hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/util/TestZKUtil.java|,87,88,88,2013-08-26 22:52:17 +0000,2013-08-28 18:03:37 +0000,613866771c6e5f351994366094cabc7753ff5173,hadoop-common
HADOOP-9908,2013-09-05 14:42:51 +0000,hadoop-common-project/hadoop-common/CHANGES.txt|hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/VersionInfo.java|,87,88,88,2013-08-27 22:53:05 +0000,2013-09-05 14:41:25 +0000,5ac908964e69a9b1c37d8d00f82335102e165739,hadoop-common
HADOOP-9910,2013-08-28 18:00:13 +0000,hadoop-common-project/hadoop-common/CHANGES.txt|,87,88,88,2013-08-28 15:34:27 +0000,2013-08-28 17:54:19 +0000,ecd5b9c29a0811998089c71259fd97c4d84a8b3c,hadoop-common
HADOOP-6881,2010-07-27 18:13:40 +0000,CHANGES.txt|,53,57,57,2010-07-26 18:52:41 +0000,2010-07-27 17:58:37 +0000,d34b55de15e3c0aa6a23c98519ac21f1db79129d,hadoop-common
HADOOP-9919,2014-04-21 18:17:21 +0000,hadoop-common-project/hadoop-common/CHANGES.txt|hadoop-common-project/hadoop-common/src/main/conf/hadoop-metrics2.properties|,87,88,93,2013-08-29 19:30:58 +0000,2014-04-21 17:57:06 +0000,31f300869beddcba4e2c472687b8bdf156f8af9f,hadoop-common
HADOOP-10517,2014-05-06 19:54:32 +0000,hadoop-common-project/hadoop-common/CHANGES.txt|hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/util/JarFinder.java|,92,93,93,2014-04-17 13:57:33 +0000,2014-05-06 19:49:38 +0000,c59110120483c6257829669198dad9b37faf651f,hadoop-common
HADOOP-10500,2014-04-14 23:52:36 +0000,hadoop-common-project/hadoop-common/CHANGES.txt|hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestDoAsEffectiveUser.java|,92,93,93,2014-04-14 20:40:15 +0000,2014-04-14 23:43:53 +0000,2faafe14a1a22dc81ce1cc9d46750db1baec6f33,hadoop-common
HADOOP-10508,2014-04-29 06:08:40 +0000,hadoop-common-project/hadoop-common/CHANGES.txt|hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/CommonConfigurationKeys.java|hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/HDFSPolicyProvider.java|hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/tools/DFSAdmin.java|hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/TestRefreshCallQueue.java|,92,93,93,2014-04-15 20:36:20 +0000,2014-04-29 06:04:14 +0000,f10c24c7a9d2ec6630472873c0acc5662e9ce84c,hadoop-common
HADOOP-10507,2014-07-10 17:03:54 +0000,hadoop-common-project/hadoop-common/CHANGES.txt|hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/permission/AclEntry.java|hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell/TestAclCommands.java|,92,93,95,2014-04-08 22:13:39 +0000,2014-07-10 16:57:17 +0000,f96a69d22d5e57b521dfb02c4fcd58881af63fe6,hadoop-common
HADOOP-6834,2010-07-16 18:38:47 +0000,CHANGES.txt|src/java/org/apache/hadoop/io/file/tfile/TFile.java|src/test/core/org/apache/hadoop/io/file/tfile/TestTFileComparator2.java|,55,57,57,2010-06-22 07:23:01 +0000,2010-07-16 18:37:50 +0000,c4312ab1fc54d51a686bba015f9876455365b317,hadoop-common
