Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
HTTPCLIENT-822,2009-02-14 17:02:07 +0000,RELEASE_NOTES.txt|module-client/src/main/java/org/apache/http/conn/MultihomePlainSocketFactory.java|module-client/src/main/java/org/apache/http/conn/scheme/PlainSocketFactory.java|module-client/src/main/java/org/apache/http/conn/ssl/SSLSocketFactory.java|,27,28,28,2009-02-02 12:05:52 +0000,2009-02-14 17:01:38 +0000,d855722988cd19867f500f0909565ddc156b6159,httpcomponents-client
HTTPCLIENT-1800,2017-01-07 11:40:46 +0000,httpclient5/src/main/java/org/apache/hc/client5/http/impl/sync/HttpClientBuilder.java|,63,64,64,2017-01-04 17:30:03 +0000,2017-01-07 11:39:15 +0000,aaf638b1d520cd8a7e4377a020de444ec09d282e,httpcomponents-client
HTTPCLIENT-1802,2017-01-20 19:22:44 +0000,httpclient5/src/main/java/org/apache/hc/client5/http/ssl/DefaultHostnameVerifier.java|httpclient5/src/main/java/org/apache/hc/client5/http/ssl/SSLConnectionSocketFactory.java|httpclient5/src/main/java/org/apache/hc/client5/http/ssl/SubjectName.java|httpclient5/src/test/java/org/apache/hc/client5/http/ssl/CertificatesToPlayWith.java|httpclient5/src/test/java/org/apache/hc/client5/http/ssl/TestDefaultHostnameVerifier.java|,63,64,64,2017-01-17 19:27:12 +0000,2017-01-20 19:21:10 +0000,cea5b2697b2ae50e058e027800b2553b503c967d,httpcomponents-client
HTTPCLIENT-813,2009-02-14 16:47:16 +0000,RELEASE_NOTES.txt|module-client/src/main/java/org/apache/http/conn/scheme/Scheme.java|module-client/src/test/java/org/apache/http/conn/scheme/TestScheme.java|,22,28,28,2009-01-07 16:56:28 +0000,2009-02-14 16:46:33 +0000,dd5061b2abbaa8f3e789a2e099b266627e6a642f,httpcomponents-client
HTTPCLIENT-5,2007-04-22 07:09:54 +0000,httpclient/src/examples/org/apache/http/examples/client/ClientKerberosAuthentication.java|httpclient/src/main/java/org/apache/http/impl/auth/NegotiateSchemeFactory.java|src/docbkx/authentication.xml|,1,2,29,2001-12-05 12:20:27 +0000,2009-09-16 12:17:13 +0000,fb6d73ef384a2589b9d1332d5c0a37aabe4f0550,httpcomponents-client
HTTPCLIENT-806,2008-10-30 14:03:43 +0000,RELEASE_NOTES.txt|module-client/src/main/java/org/apache/http/impl/client/DefaultHttpRequestRetryHandler.java|,22,27,27,2008-10-29 14:17:30 +0000,2008-10-30 13:56:25 +0000,e69e89e496da063dd122c06d169f56dc3cc90494,httpcomponents-client
HTTPCLIENT-803,2008-10-31 13:13:34 +0000,RELEASE_NOTES.txt|module-client/src/main/java/org/apache/http/conn/ssl/AbstractVerifier.java|module-client/src/test/java/org/apache/http/conn/ssl/CertificatesToPlayWith.java|module-client/src/test/java/org/apache/http/conn/ssl/TestHostnameVerifier.java|,23,27,27,2008-10-15 16:52:28 +0000,2008-10-31 13:08:23 +0000,e6a874178070f7ca7570723ea993a19cf895ec46,httpcomponents-client
HTTPCLIENT-80,2009-02-16 12:29:15 +0000,module-httpmime/src/main/java/org/apache/http/entity/mime/content/AbstractContentBody.java|module-httpmime/src/main/java/org/apache/http/entity/mime/content/FileBody.java|module-httpmime/src/main/java/org/apache/http/entity/mime/content/InputStreamBody.java|module-httpmime/src/main/java/org/apache/http/entity/mime/content/StringBody.java|module-httpmime/src/test/java/org/apache/http/entity/mime/TestMultipartContentBody.java|,1,2,27,2002-07-24 00:14:25 +0000,2008-10-31 17:16:08 +0000,997d0e069421c75a855fd1a54742c6b890a88d30,httpcomponents-client
HTTPCLIENT-85,2007-04-22 07:10:04 +0000,RELEASE_NOTES.txt|httpclient/src/main/java/org/apache/http/client/protocol/RequestAddCookies.java|httpclient/src/main/java/org/apache/http/cookie/CookieIdentityComparator.java|httpclient/src/test/java/org/apache/http/impl/client/TestCookieIdentityComparator.java|,1,2,28,2002-07-27 03:54:06 +0000,2009-07-09 19:29:11 +0000,9a2a3cb7323a3e04d59e16b44f0eaf8b3b73abdf,httpcomponents-client
HTTPCLIENT-77,2006-05-15 21:44:53 +0000,RELEASE_NOTES.txt|,1,2,26,2002-07-19 09:56:27 +0000,2008-06-08 18:11:52 +0000,baaef5ace50881f9bbf1b2a6e789fbeebfa9e3e2,httpcomponents-client
HTTPCLIENT-79,2007-04-22 07:10:04 +0000,module-client/src/main/java/org/apache/http/conn/scheme/PlainSocketFactory.java|module-client/src/main/java/org/apache/http/conn/ssl/SSLSocketFactory.java|,1,2,27,2002-07-23 19:47:00 +0000,2008-09-24 20:55:47 +0000,884a7cb69ac8c999be0f950315f4b151faebbe81,httpcomponents-client
HTTPCLIENT-197,2007-04-22 07:10:20 +0000,httpclient5-cache/src/main/java/org/apache/hc/client5/http/impl/cache/ByteArrayCacheEntrySerializer.java|httpclient5-cache/src/test/java/org/apache/hc/client5/http/impl/cache/TestByteArrayCacheEntrySerializer.java|,3,4,75,2003-04-23 04:30:44 +0000,2019-04-02 14:46:29 +0200,e6844906b763e6137eb2a11d48a59f72dc304669,httpcomponents-client
HTTPCLIENT-196,2007-04-22 07:10:20 +0000,httpclient5/src/main/java/org/apache/hc/client5/http/utils/URIUtils.java|httpclient5/src/test/java/org/apache/hc/client5/http/utils/TestURIUtils.java|,4,4,77,2003-04-23 03:01:41 +0000,2019-06-21 17:43:41 +0200,8603a61b555a4b7e92d04e11cd0a825aaf7d2f0d,httpcomponents-client
HTTPCLIENT-199,2007-04-22 07:10:21 +0000,httpclient5/src/main/java/org/apache/hc/client5/http/psl/PublicSuffixMatcher.java|httpclient5/src/test/java/org/apache/hc/client5/http/psl/TestPublicSuffixMatcher.java|httpclient5/src/test/java/org/apache/hc/client5/http/ssl/TestDefaultHostnameVerifier.java|,4,4,77,2003-04-25 02:33:24 +0000,2019-06-27 17:26:30 +0200,19a87e0c772558231e571f99e0a05c0f32ff18eb,httpcomponents-client
HTTPCLIENT-198,2007-04-22 07:10:20 +0000,httpclient5/src/main/java/org/apache/hc/client5/http/async/methods/AsyncRequestBuilder.java|httpclient5/src/main/java/org/apache/hc/client5/http/classic/methods/HttpTrace.java|httpclient5/src/main/java/org/apache/hc/client5/http/classic/methods/RequestBuilder.java|httpclient5/src/test/java/org/apache/hc/client5/http/async/methods/TestAsyncRequestBuilder.java|httpclient5/src/test/java/org/apache/hc/client5/http/classic/methods/TestHttpTrace.java|httpclient5/src/test/java/org/apache/hc/client5/http/classic/methods/TestRequestBuilder.java|,4,4,76,2003-04-23 22:02:12 +0000,2019-04-11 12:43:59 +0200,8a45e8608275cce3d2c156b332cc7492579851f5,httpcomponents-client
HTTPCLIENT-193,2007-04-22 07:10:20 +0000,RELEASE_NOTES.txt|pom.xml|,3,4,71,2003-04-22 09:19:37 +0000,2018-08-08 09:07:10 -0600,f121b302700b2d5a24ab16fd3d7bb6d10b00a7eb,httpcomponents-client
HTTPCLIENT-73,2007-04-22 07:10:02 +0000,module-client/src/examples/org/apache/http/examples/conn/ManagerConnectDirect.java|module-client/src/examples/org/apache/http/examples/conn/ManagerConnectProxy.java|module-client/src/main/java/org/apache/http/client/methods/AbortableHttpRequest.java|module-client/src/main/java/org/apache/http/client/methods/HttpRequestBase.java|module-client/src/main/java/org/apache/http/conn/ClientConnectionManager.java|module-client/src/main/java/org/apache/http/conn/ClientConnectionRequest.java|module-client/src/main/java/org/apache/http/conn/util/InetAddressUtils.java|module-client/src/main/java/org/apache/http/impl/client/DefaultClientRequestDirector.java|module-client/src/main/java/org/apache/http/impl/conn/SingleClientConnManager.java|module-client/src/main/java/org/apache/http/impl/conn/tsccm/ThreadSafeClientConnManager.java|module-client/src/test/java/org/apache/http/impl/client/TestDefaultClientRequestDirector.java|module-client/src/test/java/org/apache/http/impl/conn/GetConnThread.java|module-client/src/test/java/org/apache/http/impl/conn/TestTSCCMNoServer.java|module-client/src/test/java/org/apache/http/impl/conn/TestTSCCMWithServer.java|module-client/src/test/java/org/apache/http/impl/conn/tsccm/TestSpuriousWakeup.java|,1,2,25,2002-07-17 22:39:28 +0000,2008-03-21 00:40:54 +0000,c51f3a980f380655f3d59cf9f0cc153636d31f3b,httpcomponents-client
HTTPCLIENT-195,2007-04-22 07:10:20 +0000,httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/PoolingHttpClientConnectionManager.java|,3,4,73,2003-04-23 02:31:33 +0000,2019-01-10 13:37:24 +0100,7824d98d0ca8aa4bed14d70c01c544ac544d4170,httpcomponents-client
HTTPCLIENT-98,2009-02-16 12:29:16 +0000,RELEASE_NOTES.txt|httpclient/src/main/java/org/apache/http/impl/client/DefaultHttpRequestRetryHandler.java|,1,2,31,2002-08-13 16:43:23 +0000,2010-09-08 20:07:31 +0000,5c2dacac18d269523c0357e7ecc9252c7ad68644,httpcomponents-client
HTTPCLIENT-92,2006-05-15 21:44:54 +0000,httpclient-contrib/src/main/java/org/apache/http/contrib/auth/AWSScheme.java|httpclient-contrib/src/main/java/org/apache/http/contrib/auth/AWSSchemeFactory.java|,1,2,30,2002-07-28 11:03:00 +0000,2010-04-14 19:55:44 +0000,056b249b0b6d024303bb093a1a4964d2e0dac930,httpcomponents-client
HTTPCLIENT-168,2007-04-22 07:10:16 +0000,httpclient/src/main/java/org/apache/http/impl/cookie/PublicSuffixDomainFilter.java|httpclient/src/test/java/org/apache/http/impl/cookie/TestPublicSuffixListParser.java|,3,4,62,2003-03-02 11:12:20 +0000,2015-10-03 13:46:19 +0000,e7d625f6046fa392f258f1a5b08d1400ec7e8e90,httpcomponents-client
HTTPCLIENT-167,2007-04-22 07:10:16 +0000,pom.xml|,3,4,61,2003-03-02 01:11:01 +0000,2015-08-25 00:32:59 +0000,0560c8927a83bec8329ecce1a793af8a84ed0daf,httpcomponents-client
HTTPCLIENT-169,2007-04-22 07:10:16 +0000,httpclient5-cache/src/main/java/org/apache/hc/client5/http/impl/cache/CacheUpdateHandler.java|httpclient5-cache/src/test/java/org/apache/hc/client5/http/impl/cache/TestCacheUpdateHandler.java|,3,4,68,2003-03-07 21:42:29 +0000,2018-01-15 13:03:57 +0100,5f2ad23ab3a3879be616bc33a98e90192ed4f4bb,httpcomponents-client
HTTPCLIENT-163,2007-04-22 07:10:15 +0000,RELEASE_NOTES.txt|httpclient/src/main/java/org/apache/http/impl/cookie/RFC6265CookieSpecProvider.java|,2,3,59,2003-02-18 23:30:49 +0000,2015-03-15 14:09:55 +0000,e7b2729d9a7f6cf8d1584132e089ba032bd9f11e,httpcomponents-client
HTTPCLIENT-166,2007-04-22 07:10:16 +0000,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/CredSspScheme.java|httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/NTLMEngineImpl.java|,3,4,65,2003-02-27 22:04:53 +0000,2017-03-20 11:58:46 +0000,d07ee6fbc7246df45de21096b996f596535ed897,httpcomponents-client
HTTPCLIENT-165,2007-04-22 07:10:15 +0000,httpclient/src/main/java/org/apache/http/client/methods/RequestBuilder.java|httpclient/src/test/java/org/apache/http/client/methods/TestRequestBuilder.java|,3,4,61,2003-02-26 22:25:39 +0000,2015-06-13 16:30:56 +0000,d3a1171524a62dca8210e97d6a80c607296be16c,httpcomponents-client
HTTPCLIENT-162,2007-04-22 07:10:15 +0000,httpclient/src/main/java/org/apache/http/auth/AuthScope.java|httpclient/src/test/java/org/apache/http/auth/TestAuthScope.java|httpclient/src/test/java/org/apache/http/impl/client/TestBasicCredentialsProvider.java|,2,3,59,2003-02-18 20:00:53 +0000,2015-03-11 20:54:11 +0000,d85679d2a1ea541e0484151970f53a0657e3262c,httpcomponents-client
HTTPCLIENT-161,2006-05-15 21:44:57 +0000,httpclient/src/main/java/org/apache/http/conn/ssl/DefaultHostnameVerifier.java|httpclient/src/main/java/org/apache/http/conn/util/DomainType.java|httpclient/src/main/java/org/apache/http/conn/util/PublicSuffixList.java|httpclient/src/main/java/org/apache/http/conn/util/PublicSuffixListParser.java|httpclient/src/main/java/org/apache/http/conn/util/PublicSuffixMatcher.java|httpclient/src/main/java/org/apache/http/conn/util/PublicSuffixMatcherLoader.java|httpclient/src/test/java/org/apache/http/conn/ssl/TestDefaultHostnameVerifier.java|httpclient/src/test/java/org/apache/http/conn/util/TestPublicSuffixListParser.java|httpclient/src/test/java/org/apache/http/impl/cookie/TestBasicCookieAttribHandlers.java|httpclient/src/test/resources/suffixlist.txt|httpclient/src/test/resources/suffixlist2.txt|,3,4,59,2003-02-26 10:26:33 +0000,2015-02-26 16:36:00 +0000,a0b31445afb3da5aa91822535ab23f5713162a5e,httpcomponents-client
HTTPCLIENT-1198,2012-06-01 19:01:51 +0000,RELEASE_NOTES.txt|,38,41,41,2012-05-30 15:58:37 +0000,2012-06-01 18:11:43 +0000,4086d02fbcda97d94c7c290209636d842b5f69c0,httpcomponents-client
HTTPCLIENT-1199,2012-06-03 11:37:17 +0000,RELEASE_NOTES.txt|,40,41,41,2012-05-31 08:06:18 +0000,2012-06-03 11:45:41 +0000,36c40dab03113e4df831e6552c5a1d813a4525f7,httpcomponents-client
HTTPCLIENT-1192,2012-05-28 18:32:10 +0000,RELEASE_NOTES.txt|httpclient/src/main/java/org/apache/http/client/utils/URIBuilder.java|httpclient/src/test/java/org/apache/http/client/utils/TestURIBuilder.java|,40,41,41,2012-05-24 21:55:27 +0000,2012-05-28 18:29:50 +0000,5300548a5607eafa0167971984cb2d4e49ebf4a6,httpcomponents-client
