Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
HTTPCORE-345,2013-07-03 09:02:53 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/nio/entity/EntityAsyncContentProducer.java|httpcore-nio/src/test/java/org/apache/http/nio/integration/TestHttpAsyncPrematureTermination.java|,28,30,30,2013-07-02 20:39:46 +0000,2013-07-03 08:51:29 +0000,8ad38d6ae31ad0854abd92ec5ed20ee3b344c877,httpcomponents-core
HTTPCORE-103,2007-07-18 20:45:36 +0000,RELEASE_NOTES.txt|module-nio/src/main/java/org/apache/http/impl/nio/DefaultNHttpClientConnection.java|module-nio/src/main/java/org/apache/http/impl/nio/DefaultNHttpServerConnection.java|module-niossl/src/test/java/org/apache/http/impl/nio/reactor/TestAll.java|module-niossl/src/test/java/org/apache/http/impl/nio/reactor/TestBaseIOReactorSSL.java|,5,6,6,2007-07-17 20:51:23 +0000,2007-07-18 20:43:24 +0000,210dd9a6734cbd7210c85cdf6c79508e616fd353,httpcomponents-core
HTTPCORE-588,2019-08-10 09:55:23 +0000,httpcore5/src/main/java/org/apache/hc/core5/concurrent/ComplexCancellable.java|,56,57,57,2019-08-08 04:00:47 +0000,2019-08-09 15:01:42 +0200,1e9d57e176b142ed05f48928e36c04149c1f9385,httpcomponents-core
HTTPCORE-585,2019-07-28 21:03:32 +0000,httpcore5/src/main/java/org/apache/hc/core5/pool/LaxConnPool.java|,56,57,57,2019-07-27 19:18:46 +0000,2019-07-28 23:01:07 +0200,8696fc66757f1112a602e223b3f89096304054fc,httpcomponents-core
HTTPCORE-343,2013-06-15 16:34:56 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/nio/pool/AbstractNIOConnPool.java|httpcore-nio/src/main/java/org/apache/http/nio/pool/LeaseRequest.java|,27,30,30,2013-06-03 08:13:43 +0000,2013-06-15 16:21:06 +0000,836d174f32886ae3da10416b2e3977f5d0824157,httpcomponents-core
HTTPCORE-102,2007-07-17 12:26:08 +0000,RELEASE_NOTES.txt|module-nio/src/main/java/org/apache/http/impl/nio/codecs/HttpMessageParser.java|module-nio/src/test/java/org/apache/http/impl/nio/codecs/TestHttpMessageParser.java|,5,6,6,2007-07-17 02:42:17 +0000,2007-07-17 12:25:04 +0000,4876a2964c52239b99426a118019142a7eb8eb75,httpcomponents-core
HTTPCORE-220,2010-03-05 17:32:29 +0000,RELEASE_NOTES.txt|,12,13,13,2010-03-05 17:29:36 +0000,2010-03-06 07:23:54 +0000,75f0a0482e90c2586fc783384a5916b6f2815890,httpcomponents-core
HTTPCORE-581,2019-06-29 10:07:58 +0000,httpcore5-testing/src/main/java/org/apache/hc/core5/benchmark/HttpBenchmark.java|httpcore5-testing/src/main/java/org/apache/hc/core5/testing/nio/LoggingIOSession.java|httpcore5/src/main/java/org/apache/hc/core5/reactor/IOSession.java|httpcore5/src/main/java/org/apache/hc/core5/reactor/IOSessionImpl.java|httpcore5/src/main/java/org/apache/hc/core5/reactor/InternalChannel.java|httpcore5/src/main/java/org/apache/hc/core5/reactor/InternalConnectChannel.java|httpcore5/src/main/java/org/apache/hc/core5/reactor/InternalDataChannel.java|httpcore5/src/main/java/org/apache/hc/core5/reactor/ssl/SSLIOSession.java|,55,56,56,2019-06-27 14:11:03 +0000,2019-06-28 16:18:52 +0200,9a1b26e06e35220fb349de2e8c4197c1ac87dcf9,httpcomponents-core
HTTPCORE-582,2019-07-09 08:36:54 +0000,httpcore5/src/main/java/org/apache/hc/core5/reactor/SingleCoreIOReactor.java|,55,56,56,2019-07-06 13:39:00 +0000,2019-07-08 16:49:32 +0200,6e81a9e3250368dcc6f125bc5864495659a749b1,httpcomponents-core
HTTPCORE-228,2010-07-02 10:09:36 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/nio/protocol/AsyncNHttpServiceHandler.java|httpcore-nio/src/test/java/org/apache/http/nio/protocol/TestAsyncNHttpHandlers.java|,11,14,14,2010-06-11 12:18:22 +0000,2010-07-02 10:00:23 +0000,30c2b1251da8c3315f591415090eeeb43c4d62eb,httpcomponents-core
HTTPCORE-229,2010-07-13 20:06:10 +0000,RELEASE_NOTES.txt|httpcore/src/main/java/org/apache/http/impl/io/AbstractSessionInputBuffer.java|httpcore/src/test/java/org/apache/http/impl/TestSessionBuffers.java|,11,14,14,2010-07-13 13:44:01 +0000,2010-07-13 19:52:00 +0000,81401f887a11946f3ee3d3e198620a41cada964e,httpcomponents-core
HTTPCORE-108,2007-08-05 12:08:53 +0000,RELEASE_NOTES.txt|module-nio/src/main/java/org/apache/http/impl/nio/reactor/AbstractIOReactor.java|module-nio/src/main/java/org/apache/http/impl/nio/reactor/DefaultConnectingIOReactor.java|module-nio/src/main/java/org/apache/http/impl/nio/reactor/DefaultListeningIOReactor.java|module-nio/src/test/java/org/apache/http/impl/nio/reactor/TestAllImplReactor.java|module-nio/src/test/java/org/apache/http/impl/nio/reactor/TestDefaultListeningIOReactor.java|,5,6,6,2007-08-02 09:39:22 +0000,2007-08-05 12:06:28 +0000,bc20b829b44714d22da26609490642156ab96eb7,httpcomponents-core
HTTPCORE-589,2019-08-16 07:55:19 +0000,httpcore5/src/main/java/org/apache/hc/core5/pool/LaxConnPool.java|,56,57,57,2019-08-12 04:45:39 +0000,2019-08-16 09:31:26 +0200,68a1d783314de5e53291f3f7361125089d6044e6,httpcomponents-core
HTTPCORE-347,2013-09-04 13:36:41 +0000,RELEASE_NOTES.txt|httpcore/src/main/java/org/apache/http/HttpResponse.java|httpcore/src/main/java/org/apache/http/ReasonPhraseCatalog.java|httpcore/src/main/java/org/apache/http/impl/DefaultHttpResponseFactory.java|httpcore/src/main/java/org/apache/http/message/BasicHttpResponse.java|httpcore/src/test/java/org/apache/http/message/TestBasicHttpResponse.java|,30,31,31,2013-09-04 12:46:24 +0000,2013-09-04 13:35:16 +0000,536c177add6af3e901b1945b0a1b463a033c1018,httpcomponents-core
HTTPCORE-226,2010-05-07 10:21:19 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/impl/nio/reactor/AbstractIOReactor.java|httpcore-nio/src/main/java/org/apache/http/impl/nio/reactor/DefaultConnectingIOReactor.java|,11,14,14,2010-04-30 03:58:45 +0000,2010-05-07 10:19:08 +0000,957e5fc2089706ea92d46ef695819a9a8c6f2ab7,httpcomponents-core
HTTPCORE-348,2013-09-09 12:24:12 +0000,httpcore-nio/src/main/java/org/apache/http/nio/protocol/HttpAsyncRequester.java|,30,31,31,2013-09-09 10:55:02 +0000,2013-09-09 12:22:38 +0000,005a9d129379ef2110ce0ca5ef9b6bc100b69064,httpcomponents-core
HTTPCORE-227,2010-06-09 20:51:52 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/impl/nio/DefaultNHttpClientConnection.java|httpcore-nio/src/main/java/org/apache/http/impl/nio/DefaultNHttpServerConnection.java|,13,14,14,2010-06-08 18:25:46 +0000,2010-06-09 20:49:59 +0000,b9c03f28a2198bb5fe77290f26f0286d366167bc,httpcomponents-core
HTTPCORE-590,2019-08-16 20:36:44 +0000,httpcore5/src/main/java/org/apache/hc/core5/pool/LaxConnPool.java|,56,57,57,2019-08-13 04:39:04 +0000,2019-08-16 22:36:02 +0200,57ec4b7bc774d5c1a2c2c418444a70a31e5c9582,httpcomponents-core
HTTPCORE-114,2007-09-08 16:43:12 +0000,RELEASE_NOTES.txt|module-main/src/main/java/org/apache/http/HttpVersion.java|module-main/src/main/java/org/apache/http/impl/entity/StrictContentLengthStrategy.java|module-main/src/test/java/org/apache/http/impl/TestBasicRequest.java|module-main/src/test/java/org/apache/http/message/TestBasicLineParser.java|module-niossl/src/main/java/org/apache/http/impl/nio/reactor/SSLClientIOEventDispatch.java|module-niossl/src/main/java/org/apache/http/impl/nio/reactor/SSLIOSession.java|,5,6,6,2007-09-06 04:50:16 +0000,2007-09-08 16:41:24 +0000,dc354a70a839dc3e0781d2e2a5eb158408ff8031,httpcomponents-core
HTTPCORE-236,2010-09-28 07:11:11 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/impl/nio/reactor/SSLIOSession.java|,14,15,15,2010-09-26 08:53:30 +0000,2010-09-26 14:29:39 +0000,1ca92f229e25e745bd8b7d3ed54e12ddd9b724a2,httpcomponents-core
HTTPCORE-233,2010-09-16 20:12:54 +0000,RELEASE_NOTES.txt|,11,15,15,2010-09-16 10:16:51 +0000,2010-09-16 20:12:39 +0000,1e20ba006fd84af19fd7ca9cd58f0d3f5cbe6808,httpcomponents-core
HTTPCORE-112,2007-12-08 16:56:38 +0000,module-main/src/main/java/org/apache/http/impl/DefaultConnectionReuseStrategy.java|,5,6,7,2007-09-01 17:54:30 +0000,2007-12-08 19:42:06 +0000,4ac8710bca53628e7c3297c6a2835db810c5ca8e,httpcomponents-core
HTTPCORE-355,2013-10-11 20:07:13 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/nio/protocol/HttpAsyncRequestExecutor.java|httpcore-nio/src/test/java/org/apache/http/nio/protocol/TestHttpAsyncRequestExecutor.java|,30,31,31,2013-10-11 19:04:59 +0000,2013-10-11 20:05:37 +0000,9fb8c4984baba1faa6fe9e85caad5f321acf3bc0,httpcomponents-core
HTTPCORE-113,2007-09-02 16:15:48 +0000,RELEASE_NOTES.txt|module-main/src/main/java/org/apache/http/protocol/RequestTargetHost.java|module-nio/src/main/java/org/apache/http/nio/protocol/BufferingHttpClientHandler.java|module-nio/src/main/java/org/apache/http/nio/protocol/ThrottlingHttpClientHandler.java|,5,6,6,2007-08-30 14:58:24 +0000,2007-09-02 16:12:22 +0000,da62aa1b7bfda2f92f36e3cc6882c68921c15b16,httpcomponents-core
HTTPCORE-231,2010-09-08 19:53:56 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/impl/nio/codecs/LengthDelimitedDecoder.java|,14,15,15,2010-09-02 17:30:38 +0000,2010-09-08 19:42:58 +0000,4d1384d7d2eae7533cff1aef6e1b822c6e4125e1,httpcomponents-core
HTTPCORE-353,2013-10-03 07:52:19 +0000,httpcore/src/main/java/org/apache/http/HttpHost.java|httpcore/src/test/java/org/apache/http/TestHttpHost.java|,30,31,31,2013-10-02 23:11:06 +0000,2013-10-03 07:51:12 +0000,3830a3b1aa10a8ed18520184692faf09114d45be,httpcomponents-core
HTTPCORE-592,2019-08-18 09:35:17 +0000,httpcore5/src/main/java/org/apache/hc/core5/pool/LaxConnPool.java|,56,57,57,2019-08-17 18:59:54 +0000,2019-08-18 11:34:26 +0200,5c4f310850d595e3cb588c891ccb0d011e42c59f,httpcomponents-core
HTTPCORE-472,2017-06-15 13:26:06 +0000,httpcore5/src/main/java/org/apache/hc/core5/http/impl/io/SessionInputBufferImpl.java|httpcore5/src/test/java/org/apache/hc/core5/http/impl/io/TestSessionInOutBuffers.java|,43,45,45,2017-06-14 20:45:16 +0000,2017-06-15 15:21:05 +0200,09d65b9b3e4aefe9c36b1a5ee6b8d6944e411302,httpcomponents-core
HTTPCORE-351,2013-09-26 09:26:40 +0000,httpcore-nio/src/main/java/org/apache/http/nio/protocol/HttpAsyncService.java|,30,31,31,2013-09-25 15:54:53 +0000,2013-09-26 09:25:25 +0000,1c264ba5dda731621dd6cd4f2a7b791b5baf92a0,httpcomponents-core
HTTPCORE-239,2010-10-14 19:03:56 +0000,RELEASE_NOTES.txt|httpcore-nio/src/main/java/org/apache/http/impl/nio/codecs/ChunkEncoder.java|httpcore-nio/src/test/java/org/apache/http/impl/nio/codecs/TestChunkEncoder.java|,14,15,15,2010-10-14 15:15:31 +0000,2010-10-14 19:01:45 +0000,f260c89b6dcf4e175c3d314349caa4a69ea1ccaa,httpcomponents-core
HTTPCORE-118,2007-10-01 13:08:12 +0000,RELEASE_NOTES.txt|module-nio/src/main/java/org/apache/http/impl/nio/reactor/AbstractIOReactor.java|,5,6,6,2007-09-29 02:46:44 +0000,2007-10-01 13:01:33 +0000,a70e7abec9b1a8af9727d40b782a4a7d7282bf6f,httpcomponents-core
