Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
IMPALA-85,2013-07-19 20:29:53 +0000,be/src/rpc/CMakeLists.txt|be/src/rpc/auth-provider.h|be/src/rpc/authentication.cc|be/src/rpc/cookie-util.cc|be/src/rpc/cookie-util.h|be/src/transport/THttpServer.cpp|be/src/transport/THttpServer.h|be/src/util/openssl-util.cc|be/src/util/openssl-util.h|common/thrift/metrics.json|fe/src/test/java/org/apache/impala/customcluster/LdapHS2Test.java|fe/src/test/java/org/apache/impala/customcluster/LdapJdbcTest.java|fe/src/test/java/org/apache/impala/service/JdbcTestBase.java|,5,6,39,2013-02-21 05:59:54 +0000,2019-08-25 05:43:56 +0000,5fde84a7aba9284004b481b41fe6f23d11527b6f,impala
IMPALA-7960,2018-12-12 17:36:47 +0000,fe/src/main/java/org/apache/impala/analysis/Analyzer.java|fe/src/test/java/org/apache/impala/analysis/ExprRewriteRulesTest.java|testdata/workloads/functional-query/queries/QueryTest/exprs.test|,35,38,38,2018-12-11 23:41:48 +0000,2018-12-12 04:47:41 +0000,899bfd10a2a42d40634cdb8c9c670494b3c8945e,impala
IMPALA-87,2013-05-20 17:22:39 +0000,fe/src/compat-hive-2/java/org/apache/impala/compat/MetastoreShim.java|fe/src/compat-hive-3/java/org/apache/impala/compat/MetastoreShim.java|fe/src/main/java/org/apache/impala/analysis/TruncateStmt.java|fe/src/main/java/org/apache/impala/catalog/Catalog.java|fe/src/main/java/org/apache/impala/catalog/Transaction.java|fe/src/main/java/org/apache/impala/service/CatalogOpExecutor.java|fe/src/main/java/org/apache/impala/util/AcidUtils.java|fe/src/test/java/org/apache/impala/analysis/AnalyzerTest.java|testdata/workloads/functional-query/queries/QueryTest/acid-truncate.test|tests/metadata/test_hms_integration.py|tests/query_test/test_acid.py|,5,6,39,2013-02-21 22:24:57 +0000,2019-08-27 18:51:55 +0000,e40d24ee0aa2f8ca928618eb6d86728ee5422958,impala
IMPALA-2273,2015-11-05 06:30:22 +0000,be/src/exec/hdfs-parquet-scanner.cc|tests/custom_cluster/test_parquet_max_page_header.py|,22,29,30,2015-08-31 22:54:34 +0000,2015-11-05 03:45:11 +0000,aad9e595c36954512393dafa5aa992ebdfd798a1,impala
IMPALA-89,2014-08-08 05:50:08 +0000,fe/src/main/cup/sql-parser.y|fe/src/main/java/com/cloudera/impala/analysis/Analyzer.java|fe/src/main/java/com/cloudera/impala/analysis/InlineViewRef.java|fe/src/main/java/com/cloudera/impala/analysis/ToSqlUtils.java|fe/src/main/java/com/cloudera/impala/analysis/WithClause.java|fe/src/main/java/com/cloudera/impala/catalog/View.java|fe/src/test/java/com/cloudera/impala/analysis/AnalyzeStmtsTest.java|fe/src/test/java/com/cloudera/impala/analysis/ParserTest.java|fe/src/test/java/com/cloudera/impala/analysis/ToSqlTest.java|testdata/workloads/functional-query/queries/QueryTest/with-clause.test|,5,6,29,2013-02-21 22:32:42 +0000,2015-09-03 01:19:43 +0000,cfc3952a83ca97b1aeac84693d5cbb094d29bc06,impala
IMPALA-2270,2015-09-02 15:11:09 +0000,be/src/benchmarks/hash-benchmark.cc|be/src/exec/hash-table-test.cc|be/src/exec/hash-table.cc|be/src/exec/hash-table.h|be/src/runtime/raw-value-test.cc|be/src/runtime/raw-value.h|be/src/util/hash-util.h|,16,29,29,2015-08-31 17:04:09 +0000,2015-09-02 11:07:03 +0000,9a80402e47d0d8465011b7d95fa9b01af486cbb3,impala
IMPALA-7957,2019-06-11 06:05:35 +0000,fe/src/main/java/org/apache/impala/analysis/Analyzer.java|fe/src/main/java/org/apache/impala/analysis/BinaryPredicate.java|fe/src/main/java/org/apache/impala/analysis/SlotDescriptor.java|fe/src/main/java/org/apache/impala/analysis/SlotRef.java|fe/src/main/java/org/apache/impala/planner/SingleNodePlanner.java|testdata/workloads/functional-planner/queries/PlannerTest/inline-view.test|,35,38,39,2018-12-11 19:01:42 +0000,2019-06-05 16:06:30 +0000,ae8295118191486f31da4d8d3c9d0f7e7e5d4b3a,impala
IMPALA-2264,2015-08-31 21:24:52 +0000,fe/src/main/java/com/cloudera/impala/catalog/ScalarType.java|fe/src/test/java/com/cloudera/impala/analysis/AnalyzeExprsTest.java|fe/src/test/java/com/cloudera/impala/analysis/TypesUtilTest.java|,24,29,29,2015-08-28 18:23:55 +0000,2015-08-31 20:24:14 +0000,0a4981cd47a05d2670decd19ace12cb7ff91c565,impala
IMPALA-90,2013-04-17 18:59:02 +0000,be/src/exec/hash-table.cc|testdata/workloads/functional-query/queries/QueryTest/aggregation_no_codegen_only.test|tests/query_test/test_aggregation_queries.py|tests/query_test/test_queries.py|,3,6,17,2013-02-22 15:12:52 +0000,2014-04-07 17:30:52 -0700,415540d78945cd6827725316c6d795bd6efbea93,impala
IMPALA-92,2013-03-01 22:09:39 +0000,fe/src/main/java/com/cloudera/impala/common/RuntimeEnv.java|fe/src/main/java/com/cloudera/impala/service/Frontend.java|fe/src/test/java/com/cloudera/impala/planner/PlannerTest.java|,6,6,20,2013-02-24 00:48:45 +0000,2014-09-13 00:17:34 -0700,4b5d0a7744a896c0b8bf67d37b12ef8e3dd73e2a,impala
