Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
IO-13,2008-05-30 10:11:02 +0000,src/main/java/org/apache/commons/io/monitor/FileEntry.java|src/main/java/org/apache/commons/io/monitor/FileListener.java|src/main/java/org/apache/commons/io/monitor/FileListenerAdaptor.java|src/main/java/org/apache/commons/io/monitor/FileMonitor.java|src/main/java/org/apache/commons/io/monitor/FileObserver.java|src/test/java/org/apache/commons/io/monitor/AbstractMonitorTestCase.java|src/test/java/org/apache/commons/io/monitor/CollectionFileListener.java|src/test/java/org/apache/commons/io/monitor/FileMonitorTestCase.java|src/test/java/org/apache/commons/io/monitor/FileObserverTestCase.java|,1,2,8,2004-12-08 05:48:49 +0000,2010-10-12 19:27:40 +0000,2ee073f3eb5da25c88e184ea78581b297f168a06,commons-io
IO-12,2007-03-09 20:38:16 +0000,pom.xml|,1,2,8,2005-02-02 02:24:41 +0000,2010-03-07 13:39:16 +0000,ef821e8e717865b778d33d5554f34eb1490aad34,commons-io
IO-14,2007-03-09 20:38:16 +0000,src/java/org/apache/commons/io/comparator/AbstractFileComparator.java|src/java/org/apache/commons/io/comparator/DefaultFileComparator.java|src/java/org/apache/commons/io/comparator/ExtensionFileComparator.java|src/java/org/apache/commons/io/comparator/LastModifiedFileComparator.java|src/java/org/apache/commons/io/comparator/NameFileComparator.java|src/java/org/apache/commons/io/comparator/PathFileComparator.java|src/java/org/apache/commons/io/comparator/ReverseComparator.java|src/java/org/apache/commons/io/comparator/SizeFileComparator.java|src/test/org/apache/commons/io/comparator/ComparatorAbstractTestCase.java|src/test/org/apache/commons/io/comparator/DefaultFileComparatorTest.java|src/test/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java|src/test/org/apache/commons/io/comparator/LastModifiedFileComparatorTest.java|src/test/org/apache/commons/io/comparator/NameFileComparatorTest.java|src/test/org/apache/commons/io/comparator/PathFileComparatorTest.java|src/test/org/apache/commons/io/comparator/SizeFileComparatorTest.java|,2,3,8,2005-10-12 03:20:08 +0000,2008-11-29 04:46:54 +0000,f992185eafa1610f505c97eb6188650feeede226,commons-io
IO-16,2007-03-09 20:38:17 +0000,src/test/java/org/apache/commons/io/FileUtilsTestCase.java|,1,2,8,2004-09-01 21:44:53 +0000,2010-10-14 00:55:39 +0000,e07acbbff9fa0706298401441a123a01da112cc7,commons-io
IO-481,2015-06-23 17:42:48 +0000,src/main/java/org/apache/commons/io/FileUtils.java|,13,14,14,2015-06-19 18:19:48 +0000,2015-06-23 17:42:30 +0000,8700816250e849d9f8d0fc402b090aec6ba7ab60,commons-io
IO-19,2007-03-09 20:38:17 +0000,src/test/java/org/apache/commons/io/monitor/AbstractMonitorTestCase.java|src/test/java/org/apache/commons/io/monitor/FileSystemMonitorTestCase.java|,1,2,8,2004-05-21 03:17:25 +0000,2010-10-08 22:17:11 +0000,624ad8570111e173dcad14505f3539741394c506,commons-io
IO-483,2016-12-02 03:15:45 +0000,src/changes/changes.xml|,13,14,15,2015-08-04 07:35:59 +0000,2016-12-02 16:13:32 +1300,593de775be9e5cb9c9a6cbcebe9a40ce80cc4bfd,commons-io
IO-362,2013-01-04 15:57:58 +0000,src/changes/changes.xml|src/main/java/org/apache/commons/io/IOUtils.java|src/test/java/org/apache/commons/io/IOUtilsTestCase.java|,13,14,14,2013-01-01 01:05:26 +0000,2013-01-04 15:57:10 +0000,0cee0fe1d42f73933d8fdfedfe91bff8013f0bb3,commons-io
IO-93,2006-10-07 11:59:33 +0000,RELEASE-NOTES.txt|src/java/org/apache/commons/io/FileSystemUtils.java|src/test/org/apache/commons/io/FileSystemUtilsTestCase.java|,3,4,4,2006-09-19 01:47:37 +0000,2006-10-07 11:56:25 +0000,b4b470096a39bfa51d33782f442505383ecc5e79,commons-io
IO-484,2015-08-06 11:48:50 +0000,src/main/java/org/apache/commons/io/FilenameUtils.java|src/test/java/org/apache/commons/io/FilenameUtilsTestCase.java|,13,14,14,2015-08-06 11:15:06 +0000,2015-09-10 06:35:02 +0000,5d072ef89fbc2532f621a5a0b4d6791cb926a997,commons-io
