Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
IVY-583,2007-07-27 15:11:46 +0000,CHANGES.txt|src/java/org/apache/ivy/ant/IvyCacheTask.java|,14,15,15,2007-07-27 14:01:35 +0000,2007-07-27 15:10:24 +0000,3dae56f75847b83067b592e538ac1643b29ca6ed,ant-ivy
IVY-586,2008-06-25 09:43:46 +0000,src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParser.java|test/java/org/apache/ivy/core/resolve/ResolveTest.java|test/repositories/m2/org/relocated/test3/1.1/test3-1.1.pom|test/repositories/m2/org/relocated/testRelocationUser/1.0/testRelocationUser-1.0.pom|test/repositories/m2/org/relocated/testRelocationUser/1.1/testRelocationUser-1.1.pom|,13,15,15,2007-07-31 15:06:07 +0000,2007-12-03 11:12:23 +0000,960675f49e7a6d8537d9b75d7d9f79f40aafb7bd,ant-ivy
IVY-465,2008-04-04 15:41:27 +0000,CHANGES.txt|src/java/org/apache/ivy/core/resolve/ResolveEngine.java|test/java/org/apache/ivy/core/resolve/ResolveTest.java|test/repositories/1/IVY-465/M1/ivys/ivy-1.0.xml|test/repositories/1/IVY-465/M2/ivys/ivy-1.0.xml|,12,13,17,2007-04-04 18:27:52 +0000,2008-04-04 15:41:36 +0000,e3d906cf02833a21e7092cb2bffbb6e26d89553c,ant-ivy
IVY-347,2007-06-28 19:13:06 +0000,CHANGES.txt|src/java/org/apache/ivy/core/ExecutionRelativeUrlResolver.java|src/java/org/apache/ivy/core/NormalRelativeUrlResolver.java|src/java/org/apache/ivy/core/RelativeUrlResolver.java|src/java/org/apache/ivy/core/settings/IvySettings.java|src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParser.java|test/java/org/apache/ivy/core/NormalRelativeUrlResolverTest.java|,12,13,14,2006-11-30 13:09:13 +0000,2007-06-28 19:04:18 +0000,a1e47595c8b70a6a4c6087b96068331262e3bad4,ant-ivy
IVY-105,2008-06-25 12:25:37 +0000,CHANGES.txt|src/java/org/apache/ivy/ant/IvyResolve.java|,4,4,25,2005-11-15 15:15:25 +0000,2012-03-06 22:20:32 +0000,22dd74e245b5ec3a5346b8bd20f73a36f9572bb3,ant-ivy
IVY-346,2007-01-06 11:22:00 +0000,CHANGES.txt|src/java/fr/jayasoft/ivy/Ivy.java|src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorUpdater.java|src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorWriter.java|test/java/fr/jayasoft/ivy/xml/XmlIvyConfigurationParserTest.java|test/java/fr/jayasoft/ivy/xml/test-dependencies.xml|test/java/fr/jayasoft/ivy/xml/test-update.xml|test/java/fr/jayasoft/ivy/xml/test-write-dependencies.xml|test/java/fr/jayasoft/ivy/xml/test-write-full.xml|test/java/fr/jayasoft/ivy/xml/test-write-simple.xml|test/java/fr/jayasoft/ivy/xml/updated.xml|,12,13,13,2006-11-29 10:10:39 +0000,2007-01-06 11:20:09 +0000,28704041ebe62167281d24100e3e874bf1717d04,ant-ivy
IVY-104,2006-11-26 07:05:35 +0000,src/java/org/apache/ivy/core/retrieve/RetrieveEngine.java|,3,4,23,2005-11-15 11:34:34 +0000,2010-05-13 21:23:04 +0000,a576d13e6bc0a26862a571e670336a86e77906de,ant-ivy
IVY-229,2006-11-26 07:04:33 +0000,CHANGES.txt|test/java/fr/jayasoft/ivy/ant/IvyDeliverTest.java|test/java/fr/jayasoft/ivy/ant/ivy-different-revisions.xml|,8,9,9,2006-04-25 19:36:27 +0000,2006-04-27 07:02:11 +0000,a7b86c059d0d91ed9e0d9fe2326e1a13d5232627,ant-ivy
IVY-108,2006-11-26 07:03:43 +0000,asciidoc/ant.adoc|asciidoc/bestpractices.adoc|asciidoc/compatibility.adoc|asciidoc/concept.adoc|asciidoc/dev.adoc|asciidoc/dev/makerelease.adoc|asciidoc/extend.adoc|asciidoc/index.adoc|asciidoc/install.adoc|asciidoc/ivyfile.adoc|asciidoc/ivyfile/artifact-exclude.adoc|asciidoc/ivyfile/artifact.adoc|asciidoc/ivyfile/conf.adoc|asciidoc/ivyfile/configurations.adoc|asciidoc/ivyfile/conflict.adoc|asciidoc/ivyfile/conflicts.adoc|asciidoc/ivyfile/dependencies.adoc|asciidoc/ivyfile/dependency-artifact.adoc|asciidoc/ivyfile/dependency-include.adoc|asciidoc/ivyfile/dependency.adoc|asciidoc/ivyfile/description.adoc|asciidoc/ivyfile/exclude.adoc|asciidoc/ivyfile/include.adoc|asciidoc/ivyfile/ivyauthor.adoc|asciidoc/ivyfile/license.adoc|asciidoc/ivyfile/manager.adoc|asciidoc/ivyfile/override.adoc|asciidoc/ivyfile/repository.adoc|asciidoc/js/jquery.treeview.js|asciidoc/moreexamples.adoc|asciidoc/osgi.adoc|asciidoc/osgi/eclipse-plugin.adoc|asciidoc/osgi/osgi-mapping.adoc|asciidoc/osgi/sigil.adoc|asciidoc/osgi/standard-osgi.adoc|asciidoc/osgi/target-platform.adoc|asciidoc/reference.adoc|asciidoc/release-notes.adoc|asciidoc/resolver/chain.adoc|asciidoc/resolver/dual.adoc|asciidoc/resolver/filesystem.adoc|asciidoc/resolver/ibiblio.adoc|asciidoc/resolver/ivyrep.adoc|asciidoc/resolver/jar.adoc|asciidoc/resolver/mirrored.adoc|asciidoc/resolver/obr.adoc|asciidoc/resolver/osgiagg.adoc|asciidoc/resolver/packager.adoc|asciidoc/resolver/sftp.adoc|asciidoc/resolver/ssh.adoc|asciidoc/resolver/updatesite.adoc|asciidoc/resolver/url.adoc|asciidoc/resolver/vfs.adoc|asciidoc/samples/build.xml|asciidoc/samples/eclipse-plugin/build.xml|asciidoc/samples/standard-osgi/build.xml|asciidoc/settings.adoc|asciidoc/settings/caches.adoc|asciidoc/settings/caches/cache.adoc|asciidoc/settings/caches/ttl.adoc|asciidoc/settings/classpath.adoc|asciidoc/settings/conflict-managers.adoc|asciidoc/settings/latest-strategies.adoc|asciidoc/settings/macrodef.adoc|asciidoc/settings/module.adoc|asciidoc/settings/namespace.adoc|asciidoc/settings/namespace/src.adoc|asciidoc/settings/outputters.adoc|asciidoc/settings/parsers.adoc|asciidoc/settings/properties.adoc|asciidoc/settings/property.adoc|asciidoc/settings/resolvers.adoc|asciidoc/settings/settings.adoc|asciidoc/settings/signers.adoc|asciidoc/settings/statuses.adoc|asciidoc/settings/timeout-constraint.adoc|asciidoc/settings/triggers.adoc|asciidoc/settings/typedef.adoc|asciidoc/standalone.adoc|asciidoc/terminology.adoc|asciidoc/textual.adoc|asciidoc/toc.json|asciidoc/tutorial.adoc|asciidoc/tutorial/build-repository.adoc|asciidoc/tutorial/build-repository/advanced.adoc|asciidoc/tutorial/build-repository/basic.adoc|asciidoc/tutorial/conf.adoc|asciidoc/tutorial/defaultconf.adoc|asciidoc/tutorial/dependence.adoc|asciidoc/tutorial/dual.adoc|asciidoc/tutorial/multiple.adoc|asciidoc/tutorial/multiproject.adoc|asciidoc/tutorial/start.adoc|asciidoc/use/artifactproperty.adoc|asciidoc/use/artifactreport.adoc|asciidoc/use/buildlist.adoc|asciidoc/use/buildnumber.adoc|asciidoc/use/buildobr.adoc|asciidoc/use/cachefileset.adoc|asciidoc/use/cachepath.adoc|asciidoc/use/checkdepsupdate.adoc|asciidoc/use/cleancache.adoc|asciidoc/use/configure.adoc|asciidoc/use/convertpom.adoc|asciidoc/use/deliver.adoc|asciidoc/use/dependencytree.adoc|asciidoc/use/findrevision.adoc|asciidoc/use/fixdeps.adoc|asciidoc/use/info.adoc|asciidoc/use/install.adoc|asciidoc/use/listmodules.adoc|asciidoc/use/makepom.adoc|asciidoc/use/postresolvetask.adoc|asciidoc/use/publish.adoc|asciidoc/use/report.adoc|asciidoc/use/repreport.adoc|asciidoc/use/resolve.adoc|asciidoc/use/resources.adoc|asciidoc/use/retrieve.adoc|asciidoc/use/settings.adoc|asciidoc/use/var.adoc|asciidoc/yed.adoc|,3,4,30,2005-11-30 16:58:22 +0000,2017-09-06 05:15:52 +0200,b693aa0a24c58f805a97a9be81b7e2546ef780c6,ant-ivy
IVY-693,2008-01-05 16:38:44 +0000,CHANGES.txt|src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParser.java|test/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParserTest.java|,15,16,16,2008-01-05 09:02:43 +0000,2008-01-05 16:37:19 +0000,f1f9a7950e61a457a51aa9c617c99a22917b306a,ant-ivy
