Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
JCLOUDS-181,2013-11-13 23:49:33 +0000,core/src/main/java/org/jclouds/Constants.java|core/src/main/java/org/jclouds/apis/internal/BaseApiMetadata.java|core/src/main/java/org/jclouds/http/filters/StripExpectHeader.java|core/src/main/java/org/jclouds/rest/internal/RestAnnotationProcessor.java|core/src/test/java/org/jclouds/http/filters/StripExpectHeaderTest.java|core/src/test/java/org/jclouds/rest/internal/RestAnnotationProcessorTest.java|,3,4,4,2013-07-10 18:16:50 +0000,2013-07-11 15:04:05 -0700,d52f4605626a34dc8c488dfa3e62eed605053382,jclouds
JCLOUDS-199,2013-07-22 20:17:27 +0000,apis/cloudstack/pom.xml|apis/cloudstack/src/main/java/org/jclouds/cloudstack/compute/functions/VirtualMachineToNodeMetadata.java|apis/cloudstack/src/main/java/org/jclouds/cloudstack/domain/ResourceLimit.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/compute/CloudStackComputeServiceAdapterLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/DomainAccountApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/DomainUserApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/GlobalAlertApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/GlobalCapacityApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/GlobalConfigurationApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/GlobalDomainApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/GlobalHostApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/GlobalPodApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/GlobalUsageApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/GlobalVlanApiLiveTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/VirtualMachineApiLiveTest.java|apis/cloudstack/src/test/resources/listresourcelimitsresponse.json|,3,4,4,2013-07-22 15:20:18 +0000,2013-07-22 12:34:59 -0700,48b499c63661cb4c3febeaad0c25d98c3c3a5d84,jclouds
JCLOUDS-195,2013-07-21 21:58:00 +0000,apis/cloudstack/src/main/java/org/jclouds/cloudstack/features/FirewallApi.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/FirewallApiExpectTest.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/features/FirewallApiLiveTest.java|apis/cloudstack/src/test/resources/createegressfirewallrulesresponse.json|apis/cloudstack/src/test/resources/deleteegressfirewallrulesresponse.json|apis/cloudstack/src/test/resources/getegressfirewallrulesresponse.json|apis/cloudstack/src/test/resources/listegressfirewallrulesresponse.json|,2,4,4,2013-07-17 22:05:53 +0000,2013-07-21 13:38:57 -0700,2c6d8b24797ad87a8653e90db84aa6ebac8e9d67,jclouds
JCLOUDS-281,2014-10-08 18:50:45 +0000,apis/openstack-nova/src/main/java/org/jclouds/openstack/nova/v2_0/domain/BlockDeviceMapping.java|apis/openstack-nova/src/main/java/org/jclouds/openstack/nova/v2_0/extensions/ExtensionNamespaces.java|apis/openstack-nova/src/main/java/org/jclouds/openstack/nova/v2_0/options/CreateServerOptions.java|apis/openstack-nova/src/test/java/org/jclouds/openstack/nova/v2_0/extensions/VolumeAttachmentApiLiveTest.java|apis/openstack-nova/src/test/java/org/jclouds/openstack/nova/v2_0/features/ServerApiExpectTest.java|apis/openstack-nova/src/test/java/org/jclouds/openstack/nova/v2_0/features/ServerApiLiveTest.java|apis/openstack-nova/src/test/resources/extension_list_full.json|apis/openstack-nova/src/test/resources/new_server_networks_response.json|apis/openstack-nova/src/test/resources/new_server_no_adminpass.json|apis/openstack-nova/src/test/resources/server_details_without_image.json|,5,5,11,2013-09-14 02:19:51 +0000,2014-10-07 22:12:28 -0700,00b2de6205857dbf97030fc6caad14353db0ab4a,jclouds
JCLOUDS-160,2013-07-06 08:09:31 +0000,apis/ec2/src/main/java/org/jclouds/ec2/domain/Image.java|apis/ec2/src/main/java/org/jclouds/ec2/xml/DescribeImagesResponseHandler.java|apis/ec2/src/test/java/org/jclouds/ec2/xml/DescribeImagesResponseHandlerTest.java|apis/ec2/src/test/resources/describe_images_tags.xml|apis/openstack-nova-ec2/src/main/java/org/jclouds/openstack/nova/ec2/xml/NovaDescribeImagesResponseHandler.java|providers/aws-ec2/src/test/java/org/jclouds/aws/ec2/compute/strategy/AWSEC2ReviseParsedImageTest.java|,1,4,4,2013-06-29 20:32:22 +0000,2013-07-06 10:08:10 +0200,bbfec4a9906a9df898fb3a464f1470917999cc1c,jclouds
JCLOUDS-178,2013-10-16 17:57:35 +0000,apis/cloudservers/src/test/java/org/jclouds/cloudservers/handlers/RetryOnRenewExpectTest.java|common/openstack/src/main/java/org/jclouds/openstack/handlers/RetryOnRenew.java|common/openstack/src/main/java/org/jclouds/openstack/keystone/v1_1/handlers/RetryOnRenew.java|common/openstack/src/test/java/org/jclouds/openstack/handlers/RetryOnRenewTest.java|common/openstack/src/test/java/org/jclouds/openstack/keystone/v1_1/handlers/RetryOnRenewTest.java|,4,4,10,2013-07-09 19:09:26 +0000,2014-06-21 18:58:40 -0700,c417ddef6760fcad27baba34e6e1dbe92d5708b9,jclouds
JCLOUDS-96,2015-01-24 21:24:12 +0000,apis/s3/src/main/java/org/jclouds/s3/S3Client.java|apis/s3/src/test/java/org/jclouds/s3/S3ClientLiveTest.java|apis/s3/src/test/java/org/jclouds/s3/S3ClientTest.java|,2,3,14,2013-05-28 17:12:34 +0000,2015-10-14 23:17:40 -0700,4829bbbd2c7f6c7b25c1794eeacc16e9c710929a,jclouds
JCLOUDS-99,2013-06-19 21:07:05 +0000,apis/cloudstack/src/main/java/org/jclouds/cloudstack/domain/UsageRecord.java|apis/cloudstack/src/test/java/org/jclouds/cloudstack/parse/ListUsageRecordsResponseTest.java|,1,3,14,2013-05-29 17:32:06 +0000,2015-10-07 20:42:47 +0200,c73b82b58b6ad0270bc24402ee44ceeb83fad978,jclouds
JCLOUDS-83,2013-06-25 12:33:16 +0000,apis/filesystem/src/main/java/org/jclouds/filesystem/strategy/internal/FilesystemStorageStrategyImpl.java|,1,3,14,2013-05-23 07:57:32 +0000,2015-11-20 14:44:02 -0800,f706d9c13a78f360d5e0c94c74251a892ce0e66e,jclouds
JCLOUDS-80,2013-05-22 14:35:24 +0000,providers/google-cloud-storage/src/main/java/org/jclouds/googlecloudstorage/blobstore/GoogleCloudStorageBlobStore.java|,1,3,12,2013-05-21 20:03:09 +0000,2015-02-21 19:09:34 -0800,41a7a2d3d471d5e1a047f7f019729e1a931976ed,jclouds
