Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
JENA-1283,2017-01-30 17:05:30 +0000,apache-jena-osgi/jena-osgi-features/src/main/resources/features.xml|jena-parent/pom.xml|,22,23,23,2017-01-30 15:20:39 +0000,2017-01-30 11:01:33 -0500,26f6da7640cbe89cd6d58a3eed9ac8472dbdeab9,jena
JENA-1162,2016-04-07 22:17:07 +0000,jena-base/src/main/java/org/apache/jena/atlas/lib/AlarmClock.java|,20,21,21,2016-04-07 20:59:26 +0000,2016-04-07 23:15:27 +0100,0f1babe52663133cb05d49e5b14e6ea01e9edb7c,jena
JENA-1282,2017-01-27 09:31:59 +0000,jena-arq/src/main/java/org/apache/jena/query/ResultSetFactory.java|jena-arq/src/main/java/org/apache/jena/query/SortCondition.java|jena-arq/src/main/java/org/apache/jena/sparql/engine/iterator/QueryIterCommonParent.java|jena-arq/src/main/java/org/apache/jena/sparql/engine/iterator/QueryIterRepeatApply.java|jena-arq/src/main/java/org/apache/jena/sparql/engine/iterator/QueryIteratorBase.java|jena-arq/src/main/java/org/apache/jena/sparql/engine/main/StageGeneratorGeneric.java|jena-arq/src/main/java/org/apache/jena/sparql/engine/optimizer/reorder/ReorderProcIndexes.java|jena-arq/src/main/java/org/apache/jena/sparql/lang/ParserARQUpdate.java|jena-arq/src/main/java/org/apache/jena/sparql/lang/ParserSPARQL11Update.java|jena-arq/src/main/java/org/apache/jena/sparql/lib/Metadata.java|jena-arq/src/main/java/org/apache/jena/sparql/syntax/ElementService.java|jena-base/src/main/java/org/apache/jena/atlas/io/IndentedWriter.java|jena-base/src/main/java/org/apache/jena/atlas/logging/Log.java|jena-core/src/main/java/org/apache/jena/rdf/model/impl/RDFReaderFImpl.java|jena-core/src/main/java/org/apache/jena/rdf/model/impl/RDFWriterFImpl.java|jena-tdb/src/main/java/org/apache/jena/tdb/base/objectfile/ObjectFileStorage.java|jena-tdb/src/main/java/org/apache/jena/tdb/base/page/PageBase.java|jena-tdb/src/main/java/org/apache/jena/tdb/base/recordbuffer/RecordRangeIterator.java|jena-tdb/src/main/java/org/apache/jena/tdb/index/bplustree/BPlusTreeParams.java|jena-tdb/src/main/java/org/apache/jena/tdb/lib/NodeLib.java|jena-tdb/src/main/java/org/apache/jena/tdb/solver/BindingTDB.java|jena-tdb/src/main/java/org/apache/jena/tdb/store/nodetable/NodecLib.java|jena-tdb/src/main/java/org/apache/jena/tdb/sys/FileRef.java|jena-tdb/src/main/java/org/apache/jena/tdb/sys/SystemTDB.java|jena-tdb/src/main/java/org/apache/jena/tdb/transaction/BlockMgrJournal.java|jena-tdb/src/main/java/org/apache/jena/tdb/transaction/JournalEntryType.java|jena-tdb/src/main/java/org/apache/jena/tdb/transaction/TransactionManager.java|,22,23,23,2017-01-27 09:28:39 +0000,2017-01-27 09:29:27 +0000,44264d1c5310f7764256cbfee646a165a1e8e2dc,jena
JENA-1161,2016-04-07 21:39:19 +0000,jena-arq/src/main/java/org/apache/jena/riot/SysRIOT.java|jena-arq/src/test/java/org/apache/jena/riot/TC_Riot.java|jena-arq/src/test/java/org/apache/jena/riot/TS_RiotGeneral.java|jena-arq/src/test/java/org/apache/jena/riot/TestSysRIOT.java|,20,21,21,2016-04-07 15:04:58 +0000,2016-04-07 22:37:01 +0100,f6817e6ed284e837ac8db426fc98012fa800040a,jena
JENA-1040,2015-10-11 16:17:46 +0000,jena-fuseki2/apache-jena-fuseki/fuseki|,19,20,20,2015-10-02 14:55:52 +0000,2015-10-11 17:17:03 +0100,2e18b8cdc19bf2e0af2f3f6bf06ebbd283a5bdab,jena
JENA-1280,2017-01-18 11:20:56 +0000,jena-arq/src/main/java/org/apache/jena/sparql/engine/main/JoinClassifier.java|jena-arq/src/main/java/org/apache/jena/sparql/engine/main/VarFinder.java|jena-arq/src/test/java/org/apache/jena/sparql/algebra/TestClassify.java|jena-arq/src/test/java/org/apache/jena/sparql/algebra/TestTransformQuads.java|jena-arq/src/test/java/org/apache/jena/sparql/algebra/optimize/TestOptimizer.java|,22,23,29,2017-01-17 16:02:44 +0000,2018-04-27 19:15:04 +0100,1bd5fdcf3ac0694e0bbabd2f8e63deb92d3c2bff,jena
JENA-1287,2017-02-09 13:10:46 +0000,jena-arq/src/main/java/org/apache/jena/atlas/json/JSON.java|jena-arq/src/main/java/org/apache/jena/atlas/json/JsonBuilder.java|jena-arq/src/main/java/org/apache/jena/atlas/json/io/JSWriter.java|jena-arq/src/main/java/org/apache/jena/atlas/json/io/parser/JSONParserBase.java|jena-arq/src/test/java/org/apache/jena/atlas/json/TS_JSON.java|jena-arq/src/test/java/org/apache/jena/atlas/json/TestJson.java|jena-arq/src/test/java/org/apache/jena/atlas/json/TestJsonAPI.java|jena-arq/src/test/java/org/apache/jena/atlas/json/TestJsonBuilder.java|jena-arq/src/test/java/org/apache/jena/atlas/json/TestJsonExt.java|,23,24,24,2017-02-08 12:37:59 +0000,2017-02-08 12:42:25 +0000,6b8f8d6753685df7763d213aa2cddc79c69d24e3,jena
JENA-1164,2016-04-15 21:29:50 +0000,apache-jena-osgi/jena-osgi-features/pom.xml|apache-jena-osgi/jena-osgi-features/src/main/resources/features.xml|apache-jena-osgi/jena-osgi-test/pom.xml|apache-jena-osgi/jena-osgi-test/src/test/java/org/apache/jena/osgi/test/JenaOSGITest.java|apache-jena-osgi/jena-osgi/pom.xml|apache-jena-osgi/jena-osgi/src/main/java/org/apache/jena/osgi/Activator.java|apache-jena-osgi/pom.xml|jena-core/src/main/java/org/apache/jena/system/JenaSubsystemRegistryBasic.java|,20,21,21,2016-04-15 15:54:32 +0000,2016-04-15 17:09:21 +0100,92a5e6cddf2c03557bb7fb7896cce46dc2ecb42d,jena
JENA-1163,2016-04-15 19:15:19 +0000,jena-arq/src/main/java/org/apache/jena/riot/out/JsonLDWriter.java|,20,21,21,2016-04-14 10:47:33 +0000,2016-04-14 11:51:38 +0100,22e619d5d85497801117a2c2fc215b0d63a5e6f8,jena
JENA-908,2015-04-01 10:50:27 +0000,jena-arq/src/main/java/org/apache/jena/riot/writer/TurtleShell.java|jena-arq/src/test/java/org/apache/jena/riot/writer/TestTurtleWriter.java|,18,19,19,2015-03-31 13:42:00 +0000,2015-04-01 11:49:36 +0100,4dc40e7c8e07647606746c91b09e4d95bbd63ed0,jena
