Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
JSPWIKI-191,2008-06-12 20:15:47 +0000,src/webdocs/templates/default/Favorites.jsp|,3,4,6,2008-02-18 17:55:24 +0000,2008-06-12 20:33:18 +0000,84c0de66e80608caff860069c7c236458d71e24c,jspwiki
JSPWIKI-195,2008-02-24 18:23:34 +0000,ChangeLog|jspwiki-it-tests/jspwiki-selenium-tests/src/main/config/hsql-userdb-setup.sql|jspwiki-war/src/main/config/db/hsql.ddl|jspwiki-war/src/main/config/db/postgresql.ddl|jspwiki-war/src/main/java/org/apache/wiki/Release.java|jspwiki-war/src/main/java/org/apache/wiki/auth/UserManager.java|jspwiki-war/src/main/java/org/apache/wiki/auth/user/DefaultUserProfile.java|jspwiki-war/src/main/java/org/apache/wiki/auth/user/XMLUserDatabase.java|jspwiki-war/src/main/java/org/apache/wiki/ui/InputValidator.java|jspwiki-war/src/main/resources/CoreResources.properties|jspwiki-war/src/main/resources/CoreResources_nl.properties|jspwiki-war/src/test/config/hsql-userdb-setup.ddl|,2,4,17,2008-02-21 01:29:23 +0000,2014-07-31 18:46:53 +0000,d78fb1237f3c9479718dce51630772f6a911d684,jspwiki
JSPWIKI-750,2012-10-28 22:13:01 +0000,ChangeLog|src/org/apache/wiki/Release.java|src/org/apache/wiki/plugin/PageViewPlugin.java|tests/org/apache/wiki/plugin/PageViewPluginTest.java|,11,12,12,2012-10-28 21:59:24 +0000,2012-10-28 22:07:55 +0000,3a155a8b068326e65282cd4d79c3938bd131355c,jspwiki
JSPWIKI-510,2010-02-20 18:11:06 +0000,src/java/org/apache/wiki/action/EditDialogActionBean.java|src/java/org/apache/wiki/action/SearchActionBean.java|src/java/org/apache/wiki/search/SearchManager.java|,8,9,11,2009-02-17 18:57:53 +0000,2010-02-20 18:03:55 +0000,2082602a105792cd55b754ab23536a5329c14fbc,jspwiki
JSPWIKI-874,2015-01-13 21:06:17 +0000,ChangeLog|jspwiki-war/src/main/java/org/apache/wiki/Release.java|jspwiki-war/src/main/java/org/apache/wiki/util/UtilJ2eeCompat.java|jspwiki-war/src/test/java/org/apache/wiki/util/UtilJ2eeCompatTest.java|,16,17,17,2014-12-19 07:47:45 +0000,2015-01-13 21:02:40 +0000,b2d771a44990eebcd24e6fb64e628a5c21ae7dd1,jspwiki
JSPWIKI-503,2009-02-15 13:29:01 +0000,ChangeLog|src/java/org/apache/wiki/Release.java|src/java/org/apache/wiki/util/TextUtil.java|tests/java/org/apache/wiki/TextUtilTest.java|,7,9,9,2009-02-13 20:23:14 +0000,2009-02-15 13:28:04 +0000,5844c1e3df9fc6cef1f4382349a0812d0655e5da,jspwiki
JSPWIKI-505,2009-02-25 20:52:46 +0000,ChangeLog|ReleaseNotes|src/java/org/apache/wiki/LinkCollector.java|src/java/org/apache/wiki/Release.java|src/java/org/apache/wiki/WikiEngine.java|src/java/org/apache/wiki/parser/JSPWikiMarkupParser.java|src/java/org/apache/wiki/plugin/InterWikiLinksPlugin.java|src/java/org/apache/wiki/plugin/WikiPlugin.java|tests/java/org/apache/wiki/plugin/AllTests.java|tests/java/org/apache/wiki/plugin/InterWikiLinksPluginTest.java|,8,9,9,2009-02-16 12:50:25 +0000,2009-02-25 20:49:52 +0000,57cbe16dcba8d1a63a9d10f89b11e426079e3d25,jspwiki
JSPWIKI-869,2015-01-17 15:04:10 +0000,jspwiki-war/pom.xml|pom.xml|,16,17,17,2014-10-17 09:33:38 +0000,2015-01-17 13:26:46 +0000,9a6b1ff8c10794dda49dbe0cd550ed4b08a405f2,jspwiki
JSPWIKI-882,2015-05-31 12:43:30 +0000,ChangeLog|jspwiki-war/src/main/java/org/apache/wiki/Release.java|jspwiki-war/src/test/java/org/apache/wiki/workflow/OutcomeTest.java|,16,17,17,2015-05-30 12:41:05 +0000,2015-05-31 12:41:48 +0000,610fa2325b94195dad719109175865d04508ce29,jspwiki
JSPWIKI-761,2013-08-02 20:33:15 +0000,ChangeLog|jspwiki-war/pom.xml|jspwiki-war/src/main/config/wro/wro.properties|jspwiki-war/src/main/config/wro/wro.xml|jspwiki-war/src/main/java/org/apache/wiki/Release.java|jspwiki-war/src/main/scripts/jspwiki-common.js|jspwiki-war/src/main/scripts/jspwiki-commonstyles.js|jspwiki-war/src/main/scripts/jspwiki-edit.js|jspwiki-war/src/main/scripts/jspwiki-prefs.js|jspwiki-war/src/main/scripts/posteditor.js|jspwiki-war/src/main/scripts/prettify.js|jspwiki-war/src/main/styles/jspwiki.css|jspwiki-war/src/main/styles/jspwiki_print.css|jspwiki-war/src/main/webapp/templates/default/commonheader.jsp|jspwiki-war/src/main/webapp/templates/default/editors/plain.jsp|mvn_cheat-sheet.txt|pom.xml|,12,13,14,2013-02-09 08:18:43 +0000,2013-08-02 18:37:54 +0000,1743947169aa8fa469e385587e33092d08177bef,jspwiki
