Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
JUDDI-392,2010-05-05 14:49:33 +0000,juddi-core/src/main/java/org/apache/juddi/api/impl/InquiryHelper.java|,14,15,15,2010-05-03 18:40:41 +0000,2010-05-05 14:48:33 +0000,d10989d2135ed24ecdcb2b29061016422ddd6f5b,juddi
JUDDI-391,2010-05-05 14:27:53 +0000,juddi-core/src/main/java/org/apache/juddi/mapping/MappingModelToApi.java|,14,15,15,2010-05-03 18:38:08 +0000,2010-05-05 14:26:51 +0000,7f48ea4ae0fc9d44cd10c67c1759838d19018f09,juddi
JUDDI-389,2010-05-03 18:28:51 +0000,juddi-core/src/main/java/org/apache/juddi/subscription/SubscriptionNotifier.java|,13,15,15,2010-04-29 02:36:10 +0000,2010-05-03 18:27:49 +0000,5da5799bae32fb596dbc1583d2a7b896d9051510,juddi
JUDDI-267,2010-01-15 20:58:05 +0000,juddi-core/pom.xml|juddi-core/src/main/resources/persistence/openjpa-persistence.xml|juddiv3-war/persistence/openjpa-persistence.xml|juddiv3-war/src/main/webapp/WEB-INF/web.xml|,9,10,14,2009-07-20 13:03:00 +0000,2010-01-15 20:17:54 +0000,71f22a7d351b13f79665feac4452250b6eb288a2,juddi
JUDDI-384,2010-04-20 15:06:04 +0000,juddi-core/src/main/java/org/apache/juddi/validation/ValidateInquiry.java|,14,15,15,2010-04-13 19:06:07 +0000,2010-04-20 15:03:56 +0000,4f125fac74e94c662b437b0aadc23f03cc1be2a1,juddi
JUDDI-263,2009-08-13 14:08:54 +0000,juddi-core/src/main/java/org/apache/juddi/config/AppConfig.java|juddi-core/src/main/java/org/apache/juddi/mapping/MappingApiToModel.java|juddi-core/src/main/java/org/apache/juddi/mapping/MappingModelToApi.java|juddi-core/src/main/java/org/apache/juddi/query/FindEntityByCategoryGroupQuery.java|juddi-core/src/main/java/org/apache/juddi/query/FindEntityByCategoryQuery.java|juddi-core/src/main/java/org/apache/juddi/validation/ValidateInquiry.java|juddi-core/src/main/java/org/apache/juddi/validation/ValidatePublish.java|juddi-core/src/main/java/org/apache/juddi/validation/ValidateUDDIKey.java|uddi-tck/src/main/java/org/uddi/api_v3/tck/TckValidator.java|uddi-ws/src/main/java/org/uddi/api_v3/CategoryBag.java|uddi-ws/src/main/java/org/uddi/api_v3/InstanceDetails.java|uddi-ws/src/main/java/org/uddi/api_v3/KeysOwned.java|uddi-ws/src/main/java/org/uddi/api_v3/OverviewDoc.java|uddi-ws/src/test/java/org/uddi/api_v3/AuthInfoTest.java|,9,10,12,2009-07-06 01:41:45 +0000,2009-08-13 14:04:01 +0000,3715f4f05229c76d54547573957baa099964d7a1,juddi
JUDDI-279,2009-09-15 05:51:23 +0000,juddi-core/src/main/java/org/apache/juddi/rmi/JNDIRegistration.java|uddi-client/src/test/resources/uddi.properties|,9,12,12,2009-09-15 02:55:10 +0000,2009-09-15 06:30:37 +0000,c837e6d7611b012b5f108048bcf2fdc48d890220,juddi
JUDDI-278,2009-09-15 05:50:40 +0000,docs/examples/auth/JBossAuthenticator.java|juddi-core/src/main/java/org/apache/juddi/api/impl/AuthenticatedService.java|juddi-core/src/main/java/org/apache/juddi/api/impl/UDDISecurityImpl.java|juddi-core/src/main/java/org/apache/juddi/config/AppConfig.java|juddi-core/src/main/java/org/apache/juddi/v3/auth/Authenticator.java|juddi-core/src/main/java/org/apache/juddi/v3/auth/AuthenticatorFactory.java|juddi-core/src/main/java/org/apache/juddi/v3/auth/CryptedXMLDocAuthenticator.java|juddi-core/src/main/java/org/apache/juddi/v3/auth/JUDDIAuthenticator.java|juddi-core/src/main/java/org/apache/juddi/v3/auth/JuddiUsers.java|juddi-core/src/main/java/org/apache/juddi/v3/auth/User.java|juddi-core/src/main/java/org/apache/juddi/v3/auth/XMLDocAuthenticator.java|juddi-core/src/test/java/org/apache/juddi/auth/AuthenticatorTest.java|juddi-core/src/test/resources/juddiv3.properties|juddi-cxf/src/main/webapp/WEB-INF/classes/juddiv3.properties|juddi-tomcat/build.xml|uddi-client/src/main/java/org/uddi/api_v3/client/config/ClientConfig.java|,9,12,12,2009-09-14 12:41:46 +0000,2009-09-14 17:33:46 +0000,6761216a890dc8cf70d3f66e03694b7a2fd80038,juddi
JUDDI-398,2010-07-09 05:27:50 +0000,uddi-tck/src/test/java/org/apache/juddi/v3/tck/UDDI_110_FindServicesIntegrationTest.java|,15,16,16,2010-05-20 21:27:50 +0000,2010-07-09 05:18:30 +0000,92a51f1d40aef0f484c7e5bde88926e6be809fb2,juddi
JUDDI-277,2009-09-15 05:50:02 +0000,uddi-client/src/main/java/org/uddi/api_v3/client/local/RequestHandler.java|,9,12,12,2009-09-11 14:39:54 +0000,2009-09-15 03:17:34 +0000,fd694549c7f865a0ce926b789450a7fec4b3e4da,juddi
JUDDI-396,2010-06-30 16:59:30 +0000,juddi-core/src/main/java/org/apache/juddi/api/impl/InquiryHelper.java|,15,15,16,2010-05-14 18:53:53 +0000,2010-06-30 16:57:57 +0000,394e7a5e7d22883ff2b4e654903e437fcf1f83d9,juddi
JUDDI-275,2009-09-04 20:16:33 +0000,juddi-core/src/main/java/org/apache/juddi/query/EntityQuery.java|juddi-core/src/main/java/org/apache/juddi/query/FetchBindingTemplatesQuery.java|juddi-core/src/main/java/org/apache/juddi/query/FetchBusinessEntitiesQuery.java|juddi-core/src/main/java/org/apache/juddi/query/FetchBusinessServicesQuery.java|juddi-core/src/main/java/org/apache/juddi/query/FetchTModelsQuery.java|,9,12,12,2009-09-04 20:14:23 +0000,2009-09-18 21:34:26 +0000,9641837fd44b2aa80e051478da2b9326fce8ac54,juddi
JUDDI-250,2009-06-30 23:17:46 +0000,juddi-core/src/main/resources/messages.properties|,9,10,10,2009-06-12 20:52:41 +0000,2009-06-30 23:22:03 +0000,5d540b04b1dbafe3afe98420bd27777e89127e56,juddi
JUDDI-370,2010-03-18 12:53:50 +0000,juddi-client/src/main/java/org/apache/juddi/v3/client/config/UDDIClerk.java|uddi-ws/src/main/java/org/uddi/v3_service/DispositionReportFaultMessage.java|,14,15,15,2010-02-26 13:26:52 +0000,2010-03-17 04:21:39 +0000,c250566869fd11d1ca8dff65f75c1cd266a8c68b,juddi
JUDDI-490,2011-06-03 12:37:56 +0000,uddi-ws/src/main/java/org/uddi/api_v3/InstanceDetails.java|uddi-ws/src/main/java/org/uddi/api_v3/OverviewDoc.java|,17,18,18,2011-06-02 18:57:43 +0000,2011-06-03 03:59:46 +0000,cf78ce35693cbbde55b0c3104fb607aefd93931e,juddi
JUDDI-368,2010-02-24 14:53:34 +0000,juddiv3-war/src/main/webapp/index.jsp|,14,15,15,2010-02-23 18:56:20 +0000,2010-02-23 18:57:19 +0000,df101de7359bb02a4965d441a5fa3d556e2762a6,juddi
JUDDI-487,2011-06-02 15:31:05 +0000,juddi-core-openjpa/src/test/java/org/apache/juddi/subscription/SubscriptionNotifierTest.java|juddi-core/src/main/java/org/apache/juddi/subscription/SubscriptionNotifier.java|,15,18,18,2011-05-26 01:28:05 +0000,2011-06-02 15:31:16 +0000,d4ba1c675e025abaf81f2d75973b2ba1201373ef,juddi
