Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
KYLIN-889,2015-07-13 07:38:26 +0000,common/src/main/java/org/apache/kylin/common/KylinConfig.java|common/src/main/java/org/apache/kylin/common/util/HiveClient.java|dictionary/src/main/java/org/apache/kylin/dict/lookup/FileTable.java|dictionary/src/main/java/org/apache/kylin/dict/lookup/HiveTable.java|dictionary/src/main/java/org/apache/kylin/dict/lookup/SnapshotManager.java|,3,4,4,2015-07-13 03:12:33 +0000,2015-07-13 15:37:00 +0800,9d92afe01af9d3103105b7a3a7b96311c2dbebac,kylin
KYLIN-2674,2017-06-29 13:24:30 +0000,storage-hbase/src/main/java/org/apache/kylin/storage/hbase/cube/v2/coprocessor/endpoint/CubeVisitService.java|,18,19,19,2017-06-16 10:04:15 +0000,2017-06-29 21:23:43 +0800,1eb32c3e62d92142b4f7330ac10edd606c870307,kylin
KYLIN-2430,2017-02-07 09:43:06 +0000,storage-hbase/src/main/java/org/apache/kylin/storage/hbase/steps/BulkLoadJob.java|,17,18,18,2017-02-07 03:15:37 +0000,2017-02-07 17:40:39 +0800,7b860adb0a23b53d6e2e40337f4317a3a2b067ba,kylin
KYLIN-3525,2018-09-12 11:18:06 +0000,source-hive/src/main/java/org/apache/kylin/source/hive/GarbageCollectionStep.java|,23,25,26,2018-09-03 01:12:37 +0000,2018-09-12 18:27:11 +0800,375acdedf88a298bfcd2d2dddbf6f8551f42e427,kylin
KYLIN-2678,2017-06-22 14:13:20 +0000,tool/src/test/java/org/apache/kylin/tool/KylinConfigCLITest.java|,18,19,19,2017-06-21 09:07:20 +0000,2017-06-22 22:00:43 +0800,2d1a47d1be28e47a143c42b2a885c10725228b91,kylin
KYLIN-2433,2017-02-07 09:23:24 +0000,engine-mr/src/main/java/org/apache/kylin/engine/mr/steps/MergeCuboidMapper.java|,17,18,18,2017-02-07 08:56:51 +0000,2017-02-14 17:50:26 +0800,a5326fcb5a670970ee20b08486a77ec02dcf5c66,kylin
KYLIN-1581,2016-04-14 11:28:29 +0000,engine-mr/src/main/java/org/apache/kylin/engine/mr/common/MapReduceExecutable.java|,9,12,12,2016-04-13 08:12:06 +0000,2016-04-13 18:14:26 +0800,444302b2afe05940ec8fed43f437d8cd1ffbf62c,kylin
KYLIN-3515,2018-09-21 09:33:53 +0000,core-cube/src/main/java/org/apache/kylin/cube/CubeManager.java|core-cube/src/main/java/org/apache/kylin/cube/cli/DictionaryGeneratorCLI.java|core-dictionary/src/main/java/org/apache/kylin/dict/lookup/SnapshotCLI.java|core-job/src/main/java/org/apache/kylin/job/execution/AbstractExecutable.java|core-job/src/main/java/org/apache/kylin/job/execution/DefaultChainedExecutable.java|core-job/src/main/java/org/apache/kylin/job/execution/ExecutableManager.java|core-metadata/src/main/java/org/apache/kylin/metadata/model/TableDesc.java|core-metadata/src/main/java/org/apache/kylin/source/ISource.java|core-metadata/src/main/java/org/apache/kylin/source/SourceManager.java|engine-mr/src/main/java/org/apache/kylin/engine/mr/IMRInput.java|engine-mr/src/main/java/org/apache/kylin/engine/mr/JobBuilderSupport.java|engine-mr/src/main/java/org/apache/kylin/engine/mr/MRUtil.java|engine-mr/src/main/java/org/apache/kylin/engine/mr/steps/CreateDictionaryJob.java|engine-mr/src/main/java/org/apache/kylin/engine/mr/steps/lookup/LookupSnapshotToMetaStoreStep.java|kylin-it/src/test/java/org/apache/kylin/source/hive/ITSnapshotManagerTest.java|server-base/src/main/java/org/apache/kylin/rest/msg/CnMessage.java|server-base/src/main/java/org/apache/kylin/rest/msg/Message.java|server-base/src/main/java/org/apache/kylin/rest/service/CubeService.java|server-base/src/main/java/org/apache/kylin/rest/service/JobService.java|server-base/src/main/java/org/apache/kylin/rest/service/TableService.java|source-hive/src/main/java/org/apache/kylin/source/hive/HiveInputBase.java|source-hive/src/main/java/org/apache/kylin/source/hive/HiveMRInput.java|source-hive/src/main/java/org/apache/kylin/source/hive/HiveSource.java|source-hive/src/main/java/org/apache/kylin/source/hive/HiveSparkInput.java|source-hive/src/main/java/org/apache/kylin/source/hive/cardinality/ColumnCardinalityMapper.java|source-hive/src/main/java/org/apache/kylin/source/hive/cardinality/HiveColumnCardinalityJob.java|source-hive/src/main/java/org/apache/kylin/source/jdbc/JdbcSource.java|source-kafka/src/main/java/org/apache/kylin/source/kafka/KafkaMRInput.java|source-kafka/src/main/java/org/apache/kylin/source/kafka/KafkaSource.java|storage-hbase/src/main/java/org/apache/kylin/storage/hbase/lookup/HBaseLookupMRSteps.java|storage-hbase/src/main/java/org/apache/kylin/storage/hbase/lookup/LookupTableToHFileJob.java|storage-hbase/src/main/java/org/apache/kylin/storage/hbase/lookup/LookupTableToHFileMapper.java|,23,25,27,2018-08-26 08:50:46 +0000,2018-09-21 17:21:28 +0800,cf171da0ef30fec80b21cd1cb2247d0c0bd91716,kylin
KYLIN-3994,2019-06-19 08:34:06 +0000,core-cube/src/main/java/org/apache/kylin/cube/CubeManager.java|server-base/src/main/java/org/apache/kylin/rest/job/MetadataCleanupJob.java|server-base/src/main/java/org/apache/kylin/rest/job/StorageCleanJobHbaseUtil.java|server-base/src/main/java/org/apache/kylin/rest/job/StorageCleanupJob.java|,28,31,32,2019-05-07 05:25:27 +0000,2019-05-31 18:18:19 +0800,cfce8bb628e0e4ade4e03ba9d544096859760907,kylin
KYLIN-3752,2019-01-03 07:13:47 +0000,core-metadata/src/main/java/org/apache/kylin/metadata/cachesync/Broadcaster.java|,26,29,29,2019-01-02 03:04:36 +0000,2019-01-03 15:04:52 +0800,250f1a1941432059e86207fbf483f183d5b3ed9a,kylin
KYLIN-1574,2016-04-25 19:08:12 +0000,server/src/main/java/org/apache/kylin/rest/service/QueryService.java|,9,11,12,2016-04-08 16:15:22 +0000,2016-04-14 20:21:52 +0800,45759972a72ff7f9608525e3e9383dad8810edb0,kylin
KYLIN-2664,2017-06-09 10:19:52 +0000,webapp/app/partials/cubeDesigner/measures.html|,18,19,19,2017-06-09 10:17:22 +0000,2017-06-09 18:21:43 +0800,c9ee26bce8aa546e0adafdd520f05ece793196c4,kylin
KYLIN-3748,2019-01-02 00:58:15 +0000,core-cube/src/main/java/org/apache/kylin/cube/CubeCapabilityChecker.java|,28,29,29,2018-12-28 14:24:00 +0000,2018-12-29 09:01:52 +0800,bfe1364297df1d192fb70905d3ace19f67380a79,kylin
KYLIN-1569,2016-04-28 06:12:54 +0000,webapp/app/js/controllers/cubeEdit.js|webapp/app/js/controllers/cubeMeasures.js|webapp/app/partials/cubeDesigner/measures.html|,9,11,12,2016-04-07 13:08:32 +0000,2016-04-18 12:21:16 +0800,89fb4870c34a9204a8f1200c8369f5fcdd194941,kylin
KYLIN-666,2015-05-29 01:32:45 +0000,storage/src/main/java/org/apache/kylin/storage/tuple/Tuple.java|,1,3,3,2015-04-08 08:04:39 +0000,2015-05-27 12:22:34 +0800,a75ce16c45c5b39b17d9d4b72517e0f234855e8e,kylin
KYLIN-2652,2017-06-29 13:22:26 +0000,storage-hbase/src/main/java/org/apache/kylin/storage/hbase/cube/v2/coprocessor/endpoint/CubeVisitService.java|,18,19,19,2017-05-31 12:34:15 +0000,2017-06-29 21:20:22 +0800,a1e055a6b448f7e797ea29bc97e84325b3056638,kylin
KYLIN-3981,2019-07-30 23:18:33 +0000,core-common/src/main/java/org/apache/kylin/common/KylinConfig.java|,30,31,31,2019-04-25 08:31:04 +0000,2019-04-26 22:10:58 +0800,c04694bf9a7e70e7f63870157884fdcde030f88a,kylin
KYLIN-2655,2017-06-02 01:30:06 +0000,core-job/src/main/java/org/apache/kylin/job/JobInstance.java|core-job/src/main/java/org/apache/kylin/job/execution/AbstractExecutable.java|core-job/src/main/java/org/apache/kylin/job/execution/DefaultChainedExecutable.java|engine-mr/src/main/java/org/apache/kylin/engine/mr/common/JobInfoConverter.java|tool/src/main/java/org/apache/kylin/tool/JobInstanceExtractor.java|,18,19,19,2017-06-01 12:09:55 +0000,2017-06-02 09:23:57 +0800,53aafa97e150d8ac9dd4dfc54d6b55b12a70240c,kylin
KYLIN-3500,2018-08-20 08:02:09 +0000,source-hive/src/main/java/org/apache/kylin/source/jdbc/JdbcHiveMRInput.java|,21,25,25,2018-08-15 08:42:38 +0000,2018-08-20 16:01:53 +0800,2eba8e2142e674bef3ff2ddacb2729902cc81d0a,kylin
KYLIN-3738,2019-01-16 02:09:53 +0000,webapp/app/js/controllers/cubeMeasures.js|,28,29,29,2018-12-24 09:23:43 +0000,2018-12-25 10:16:43 +0800,1af62e46516b7b9a31d3de5a1a7867f9cb51799b,kylin
KYLIN-2648,2017-07-12 14:02:56 +0000,storage-hbase/src/main/java/org/apache/kylin/storage/hbase/steps/HDFSPathGarbageCollectionStep.java|,18,19,19,2017-05-26 05:56:43 +0000,2017-06-04 09:12:32 +0800,216ae0337bcb57ec75fc3f694ec8c13e137572a5,kylin
KYLIN-2647,2017-06-09 09:41:39 +0000,storage-hbase/src/main/java/org/apache/kylin/storage/hbase/HBaseResourceStore.java|,18,19,19,2017-05-25 12:38:25 +0000,2017-06-09 17:41:46 +0800,f65e8cb5ef56c71d1b9c76a8b1f8b3162fa80959,kylin
KYLIN-1316,2016-01-14 03:04:10 +0000,0001-KYLIN-1316-update-wrong-label-in-cube-refresh-page.patch|webapp/app/partials/jobs/job_refresh.html|,8,9,9,2016-01-14 01:36:57 +0000,2016-01-14 14:03:41 +0800,dc7e16eb28a64c07fc816f7cadefbff194d9d620,kylin
KYLIN-897,2015-07-20 07:13:28 +0000,job/src/main/java/org/apache/kylin/job/tools/CubeMigrationCLI.java|,3,4,4,2015-07-20 03:36:30 +0000,2015-07-20 14:47:28 +0800,0bb0f3c9047b03f9c7f6e3dc74846a03b250c672,kylin
KYLIN-1793,2016-11-28 00:47:39 +0000,assembly/src/test/java/org/apache/kylin/job/DeployUtil.java|core-common/src/main/java/org/apache/kylin/common/util/HiveCmdBuilder.java|core-common/src/test/java/org/apache/kylin/common/util/HiveCmdBuilderTest.java|source-hive/src/main/java/org/apache/kylin/source/hive/CreateFlatHiveTableStep.java|source-hive/src/main/java/org/apache/kylin/source/hive/HiveMRInput.java|storage-hbase/src/main/java/org/apache/kylin/storage/hbase/steps/DeprecatedGCStep.java|storage-hbase/src/main/java/org/apache/kylin/storage/hbase/util/HiveCmdBuilder.java|storage-hbase/src/main/java/org/apache/kylin/storage/hbase/util/StorageCleanupJob.java|tool/src/main/java/org/apache/kylin/tool/StorageCleanupJob.java|,9,14,18,2016-06-16 07:11:56 +0000,2016-11-28 08:46:35 +0800,99f1dd9d2460566748db2167e69a6a8a7689271d,kylin
KYLIN-1551,2016-05-11 10:01:36 +0000,webapp/app/js/controllers/cubeMeasures.js|,9,11,12,2016-03-31 03:12:37 +0000,2016-05-11 17:30:32 +0800,f6511331929f944a762815d4ace3ea60da4ea0f1,kylin
KYLIN-1795,2016-07-27 05:53:54 +0000,build/bin/sample.sh|examples/sample_cube/create_sample_tables.sql|,9,14,14,2016-06-16 08:09:41 +0000,2016-07-22 10:35:50 +0800,3bdafb1a118a03222c30c97d0af79f4a8c811930,kylin
KYLIN-1553,2016-03-31 09:12:35 +0000,webapp/app/js/controllers/cubeEdit.js|,9,11,11,2016-03-31 07:43:56 +0000,2016-03-31 17:01:28 +0800,05033cbe4b30510070820ee4130516cdd94b185f,kylin
KYLIN-3731,2018-12-26 06:13:58 +0000,core-cube/src/main/java/org/apache/kylin/cube/common/SegmentPruner.java|core-metadata/src/main/java/org/apache/kylin/metadata/datatype/DataType.java|engine-mr/src/main/java/org/apache/kylin/engine/mr/steps/FactDistinctColumnsReducer.java|engine-mr/src/main/java/org/apache/kylin/engine/mr/steps/UpdateCubeInfoAfterBuildStep.java|engine-spark/src/main/java/org/apache/kylin/engine/spark/SparkFactDistinct.java|,27,29,29,2018-12-20 03:00:26 +0000,2018-12-26 13:49:42 +0800,7539ac4d5fa613ab705bc3368e78355db0ae5a8e,kylin
KYLIN-840,2015-07-13 02:52:24 +0000,job/src/main/java/org/apache/kylin/job/tools/LZOSupportnessChecker.java|,3,4,4,2015-06-18 13:58:59 +0000,2015-06-19 10:37:26 +0800,0476f5f5e467bbae78e4dd660d710318f414704c,kylin
KYLIN-3565,2018-09-25 00:50:30 +0000,webapp/app/js/controllers/auth.js|,25,27,27,2018-09-17 12:27:43 +0000,2018-09-19 11:24:34 +0800,aee4b57ece21ad1bd5f33efd23feb79542235d91,kylin
KYLIN-848,2015-06-24 02:26:48 +0000,server/src/main/java/org/apache/kylin/rest/controller/JobController.java|server/src/main/java/org/apache/kylin/rest/service/JobService.java|,3,4,4,2015-06-23 08:52:11 +0000,2015-06-24 09:43:22 +0800,2e79bffd83554ffe1f8ddbcab0645de8e2d76ec8,kylin
KYLIN-3562,2018-10-29 07:32:48 +0000,server-base/src/main/java/org/apache/kylin/rest/security/KylinAuthenticationProvider.java|server-base/src/main/java/org/apache/kylin/rest/security/ManagedUser.java|,23,27,27,2018-09-17 02:10:01 +0000,2018-10-29 15:20:57 +0800,3bcbaa88b97cf868ddf8f51a54b015ef3b7cc068,kylin
KYLIN-849,2015-06-24 02:30:44 +0000,cube/src/main/java/org/apache/kylin/cube/CubeCapabilityChecker.java|query/src/main/java/org/apache/kylin/query/relnode/OLAPAggregateRel.java|query/src/main/java/org/apache/kylin/query/routing/RoutingRules/AdjustForWeaklyMatchedRealization.java|query/src/test/resources/query/sql/query80.sql|,3,4,4,2015-06-23 09:11:43 +0000,2015-06-24 09:35:07 +0800,ac2d4c49cb38bb796120911bb7b50f5870bcff9a,kylin
KYLIN-1148,2018-10-17 01:14:30 +0000,webapp/app/js/controllers/page.js|,7,8,8,2015-11-16 02:26:19 +0000,2015-12-08 21:44:28 +0800,39eaaecd29d5aea8f5d36ea65b631e8d005bb71e,kylin
KYLIN-2236,2016-12-11 08:13:27 +0000,kylin-it/src/test/java/org/apache/kylin/jdbc/ITJDBCDriverTest.java|server-base/src/main/java/org/apache/kylin/rest/request/SQLRequest.java|server-base/src/main/java/org/apache/kylin/rest/service/QueryService.java|,17,18,18,2016-11-30 09:58:36 +0000,2016-12-05 13:43:03 +0800,8f3239bf9ea4f1abd8d2c814967d425d4da68a45,kylin
KYLIN-1140,2015-11-24 06:29:24 +0000,examples/sample_cube/metadata/cube/kylin_sales_cube.json|,5,8,8,2015-11-12 09:04:02 +0000,2015-11-12 17:15:57 +0800,0c733e952494de44f9512d8dceff08ca20400b88,kylin
KYLIN-2470,2017-11-26 10:45:00 +0000,engine-mr/src/main/java/org/apache/kylin/engine/mr/common/AbstractHadoopJob.java|,17,18,21,2017-02-25 08:23:39 +0000,2017-11-26 18:43:30 +0800,d9e1d8cd9602936251628c72c63626e5a4f8cbf9,kylin
