Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
LANG-294,2006-10-31 22:15:27 +0000,src/java/org/apache/commons/lang/text/StrBuilder.java|src/test/org/apache/commons/lang/text/StrBuilderTest.java|,5,6,6,2006-10-31 11:07:08 +0000,2006-10-31 22:15:00 +0000,8e52e2169b20f7bc3c6c520d4f0c98e5bf06b076,commons-lang
LANG-299,2006-12-12 22:35:59 +0000,src/java/org/apache/commons/lang/text/StrBuilder.java|src/test/org/apache/commons/lang/text/StrBuilderAppendInsertTest.java|,5,6,6,2006-12-11 11:58:25 +0000,2006-12-12 22:34:39 +0000,9b0b19a9162ae8d217b06716962b982703ab4d1b,commons-lang
LANG-281,2006-10-07 00:23:28 +0000,src/java/org/apache/commons/lang/time/DurationFormatUtils.java|src/test/org/apache/commons/lang/time/DurationFormatUtilsTest.java|,4,6,6,2006-10-05 16:51:37 +0000,2006-10-07 00:22:42 +0000,1d5c03fac601d6ce291c3fe3e5e51a11881e2fc0,commons-lang
LANG-393,2008-01-13 07:00:40 +0000,src/java/org/apache/commons/lang/builder/EqualsBuilder.java|src/test/org/apache/commons/lang/builder/EqualsBuilderTest.java|,6,7,8,2008-01-03 13:46:49 +0000,2009-11-14 10:10:19 +0000,9adbbb0bbfe1d76549dd8b6704f183dacb1de29f,commons-lang
LANG-271,2006-08-10 21:25:47 +0000,src/test/org/apache/commons/lang/LocaleUtilsTest.java|,4,5,5,2006-07-08 23:51:26 +0000,2006-08-10 21:26:27 +0000,e6cde16e0a10771a6f9b82678ca4d5835207578c,commons-lang
LANG-278,2006-09-12 15:26:19 +0000,src/java/org/apache/commons/lang/StringUtils.java|src/test/org/apache/commons/lang/StringUtilsTest.java|,4,5,5,2006-09-12 12:09:36 +0000,2006-09-12 15:29:31 +0000,ba57d261f1dfa1926e6bea34726e396865b0411c,commons-lang
LANG-277,2006-08-30 18:19:44 +0000,src/java/org/apache/commons/lang/StringUtils.java|src/test/org/apache/commons/lang/StringUtilsTest.java|,4,5,5,2006-08-30 06:22:04 +0000,2006-08-30 18:22:12 +0000,462a89b82ee3e5fd5d6f69289297f77df83f689a,commons-lang
LANG-261,2006-06-06 02:37:22 +0000,src/java/org/apache/commons/lang/StringUtils.java|src/test/org/apache/commons/lang/StringUtilsTest.java|,4,5,5,2006-06-01 00:10:25 +0000,2006-06-05 19:37:19 +0000,80e957ecc44a5f0404baeb0f36484e4d560e7bce,commons-lang
LANG-141,2007-02-06 23:47:17 +0000,pom.xml|src/changes/changes.xml|,4,5,24,2005-11-28 17:46:55 +0000,2018-09-19 10:51:19 -0400,ae9b31285e798b571a31a16ced2fca7a37ab8287,commons-lang
LANG-380,2007-11-29 16:34:28 +0000,src/java/org/apache/commons/lang/math/Fraction.java|,6,7,7,2007-11-29 16:24:43 +0000,2007-11-29 16:25:54 +0000,673385b43d0d5783039242460ba1c12b3f1f4e92,commons-lang
