Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
MARMOTTA-197,2013-07-16 15:55:47 +0000,libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/selectors/GroupedSelector.java|libraries/ldpath/ldpath-core/src/main/javacc/at/newmedialab/ldpath/parser/rdfpath.jj|,2,2,3,2013-04-12 11:57:31 +0000,2013-05-07 16:07:56 +0200,7df9f1d36285767a8d987f509414cd7881e478aa,marmotta
MARMOTTA-514,2014-11-11 14:40:18 +0000,platform/marmotta-ldp/src/main/java/org/apache/marmotta/platform/ldp/services/LdpServiceImpl.java|,5,7,7,2014-07-21 13:37:17 +0000,2014-09-25 18:11:37 +0200,8e0160f8dffcae7bb344712edaa5c0a4cbb9db1f,marmotta
MARMOTTA-636,2016-05-02 07:09:50 +0000,README.md|launchers/marmotta-webapp/README.md|,7,8,8,2016-04-29 11:26:01 +0000,2016-05-02 09:09:07 +0200,1d2048394fcce7a41ef060ff05a6445c824819b8,marmotta
MARMOTTA-631,2016-03-03 10:37:06 +0000,platform/marmotta-core/src/main/java/org/apache/marmotta/platform/core/services/triplestore/ContextServiceImpl.java|platform/marmotta-core/src/test/java/org/apache/marmotta/platform/core/test/triplestore/ContextServiceTest.java|,7,8,8,2016-03-03 08:44:48 +0000,2016-03-03 11:36:04 +0100,503cbc8daae89641b8f5d60c04274e1dcde012ec,marmotta
MARMOTTA-634,2016-04-19 07:56:41 +0000,platform/backends/marmotta-backend-kiwi/src/main/resources/web/admin/configuration.html|platform/backends/marmotta-backend-kiwi/src/main/resources/web/admin/console.html|platform/backends/marmotta-backend-kiwi/src/main/resources/web/admin/database.html|,7,8,8,2016-04-14 15:52:36 +0000,2016-04-19 09:55:48 +0200,ff559ea4f1ff1b2217d2796c263d2e33e2bb4bd0,marmotta
MARMOTTA-513,2014-07-11 13:04:14 +0000,parent/pom.xml|,6,7,7,2014-07-08 05:04:51 +0000,2014-07-11 15:00:45 +0200,d5241ed9f6f88598f0973d0bfda75c6add2fca9b,marmotta
MARMOTTA-188,2013-04-05 16:33:41 +0000,platform/marmotta-sparql/src/main/java/org/apache/marmotta/platform/sparql/services/sparql/SparqlWritersHelper.java|platform/marmotta-sparql/src/main/java/org/apache/marmotta/platform/sparql/webservices/SparqlWebService.java|,1,2,2,2013-04-03 13:12:55 +0000,2013-04-05 17:48:12 +0200,f52a0dc22daed38456c4864b8fef7fefa8ac37b7,marmotta
MARMOTTA-625,2016-02-15 14:07:38 +0000,libraries/kiwi/kiwi-reasoner/src/main/javacc/org/apache/marmotta/kiwi/reasoner/parser/KWRLProgramParser.jj|libraries/kiwi/kiwi-reasoner/src/test/java/org/apache/marmotta/kiwi/reasoner/test/parser/KWRLRuleParserTest.java|libraries/kiwi/kiwi-reasoner/src/test/java/org/apache/marmotta/kiwi/reasoner/test/persistence/KWRLProgramPersistenceTest.java|,7,8,8,2016-01-22 02:01:41 +0000,2016-02-15 15:05:53 +0100,528b341299e7f4db79e820839f979c070cd40dc1,marmotta
MARMOTTA-502,2014-05-19 13:56:19 +0000,libraries/ldclient/ldclient-provider-youtube/src/main/java/org/apache/marmotta/ldclient/provider/youtube/YoutubePlaylistProvider.java|libraries/ldclient/ldclient-provider-youtube/src/test/resources/org/apache/marmotta/ldclient/test/youtube/youtube-playlist.sparql|,5,6,6,2014-05-19 13:27:40 +0000,2014-05-19 15:51:24 +0200,ab80f7400a7198c43758e05ee2a84fc668a2ca7e,marmotta
MARMOTTA-628,2016-02-12 12:27:15 +0000,libraries/kiwi/kiwi-sparql/src/test/java/org/apache/marmotta/kiwi/sparql/test/KiWiSparqlTest.java|,7,8,8,2016-02-11 13:38:30 +0000,2016-02-12 13:23:57 +0100,0b07a02b04ea5a84a73e834f8aa671bf3fbf9e1f,marmotta
