Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
MJAVADOC-517,2018-03-10 14:14:07 +0000,pom.xml|src/main/java/org/apache/maven/plugins/javadoc/AbstractJavadocMojo.java|src/main/java/org/apache/maven/plugins/javadoc/JavadocUtil.java|src/main/java/org/apache/maven/plugins/javadoc/JavadocVersion.java|src/main/java/org/apache/maven/plugins/javadoc/SystemUtils.java|src/test/java/org/apache/maven/plugins/javadoc/FixJavadocMojoTest.java|src/test/java/org/apache/maven/plugins/javadoc/JavadocJarTest.java|src/test/java/org/apache/maven/plugins/javadoc/JavadocReportTest.java|,21,22,22,2018-03-07 17:12:49 +0000,2018-03-10 14:00:32 +0100,c922342ed87805c236d68ccbf545efb17af0f965,maven-javadoc-plugin
MJAVADOC-512,2018-03-24 19:52:52 +0000,src/main/java/org/apache/maven/plugins/javadoc/AbstractJavadocMojo.java|,21,22,22,2018-02-07 22:45:12 +0000,2018-03-24 20:38:12 +0100,c6113300e2480a2cd9919fb82985ebca15fe203c,maven-javadoc-plugin
MJAVADOC-190,2008-05-24 10:34:15 +0000,src/main/java/org/apache/maven/plugin/javadoc/AbstractJavadocMojo.java|src/main/java/org/apache/maven/plugin/javadoc/JavadocUtil.java|src/test/java/org/apache/maven/plugin/javadoc/JavadocReportTest.java|src/test/java/org/apache/maven/plugin/javadoc/stubs/ResourcesWithExcludesTestMavenProjectStub.java|src/test/resources/unit/resources-with-excludes-test/resources-with-excludes-test-plugin-config.xml|src/test/resources/unit/resources-with-excludes-test/src/main/java/resources/test/App.java|src/test/resources/unit/resources-with-excludes-test/src/main/java/resources/test2/App2.java|src/test/resources/unit/resources-with-excludes-test/src/main/javadoc/resources/test/doc-files/maven-feather.png|src/test/resources/unit/resources-with-excludes-test/src/main/javadoc/resources/test2/doc-files/maven-feather.png|,6,7,7,2008-05-24 06:52:57 +0000,2008-05-24 14:07:04 +0000,90cf2d88449ba15bc6a562390e1d1aa5a0a6e723,maven-javadoc-plugin
MJAVADOC-198,2008-07-17 06:44:22 +0000,src/main/java/org/apache/maven/plugin/javadoc/AbstractJavadocMojo.java|,6,7,7,2008-07-17 03:44:43 +0000,2008-07-17 11:40:16 +0000,9429f9e743e3eda563a1d866098a937ea11a32b0,maven-javadoc-plugin
MJAVADOC-194,2008-06-06 14:40:07 +0000,pom.xml|src/it/MJAVADOC-194/goals.txt|src/it/MJAVADOC-194/module1/generated-src/main/java/test/GeneratedTest1.java|src/it/MJAVADOC-194/module1/pom.xml|src/it/MJAVADOC-194/module1/src/main/java/test/Test1.java|src/it/MJAVADOC-194/module2/generated-src/main/java/test/GeneratedTest2.java|src/it/MJAVADOC-194/module2/pom.xml|src/it/MJAVADOC-194/module2/src/main/java/test/Test2.java|src/it/MJAVADOC-194/pom.xml|src/it/MJAVADOC-194/verify.bsh|,6,7,7,2008-05-30 17:42:13 +0000,2008-06-07 13:26:27 +0000,4bed8c15a625efe3d287dd72c01760a3408c67dc,maven-javadoc-plugin
MJAVADOC-526,2018-12-19 22:34:17 +0000,pom.xml|src/it/projects/MJAVADOC-526_aggr-managedDeps/invoker.properties|src/it/projects/MJAVADOC-526_aggr-managedDeps/javadoc-child/pom.xml|src/it/projects/MJAVADOC-526_aggr-managedDeps/javadoc-child/src/main/java/com/leokom/javadoc/JavadocMavenBugDemo.java|src/it/projects/MJAVADOC-526_aggr-managedDeps/pom.xml|src/main/java/org/apache/maven/plugins/javadoc/AbstractJavadocMojo.java|src/main/java/org/apache/maven/plugins/javadoc/resolver/ResourceResolver.java|,21,22,23,2018-05-04 07:18:17 +0000,2018-12-19 22:47:59 +0100,7f02059e97c9b8f1ef75f182b2edfa54e5001ecc,maven-javadoc-plugin
MJAVADOC-404,2016-04-16 21:31:24 +0000,src/main/java/org/apache/maven/plugin/javadoc/ResourcesBundleMojo.java|,14,15,19,2014-08-28 08:17:44 +0000,2016-04-16 21:30:44 +0000,522b1b6c795b4eff88d8b5c88c623914f3455aef,maven-javadoc-plugin
MJAVADOC-528,2018-08-18 16:13:01 +0000,src/it/projects/MJAVADOC-528/invoker.properties|src/it/projects/MJAVADOC-528/pom.xml|src/it/projects/MJAVADOC-528/src/main/java/foo/bar/MyClass.java|src/it/projects/MJAVADOC-528/verify.groovy|src/main/java/org/apache/maven/plugins/javadoc/JavadocUtil.java|,22,23,23,2018-06-06 14:25:11 +0000,2018-08-18 00:15:02 +0200,b651443bba06fdf469b730024489c3f02629e50c,maven-javadoc-plugin
MJAVADOC-407,2014-09-26 14:16:36 +0000,pom.xml|src/it/MJAVADOC-407/invoker.properties|src/it/MJAVADOC-407/pom.xml|src/it/MJAVADOC-407/src/main/java/foo/Bar.java|src/it/MJAVADOC-407/verify.bsh|,15,16,17,2014-09-22 07:02:18 +0000,2014-09-26 21:06:35 +0000,32dde15099156fde0f741633a3a6f13d711c02fc,maven-javadoc-plugin
MJAVADOC-527,2019-01-04 18:26:56 +0000,src/main/java/org/apache/maven/plugins/javadoc/JavadocUtil.java|src/test/java/org/apache/maven/plugins/javadoc/AbstractJavadocMojoTest.java|,22,23,23,2018-06-06 13:57:37 +0000,2019-01-04 18:24:41 +0100,34fccfb151ba0603556d57e1972ac897bce05a5e,maven-javadoc-plugin
