Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
MRELEASE-178,2007-05-18 10:23:21 +0000,maven-release-manager/src/main/java/org/apache/maven/shared/release/phase/AbstractRewritePomsPhase.java|maven-release-manager/src/test/java/org/apache/maven/shared/release/phase/RewritePomsForDevelopmentPhaseTest.java|maven-release-manager/src/test/resources/projects/rewrite-for-development/basic-pom-ejb-client-dep/expected-pom.xml|maven-release-manager/src/test/resources/projects/rewrite-for-development/basic-pom-ejb-client-dep/pom.xml|,1,2,3,2006-11-16 17:17:11 +0000,2007-05-18 15:22:14 +0000,47b40cdd2bb7fca7090000a43e3c8da473ecaa87,maven-release
MRELEASE-296,2007-10-23 20:07:46 +0000,maven-release-manager/src/main/java/org/apache/maven/shared/release/phase/AbstractRewritePomsPhase.java|,3,4,4,2007-10-23 20:05:51 +0000,2007-10-24 01:07:14 +0000,be8f8b178d48fef5435b89ff40392bc991cf299f,maven-release
MRELEASE-966,2016-11-11 16:11:49 +0000,maven-release-plugin/pom.xml|maven-release-plugin/src/it/projects/prepare/MRELEASE-966/invoker.properties|maven-release-plugin/src/it/projects/prepare/MRELEASE-966/my-pom.xml|maven-release-plugin/src/it/projects/prepare/MRELEASE-966/pom.xml|maven-release-plugin/src/it/projects/prepare/MRELEASE-966/verify.groovy|maven-release-plugin/src/main/java/org/apache/maven/plugins/release/AbstractReleaseMojo.java|,20,22,22,2016-11-04 11:03:52 +0000,2016-11-11 15:32:18 +0000,909f0191ba866984930af924fb5b04afee05afff,maven-release
MRELEASE-964,2017-01-08 22:09:31 +0000,maven-release-manager/pom.xml|,21,22,22,2016-10-06 03:29:59 +0000,2017-01-08 21:17:21 +0000,c0b2304e73e4044e993e628eb407c72d7f80c33d,maven-release
MRELEASE-601,2018-01-21 13:10:42 +0000,maven-release-manager/src/main/java/org/apache/maven/shared/release/transform/jdom/JDomModelETL.java|maven-release-manager/src/test/resources/projects/rewrite-for-release/cdata-section/expected-pom.xml|maven-release-manager/src/test/resources/projects/rewrite-for-release/cdata-section/pom.xml|,4,8,22,2010-09-29 11:17:44 +0000,2018-01-21 14:08:20 +0100,6ee40753a61ee342775e20d7c757489b89b37aec,maven-release
MRELEASE-168,2007-04-24 08:40:59 +0000,maven-release-manager/src/main/java/org/apache/maven/shared/release/phase/ScmCommitPhase.java|maven-release-manager/src/main/mdo/release-descriptor.mdo|maven-release-plugin/src/main/java/org/apache/maven/plugins/release/PrepareReleaseMojo.java|,1,2,2,2006-10-02 10:10:02 +0000,2007-04-24 13:40:14 +0000,9cf50c313c835aef0698651516625116a9a231e9,maven-release
MRELEASE-968,2017-03-05 20:20:35 +0000,maven-release-manager/pom.xml|,21,22,22,2016-11-22 00:19:38 +0000,2017-03-05 20:17:41 +0000,72bef819616881f002158ef92bbd5c5a87bea2bc,maven-release
MRELEASE-727,2012-04-30 16:03:03 +0000,maven-release-manager/src/main/java/org/apache/maven/shared/release/phase/RunPerformGoalsPhase.java|,9,12,12,2012-01-22 08:46:18 +0000,2012-04-30 20:58:28 +0000,8df63b121565699d1238c4fcd937357cc7dbceb9,maven-release
MRELEASE-834,2015-03-28 13:38:22 +0000,maven-release-manager/src/test/java/org/apache/maven/shared/release/config/ReleaseUtilsTest.java|,16,17,20,2013-04-12 14:28:26 +0000,2015-03-28 18:41:16 +0000,f79a3f0958821240eb6cebcbda26ecbfb93db4e6,maven-release
MRELEASE-832,2013-04-16 15:26:01 +0000,maven-release-plugin/src/it/projects/perform/MRELEASE-832/invoker.properties|maven-release-plugin/src/it/projects/perform/MRELEASE-832/pom.xml|maven-release-plugin/src/it/projects/perform/MRELEASE-832/verify.groovy|maven-release-plugin/src/main/java/org/apache/maven/plugins/release/PerformReleaseMojo.java|,16,17,17,2013-04-05 05:10:17 +0000,2013-04-16 20:24:33 +0000,daed8d5a5e3214595357643f7928243838f40846,maven-release
