Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
NET-180,2010-07-11 22:04:04 +0000,src/main/java/org/apache/commons/net/telnet/Telnet.java|src/main/java/org/apache/commons/net/telnet/TelnetInputStream.java|src/main/java/org/apache/commons/net/telnet/TelnetNotificationHandler.java|,8,9,10,2008-01-03 15:50:25 +0000,2010-07-11 22:00:50 +0000,a68542f4bcbf6d986a5eb62b3584230556c95bb5,commons-net
NET-63,2007-09-20 05:31:11 +0000,src/main/java/org/apache/commons/net/telnet/TelnetClient.java|src/main/java/org/apache/commons/net/telnet/TelnetInputStream.java|src/test/java/org/apache/commons/net/telnet/TelnetClientTest.java|,8,9,19,2005-06-14 02:29:52 +0000,2017-07-03 15:50:29 +0000,f5e5d18165434e8ee03d980373e883850a3f8cdc,commons-net
NET-62,2007-09-20 05:31:10 +0000,src/changes/changes.xml|src/main/java/org/apache/commons/net/util/SubnetUtils.java|,8,9,19,2005-12-28 04:58:28 +0000,2017-03-12 14:35:49 +0000,51a731ba04c8a5555afdb235095076382f67dae6,commons-net
NET-60,2007-09-20 05:31:10 +0000,src/changes/changes.xml|src/main/java/org/apache/commons/net/ftp/FTPClientConfig.java|src/main/java/org/apache/commons/net/ftp/parser/DefaultFTPFileEntryParserFactory.java|,4,6,18,2004-05-05 05:41:17 +0000,2017-02-07 23:23:36 +0000,6697e685dd8d3bb7a41c65a013276e79910203f5,commons-net
NET-614,2018-10-05 19:40:52 +0000,src/main/java/org/apache/commons/net/imap/IMAP.java|src/main/java/org/apache/commons/net/imap/IMAPClient.java|,18,18,19,2017-02-13 16:27:16 +0000,2018-10-05 19:36:40 +0000,fb7aae4c64f7d2bf6dced00c49c3ffc428b2d572,commons-net
NET-618,2017-02-28 21:22:14 +0000,src/changes/changes.xml|src/main/java/org/apache/commons/net/ftp/parser/MVSFTPEntryParser.java|,18,19,19,2017-02-28 14:00:26 +0000,2017-02-28 21:21:02 +0000,c296d280f5c66277a7f0b6fcd0843eb7ad061858,commons-net
NET-178,2008-02-21 12:03:32 +0000,src/main/java/org/apache/commons/net/smtp/SMTP.java|,8,9,9,2007-12-21 04:07:27 +0000,2008-02-17 23:16:12 +0000,d26934447d0959f1cca83ef987f455b60675f711,commons-net
NET-610,2017-02-07 15:40:46 +0000,src/changes/changes.xml|src/main/java/org/apache/commons/net/ftp/FTPClient.java|,17,18,18,2017-02-06 10:50:50 +0000,2017-02-07 15:33:35 +0000,d5c724671fd72d49ec416e7fd086220ef7c8f4e2,commons-net
NET-67,2007-09-20 05:31:11 +0000,checkstyle-suppressions.xml|checkstyle.xml|,4,7,19,2004-11-10 21:45:57 +0000,2019-07-29 14:36:47 +0100,940ac7687587945ed95f5bfec56ca22e9bbb185b,commons-net
NET-68,2006-08-27 15:14:59 +0000,src/java/org/apache/commons/net/tftp/TFTPClient.java|,7,8,9,2004-12-28 22:37:48 +0000,2008-02-19 22:42:05 +0000,7556827f4d25275707a839ae2143a5c4afe169a3,commons-net
NET-73,2012-08-18 08:38:01 +0000,src/main/java/org/apache/commons/net/telnet/TelnetInputStream.java|,8,9,9,2006-04-21 21:15:58 +0000,2008-03-05 09:25:48 +0000,571c9eac8a1471ad1a088e71e06a1a61a95e9646,commons-net
NET-624,2017-03-10 23:34:51 +0000,src/changes/changes.xml|src/main/java/org/apache/commons/net/util/SubnetUtils.java|,9,19,19,2017-03-09 21:32:54 +0000,2017-03-11 12:55:16 +0000,3a7c1a0ec0ef23e318e465fc5cafeebf544f10be,commons-net
NET-503,2013-02-20 11:07:27 +0000,src/changes/changes.xml|src/main/java/org/apache/commons/net/smtp/AuthenticatingSMTPClient.java|src/main/java/org/apache/commons/net/smtp/SMTPSClient.java|,14,15,15,2013-02-20 10:16:38 +0000,2013-02-20 11:05:22 +0000,6efd0220ab3f3735cddeb7703f0049bd1ff26d3f,commons-net
NET-505,2013-06-06 09:04:17 +0000,src/changes/changes.xml|src/main/java/org/apache/commons/net/ftp/FTPClient.java|,14,15,15,2013-03-15 13:07:49 +0000,2013-06-06 08:53:30 +0000,e25ab319c95f4f2bf76815a9eb6df20be1cdc111,commons-net
