Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
NUTCH-1483,2014-11-04 21:12:35 +0000,CHANGES.txt|conf/nutch-default.xml|conf/regex-normalize.xml.template|src/java/org/apache/nutch/util/URLUtil.java|src/plugin/protocol-file/src/java/org/apache/nutch/protocol/file/File.java|src/plugin/urlnormalizer-regex/sample/regex-normalize-default.test|src/plugin/urlnormalizer-regex/sample/regex-normalize-default.xml|src/test/org/apache/nutch/util/TestURLUtil.java|,17,18,24,2012-10-31 16:14:21 +0000,2014-11-04 21:07:41 +0000,eec91cf69c232aaac56c20ff65299e6df10a6470,nutch
NUTCH-1004,2011-08-16 11:59:06 +0000,CHANGES.txt|src/plugin/index-basic/src/java/org/apache/nutch/indexer/basic/BasicIndexingFilter.java|,12,12,13,2011-06-07 13:26:11 +0000,2011-08-16 11:59:01 +0000,9669a558ee2a707e64e9df06a7ee9b7cda8e1083,nutch
NUTCH-1245,2013-06-20 20:56:50 +0000,CHANGES.txt|src/java/org/apache/nutch/crawl/AbstractFetchSchedule.java|,13,14,20,2012-01-05 16:22:32 +0000,2013-06-19 21:26:07 +0000,ba781d0b18eb1649b54550d70e11aff3949d22e5,nutch
NUTCH-2574,2018-06-13 08:39:31 +0000,src/java/org/apache/nutch/crawl/Generator.java|src/test/org/apache/nutch/crawl/TestGenerator.java|,29,31,31,2018-04-28 00:04:53 +0000,2018-06-13 10:33:00 +0200,24ac4a08f67dd4ffe865f21dc731e427e14f59fc,nutch
NUTCH-815,2010-04-27 18:07:56 +0000,CHANGES.txt|src/plugin/protocol-http/src/java/org/apache/nutch/protocol/http/HttpResponse.java|,7,9,9,2010-04-27 16:02:17 +0000,2010-04-27 18:06:10 +0000,ec90a33da346c244b8543068dae49f5ac3e46486,nutch
NUTCH-1468,2012-09-17 09:27:10 +0000,CHANGES.txt|,17,17,24,2012-09-09 11:35:18 +0000,2014-09-05 05:38:47 +0000,78061dfe1e46a542e43a37360a46bd744590c928,nutch
NUTCH-2322,2017-12-17 14:36:23 +0000,src/java/org/apache/nutch/crawl/CrawlDatum.java|src/java/org/apache/nutch/crawl/CrawlDbReader.java|src/java/org/apache/nutch/crawl/Generator.java|,28,29,30,2016-10-06 11:55:46 +0000,2017-12-18 16:37:25 +0100,22fc7f0defb22588c4ade33b5693303f18d96253,nutch
NUTCH-2565,2018-06-21 14:43:57 +0000,src/java/org/apache/nutch/crawl/AbstractFetchSchedule.java|src/java/org/apache/nutch/crawl/CrawlDbMerger.java|,30,31,31,2018-04-10 10:59:04 +0000,2018-06-21 16:43:08 +0200,a7c47944036b4462d9d175efe44ede503dc7baa3,nutch
NUTCH-824,2011-01-07 17:18:35 +0000,CHANGES.txt|src/plugin/build.xml|src/plugin/protocol-file/build.xml|src/plugin/protocol-file/sample/testprotocolfile.txt|src/plugin/protocol-file/sample/testprotocolfile_(encoded).txt|src/plugin/protocol-file/src/java/org/apache/nutch/protocol/file/FileResponse.java|src/plugin/protocol-file/src/test/org/apache/nutch/protocol/file/TestProtocolFile.java|,7,9,12,2010-05-20 20:26:56 +0000,2011-01-07 17:18:06 +0000,17fdc291936dac80e4957732cdf7eeb46d0d4b91,nutch
NUTCH-2321,2018-01-15 17:38:50 +0000,src/java/org/apache/nutch/util/AbstractChecker.java|,28,29,31,2016-10-06 09:34:55 +0000,2018-01-15 12:37:50 -0500,95469e8dd4820b0a40eac97a9593218d0a40c501,nutch
