Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
OLINGO-471,2015-01-22 15:25:29 +0000,ext/client-proxy/src/main/java/org/apache/olingo/ext/proxy/commons/AbstractInvocationHandler.java|,6,7,8,2014-10-28 00:56:39 +0000,2015-01-22 16:23:54 +0100,d013c7043bcdc6c32ba7364463edce8340726717,olingo-odata4
OLINGO-1207,2017-12-01 04:28:21 +0000,lib/server-tecsvc/src/main/java/org/apache/olingo/server/tecsvc/data/DataCreator.java|lib/server-tecsvc/src/main/java/org/apache/olingo/server/tecsvc/data/DataProvider.java|lib/server-tecsvc/src/main/java/org/apache/olingo/server/tecsvc/processor/TechnicalEntityProcessor.java|lib/server-tecsvc/src/main/java/org/apache/olingo/server/tecsvc/processor/TechnicalProcessor.java|lib/server-tecsvc/src/main/java/org/apache/olingo/server/tecsvc/provider/ComplexTypeProvider.java|lib/server-tecsvc/src/main/java/org/apache/olingo/server/tecsvc/provider/EntityTypeProvider.java|lib/server-tecsvc/src/main/java/org/apache/olingo/server/tecsvc/provider/PropertyProvider.java|lib/server-tecsvc/src/main/java/org/apache/olingo/server/tecsvc/provider/SchemaProvider.java|lib/server-test/src/test/java/org/apache/olingo/server/core/serializer/json/ODataJsonSerializerTest.java|samples/tutorials/p4_navigation/src/main/java/myservice/mynamespace/data/Storage.java|samples/tutorials/p4_navigation/src/main/java/myservice/mynamespace/service/DemoEdmProvider.java|samples/tutorials/p4_navigation/src/main/java/myservice/mynamespace/service/DemoEntityCollectionProcessor.java|samples/tutorials/p4_navigation/src/main/java/myservice/mynamespace/service/DemoEntityProcessor.java|,23,24,24,2017-11-29 10:31:27 +0000,2017-12-01 09:56:36 +0530,b86aa5d9777854db77d8d29663d79dd58d904c89,olingo-odata4
OLINGO-119,2014-01-15 10:40:34 +0000,lib/client-core/src/test/java/org/apache/olingo/client/core/communication/request/AsyncRequestWrapperTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/communication/request/batch/ODataBatchControllerTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/communication/request/batch/ODataBatchUtilitiesTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/communication/request/cud/ODataRequestImplTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/communication/request/invoke/ODataInvokeRequestTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/communication/request/retrieve/RetrieveRequestTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/communication/response/batch/ODataBatchResponseTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/data/ServiceDocumentTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/domain/ClientObjectImplTest.java|lib/client-core/src/test/resources/org/apache/olingo/client/core/communication/request/batch/batchResponse.batch|lib/client-core/src/test/resources/org/apache/olingo/client/core/communication/response/batch/batchResponse.batch|lib/server-api/src/test/java/org/apache/olingo/server/api/ODataResponseTest.java|lib/server-core-ext/src/test/java/org/apache/olingo/server/core/ErrorHandlerTest.java|lib/server-core-ext/src/test/java/org/apache/olingo/server/core/RequestUrlHierarchyVisitorTest.java|,3,3,26,2014-01-15 06:37:17 +0000,2018-11-19 14:35:19 +0530,c37d40f154d1147a11a97a85c00326adc30e7e92,olingo-odata4
OLINGO-1201,2017-12-14 05:55:27 +0000,lib/server-api/src/main/java/org/apache/olingo/netty/server/api/ODataNetty.java|lib/server-api/src/main/java/org/apache/olingo/netty/server/api/ODataNettyHandler.java|lib/server-core/src/main/java/org/apache/olingo/netty/server/core/ODataNettyHandlerImpl.java|lib/server-core/src/main/java/org/apache/olingo/netty/server/core/ODataNettyImpl.java|lib/server-core/src/test/java/org/apache/olingo/netty/server/core/ODataNettyHandlerImplTest.java|lib/server-core/src/test/java/org/apache/olingo/netty/server/core/ODataNettyImplTest.java|lib/server-test/src/test/java/org/apache/olingo/netty/server/core/ODataNettyHandlerImplTest.java|,23,24,24,2017-11-08 05:38:50 +0000,2017-11-14 09:40:23 +0530,03ab69c498d08b09fda466ed46ee2e1c20e96253,olingo-odata4
OLINGO-34,2013-10-17 14:01:07 +0000,dist/android-lib/pom.xml|dist/client-lib/pom.xml|dist/javadoc/pom.xml|dist/pom.xml|dist/server-lib/pom.xml|ext/client-android/pom.xml|ext/client-proxy/pom.xml|ext/pojogen-maven-plugin/pom.xml|ext/pom.xml|fit/pom.xml|lib/client-api/pom.xml|lib/client-core/pom.xml|lib/commons-api/pom.xml|lib/commons-core/pom.xml|lib/pom.xml|lib/server-api/pom.xml|lib/server-core/pom.xml|lib/server-tecsvc/pom.xml|lib/server-test/pom.xml|pom.xml|samples/client/pom.xml|,2,2,7,2013-10-11 13:26:31 +0000,2014-09-23 09:44:29 +0200,0dbd53d8dc302dbbda1c8d3c12394d8a67e14fbe,olingo-odata4
OLINGO-33,2013-10-17 15:32:29 +0000,fit/src/test/java/org/apache/olingo/fit/tecsvc/http/BasicHttpITCase.java|lib/commons-api/src/main/java/org/apache/olingo/commons/api/format/AcceptType.java|lib/commons-api/src/main/java/org/apache/olingo/commons/api/format/ContentType.java|lib/commons-api/src/main/java/org/apache/olingo/commons/api/format/ODataFormat.java|lib/commons-api/src/main/java/org/apache/olingo/commons/api/format/TypeUtil.java|lib/commons-api/src/test/java/org/apache/olingo/commons/api/format/AcceptTypeTest.java|lib/commons-api/src/test/java/org/apache/olingo/commons/api/format/ContentTypeTest.java|lib/server-api/src/main/java/org/apache/olingo/server/api/ODataRequest.java|lib/server-api/src/test/java/org/apache/olingo/server/api/ODataRequestTest.java|lib/server-core/src/main/java/org/apache/olingo/server/core/ContentNegotiator.java|lib/server-core/src/main/java/org/apache/olingo/server/core/ODataHandler.java|lib/server-core/src/test/java/org/apache/olingo/server/core/ContentNegotiatorTest.java|,2,2,5,2013-10-11 13:08:21 +0000,2014-07-09 14:51:03 +0200,ba5143339567c59c52380b02117a531c697b6a72,olingo-odata4
OLINGO-40,2013-10-23 07:52:56 +0000,fit/src/test/java/org/apache/olingo/fit/v4/AbstractTestITCase.java|fit/src/test/java/org/apache/olingo/fit/v4/EntityCreateTestITCase.java|lib/commons-core/src/main/java/org/apache/olingo/commons/core/serialization/JsonEntitySerializer.java|lib/commons-core/src/main/java/org/apache/olingo/commons/core/serialization/JsonSerializer.java|,2,3,6,2013-10-21 12:25:18 +0000,2014-09-03 07:41:34 +0200,f3289fb1036c979fef9d7fa7a879bef786a22bf3,olingo-odata4
OLINGO-102,2014-01-12 17:43:03 +0000,lib/server-core/src/main/java/org/apache/olingo/server/core/uri/parser/ExpressionParser.java|lib/server-core/src/main/java/org/apache/olingo/server/core/uri/parser/UriParserSemanticException.java|lib/server-core/src/main/java/org/apache/olingo/server/core/uri/queryoption/expression/MemberImpl.java|lib/server-core/src/main/resources/server-core-exceptions-i18n.properties|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/parser/ExpandParserTest.java|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/parser/ExpressionParserTest.java|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/parser/ResourcePathParserTest.java|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/parser/SearchParserTest.java|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/parser/SelectParserTest.java|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/parser/TestFullResourcePath.java|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/parser/TestUriParserImpl.java|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/parser/UriParserTest.java|lib/server-test/src/test/java/org/apache/olingo/server/core/uri/testutil/ResourceValidator.java|,2,3,21,2013-12-31 12:09:24 +0000,2016-09-29 16:31:24 +0200,72fcaa1a54a3607ee2b94f66414677ab6f9c8e92,olingo-odata4
OLINGO-1107,2017-04-17 22:24:20 +0000,fit/src/main/java/org/apache/olingo/fit/rest/ResolvingReferencesInterceptor.java|lib/client-core/src/main/java/org/apache/olingo/client/core/uri/URIBuilderImpl.java|lib/client-core/src/main/java/org/apache/olingo/client/core/uri/URIUtils.java|lib/client-core/src/test/java/org/apache/olingo/client/core/uri/FilterFactoryTest.java|lib/client-core/src/test/java/org/apache/olingo/client/core/uri/URIEscapeTest.java|,20,22,22,2017-04-12 13:09:58 +0000,2017-04-17 17:22:50 -0500,0cf76f51c50a0f9eda0ceb044e37efcf09752872,olingo-odata4
OLINGO-1104,2017-04-13 14:39:03 +0000,lib/server-core/src/main/java/org/apache/olingo/server/core/serializer/json/ODataJsonSerializer.java|lib/server-test/src/test/java/org/apache/olingo/server/core/serializer/json/ODataJsonSerializerTest.java|,20,22,22,2017-04-11 07:59:56 +0000,2017-04-13 09:35:21 -0500,3a8cbcc337577a1cf56cf77383d62edcf2fea857,olingo-odata4
