Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
OPENEJB-445,2007-01-17 19:06:17 +0000,openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/Adapter.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/AdapterEntity.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/AdapterStateful.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/AdapterStateless.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/CORBABean.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/TSSBean.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/TSSLink.java|openejb2/modules/openejb-yoko/src/main/java/org/apache/openejb/yoko/ORBConfigAdapter.java|,2,3,3,2007-01-17 18:49:54 +0000,2007-01-17 18:51:30 +0000,a029f39c29fe20e0dd3cbc56e1138190e4ee6606,openejb
OPENEJB-443,2007-01-15 11:48:29 +0000,openejb2/modules/openejb-yoko/src/main/java/org/apache/openejb/yoko/ORBConfigAdapter.java|openejb2/modules/openejb-yoko/src/main/java/org/apache/openejb/yoko/RMIStubHandler.java|openejb2/modules/openejb-yoko/src/main/java/org/apache/openejb/yoko/RMIStubHandlerFactory.java|,2,3,3,2007-01-15 11:47:11 +0000,2007-01-15 11:47:19 +0000,54071a161e1e77082e72c047b46f8916ade43ac6,openejb
OPENEJB-5,2008-01-24 19:56:33 +0000,openejb3/container/openejb-core/src/main/java/org/apache/openejb/config/rules/CheckCallbacks.java|openejb3/container/openejb-core/src/main/resources/org/apache/openejb/config/rules/Messages.properties|openejb3/container/openejb-core/src/test/java/org/apache/openejb/config/rules/CheckInvalidCallbacksTest.java|,1,1,11,2004-05-24 14:42:13 +0000,2010-07-28 02:58:12 +0000,f946f64bd91a95ea1c22336ab562422a0926e776,openejb
OPENEJB-1091,2011-06-29 12:32:07 +0000,openejb3/container/openejb-core/src/main/java/org/apache/openejb/core/managed/ManagedContainer.java|openejb3/container/openejb-core/src/main/java/org/apache/openejb/core/stateful/StatefulContainer.java|openejb3/container/openejb-core/src/main/java/org/apache/openejb/core/transaction/EjbTransactionUtil.java|openejb3/container/openejb-core/src/main/java/org/apache/openejb/core/transaction/JtaTransactionPolicy.java|openejb3/container/openejb-core/src/main/java/org/apache/openejb/core/transaction/TransactionPolicy.java|openejb3/container/openejb-core/src/test/java/org/apache/openejb/transaction/TransactionRollbackCauseTest.java|openejb3/container/openejb-spring/src/main/java/org/apache/openejb/spring/SpringTransactionPolicy.java|openejb3/pom.xml|,5,11,13,2009-10-20 11:45:54 +0000,2011-04-29 21:50:05 +0000,2fda650cf58eaa6d705a73760f3bb3034c1a0222,openejb
OPENEJB-693,2007-11-28 00:17:54 +0000,openejb3/server/openejb-server/src/main/java/org/apache/openejb/server/ServiceDaemon.java|,4,4,5,2007-09-27 07:06:07 +0000,2007-11-28 00:16:39 +0000,dca77fd87238e1097ed9bae23e7cad302f75689f,openejb
OPENEJB-695,2007-12-29 00:27:28 +0000,openejb3/assembly/openejb-standalone/src/main/resources/openejb|,4,4,5,2007-09-27 20:50:13 +0000,2007-12-29 00:26:06 +0000,4242bafecd8094de18ef6d77064108cca944f435,openejb
OPENEJB-459,2007-01-25 11:49:46 +0000,openejb2/modules/openejb-yoko/src/main/java/org/apache/openejb/yoko/SocketFactory.java|,2,3,3,2007-01-25 11:46:08 +0000,2007-01-25 11:46:49 +0000,ca052be2881dda32aace1c68251409a958a9a754,openejb
OPENEJB-456,2007-01-24 12:33:48 +0000,openejb2/modules/openejb-yoko/src/main/java/org/apache/openejb/yoko/SocketFactory.java|,2,3,3,2007-01-24 12:22:44 +0000,2007-01-24 12:32:37 +0000,d59adebaf071ce22b0dc7b3c867b6314d50a45c3,openejb
OPENEJB-469,2007-02-04 21:52:45 +0000,openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/security/config/css/CSSGSSUPMechConfigDynamic.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/security/config/css/CSSGSSUPMechConfigStatic.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/security/config/css/CSSSASITTPrincipalNameDynamic.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/security/config/css/CSSSASITTPrincipalNameStatic.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/security/config/tss/TSSGSSUPMechConfig.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/security/config/tss/TSSITTPrincipalNameGSSUP.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/security/jgss/GSSUPContext.java|openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/util/Util.java|openejb2/modules/openejb-corba/src/test/java/org/apache/openejb/corba/util/NameDescopingTest.java|,2,3,3,2007-02-04 17:41:50 +0000,2007-02-04 21:47:55 +0000,39f3e2e7bc8ca743bdff61ec3c6c575eae55cc7d,openejb
OPENEJB-465,2007-03-21 19:01:37 +0000,openejb2/modules/openejb-corba/src/main/java/org/apache/openejb/corba/transaction/ClientTransactionInterceptor.java|,2,3,3,2007-02-01 22:36:52 +0000,2007-02-01 23:06:06 +0000,9999374f1ce28be9c3d6e783574f91c599822d93,openejb
