Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
OPENMEETINGS-1963,2018-11-19 03:49:13 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_in.properties.xml|openmeetings-web/src/main/webapp/languages/languages.xml|,30,31,31,2018-11-14 09:03:38 +0000,2018-11-14 18:37:57 +0700,f54ca7d25d731da2d62e7ae4c4941696c61e6543,openmeetings
OPENMEETINGS-1964,2018-11-15 02:28:26 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ar.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_bg.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_bn.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ca.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_cs.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_da.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_de.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_el.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_es.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_fa.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_fi.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_fr.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_gl.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_he.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_hu.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_in.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_it.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ja.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ko.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_nl.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_pl.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_pt.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_pt_BR.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ru.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_sk.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_sv.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_th.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_tr.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_uk.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_zh_CN.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_zh_TW.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/menu/ActionsSubMenu.java|openmeetings-web/src/test/java/org/apache/openmeetings/web/pages/install/TestInstall.java|,30,31,31,2018-11-15 02:24:59 +0000,2018-11-15 09:27:42 +0700,070b3e4a1c457844ab6b1bf98cec1d11e6730f05,openmeetings
OPENMEETINGS-1718,2017-10-09 02:39:28 +0000,openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/room/RoomDao.java|openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/rooms/RoomForm.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/user/calendar/AppointmentDialog.java|,23,24,24,2017-10-09 02:24:37 +0000,2017-10-09 10:43:17 +0700,67686134ba453294725ac2f8e4f698cd62ccf07e,openmeetings
OPENMEETINGS-1719,2017-10-11 02:28:27 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.html|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/activities/ActivitiesPanel.html|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/activities/ActivitiesPanel.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/room.js|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/RoomClientPanel.html|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/RoomClientPanel.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/wb/WbPanel.html|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/wb/tool-apointer.js|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/wb/wb-board.js|openmeetings-web/src/main/java/org/apache/openmeetings/web/user/chat/Chat.html|openmeetings-web/src/main/java/org/apache/openmeetings/web/user/chat/chat.js|openmeetings-web/src/main/webapp/css/general-rtl.css|openmeetings-web/src/main/webapp/css/general.css|openmeetings-web/src/main/webapp/css/room.css|,23,24,24,2017-10-09 08:21:17 +0000,2017-10-10 12:01:14 +0700,687415930cc6c81dbda3deef848f19b67168f7c1,openmeetings
OPENMEETINGS-1957,2018-10-18 11:56:49 +0000,openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/user/IUserManager.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/UserManager.java|openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/RoomWebService.java|openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/UserWebService.java|,29,31,31,2018-10-14 12:15:56 +0000,2018-10-18 18:55:20 +0700,cc63ec8a8ff2b44acd21e9b999a16eb37eba1ab2,openmeetings
OPENMEETINGS-1717,2017-10-09 06:54:35 +0000,openmeetings-install/src/main/java/org/apache/openmeetings/installation/ImportInitvalues.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInDialog.html|openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInDialog.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.java|openmeetings-web/src/main/webapp/css/general.css|,23,24,24,2017-10-06 10:08:05 +0000,2017-10-19 18:16:23 +0700,9bb9c36507af5fe122aef5ea27507d2a1cee8a51,openmeetings
OPENMEETINGS-1949,2018-10-08 05:02:16 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/user/chat/Chat.java|,26,30,30,2018-10-07 15:54:42 +0000,2018-10-08 11:59:38 +0700,5ad8b05ef33722429f6adfa2c0068dead2923bd5,openmeetings
OPENMEETINGS-1703,2017-09-15 06:40:21 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/HashPage.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/user/rooms/RoomListPanel.java|,19,23,23,2017-09-15 06:39:02 +0000,2017-09-20 21:19:46 +0700,3e27864e1f9d5637f80a7cce868392379db43fdb,openmeetings
OPENMEETINGS-1705,2017-09-15 17:48:40 +0000,openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/calendar/AppointmentDao.java|openmeetings-web/src/test/java/org/apache/openmeetings/test/webservice/TestCalendarService.java|,22,23,23,2017-09-15 10:51:16 +0000,2017-09-16 00:47:56 +0700,b7e34958537abf571a06a88c116ea9afd95b25b1,openmeetings
OPENMEETINGS-1700,2017-09-12 16:45:08 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/common/MainPanel.java|,22,23,23,2017-09-11 11:33:49 +0000,2017-09-11 18:34:50 +0700,3e315721163a9f28567593a27debe5883eefd93e,openmeetings
OPENMEETINGS-1943,2018-10-01 08:50:35 +0000,openmeetings-server/src/main/assembly/conf/server.xml|,29,30,30,2018-10-01 08:49:09 +0000,2018-10-01 16:06:07 +0700,5b2a8889c8687f98bd2e953e15a23a19d425d3e4,openmeetings
OPENMEETINGS-1938,2018-09-29 12:45:18 +0000,openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/user/GroupDao.java|openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/user/UserContactDao.java|openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java|,29,30,30,2018-09-23 09:28:30 +0000,2018-09-29 19:44:26 +0700,484ffbb9abf302c529611ae395589ebb1d51097e,openmeetings
OPENMEETINGS-1927,2018-09-05 06:21:17 +0000,openmeetings-db/src/main/java/org/apache/openmeetings/db/entity/room/RoomFile.java|,29,30,30,2018-09-05 01:14:28 +0000,2018-09-05 13:20:56 +0700,2a40233b0b79e1356ba58c6ca9a1ff7cfb15bfcf,openmeetings
OPENMEETINGS-1925,2018-09-03 14:12:21 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/configurations/ConfigForm.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/configurations/ConfigsPanel.html|,29,29,30,2018-08-31 03:52:23 +0000,2018-09-03 21:11:37 +0700,97d664d197a0057d5c7c8883f7cad0ecb5c5dfe4,openmeetings
OPENMEETINGS-1919,2018-08-08 04:38:31 +0000,openmeetings-web/src/main/webapp/css/raw-tree.css|,28,29,29,2018-08-08 04:34:04 +0000,2018-08-11 11:16:51 +0700,791af4ee0c9b7008f6ac6d80784994d115cf6452,openmeetings
OPENMEETINGS-1914,2018-08-01 06:47:50 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_cs.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_id.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ko.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_pt.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_th.properties.xml|openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_zh_TW.properties.xml|,28,29,29,2018-07-30 03:07:14 +0000,2018-08-01 13:46:36 +0700,581f8ddfdbe22697e2b4dbbe930203a14a074cc5,openmeetings
OPENMEETINGS-1911,2018-07-27 04:10:40 +0000,openmeetings-db/src/main/java/org/apache/openmeetings/db/util/LocaleHelper.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/HashPage.java|,28,29,29,2018-07-27 04:08:38 +0000,2018-07-27 11:10:17 +0700,1d5b11c1e96d6e20191a5226dac6ad53aea9cdc4,openmeetings
OPENMEETINGS-1905,2018-07-17 16:01:13 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/room/wb/wb-area.js|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/wb/wb-board.js|,28,29,29,2018-07-17 15:38:56 +0000,2018-07-17 22:50:37 +0700,ad0b633928b6eff402b608c8d755ec38cbd79081,openmeetings
OPENMEETINGS-1906,2018-07-17 17:42:00 +0000,openmeetings-install/src/main/java/org/apache/openmeetings/cli/ConnectionPropertiesPatcher.java|,28,29,29,2018-07-17 17:10:06 +0000,2018-07-18 00:11:05 +0700,84e497d45d63f630dd48a72c259c6ce6ac1648ed,openmeetings
OPENMEETINGS-1908,2018-07-26 06:41:55 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/room/wb/raw-wb-area.js|,28,29,29,2018-07-26 06:15:44 +0000,2018-08-07 13:08:15 +0700,81b633a1446d3c7c804374e60f3fb5707c3c6a5f,openmeetings
OPENMEETINGS-1900,2018-07-16 09:54:58 +0000,openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/MainPage.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/room/sidebar/RoomClientPanel.java|,28,29,29,2018-06-20 09:26:51 +0000,2018-07-16 16:54:43 +0700,b60ada388a5e39c79b596683eb17e4c3e3af2c5b,openmeetings
OPENMEETINGS-1295,2016-01-08 13:33:53 +0000,openmeetings-core/src/main/java/org/apache/openmeetings/core/converter/GenerateImage.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/common/ProfileImagePanel.java|openmeetings-web/src/main/java/org/apache/openmeetings/web/common/UploadableProfileImagePanel.java|,12,13,13,2015-12-11 11:18:44 +0000,2016-01-21 06:55:32 +0000,3cfc22a8e684b3a6a86969147879599bfd35d8c9,openmeetings
