Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
OWB-1083,2015-06-12 16:49:06 +0000,webbeans-web/src/main/java/org/apache/webbeans/web/context/WebContextsService.java|,27,28,28,2015-06-12 03:25:50 +0000,2015-06-12 16:06:05 +0000,f2bfd3c63f769404109888d30d47f8d88cab7bbf,openwebbeans
OWB-1082,2015-06-10 17:41:41 +0000,webbeans-impl/src/main/java/org/apache/webbeans/lifecycle/AbstractLifeCycle.java|,27,28,28,2015-06-09 09:07:41 +0000,2015-06-10 17:41:30 +0000,534dc01cd50f7066c0e27987dd77616403544f16,openwebbeans
OWB-914,2013-11-13 23:10:17 +0000,webbeans-impl/src/main/java/org/apache/webbeans/component/NewManagedBean.java|,18,19,19,2013-11-13 23:06:39 +0000,2013-11-13 23:09:18 +0000,f6d40c8a52f959990ed973b8f1384107d52bf046,openwebbeans
OWB-916,2014-04-30 13:06:16 +0000,webbeans-impl/src/main/java/org/apache/webbeans/xml/WebBeansXMLConfigurator.java|webbeans-impl/src/test/java/org/apache/webbeans/newtests/decorators/tests/DecoratorConfigurationTest.java|webbeans-impl/src/test/resources/org/apache/webbeans/newtests/decorators/tests/DecoratorAndInterceptorStack.xml|webbeans-impl/src/test/resources/org/apache/webbeans/newtests/decorators/tests/SameDecorator_broken.xml|webbeans-impl/src/test/resources/org/apache/webbeans/newtests/decorators/tests/SimpleDecorator_1.xml|webbeans-impl/src/test/resources/org/apache/webbeans/newtests/decorators/tests/SimpleDecorator_2.xml|,18,19,19,2013-11-25 12:13:27 +0000,2013-11-25 13:35:25 +0000,1eaba88a51696a047133e53a91db4d1b2cd7705b,openwebbeans
OWB-917,2013-12-18 18:22:11 +0000,webbeans-impl/src/main/java/org/apache/webbeans/component/creation/BeanAttributesBuilder.java|webbeans-impl/src/test/java/org/apache/webbeans/newtests/specalization/multiple/MultipleSpecializationTest.java|,17,19,19,2013-11-28 12:13:49 +0000,2013-12-18 18:20:42 +0000,d1d1598d32915373db69ccf2704a0541df524831,openwebbeans
OWB-919,2013-12-13 19:36:10 +0000,webbeans-impl/src/main/resources/openwebbeans/Messages.properties|,18,19,19,2013-12-13 18:48:31 +0000,2013-12-13 19:33:54 +0000,836161c058f9fcfd69ae20363869d3e202f11fb1,openwebbeans
OWB-910,2015-04-12 18:59:52 +0000,webbeans-web/src/main/java/org/apache/webbeans/servlet/WebBeansConfigurationListener.java|,17,18,18,2013-10-30 08:25:15 +0000,2013-11-04 11:33:59 +0000,b2c4e320fbc624410e45170eb61f611b5160c071,openwebbeans
OWB-1071,2015-05-15 07:38:39 +0000,webbeans-web/src/it/webcdiapp/pom.xml|webbeans-web/src/it/webcdiapp/src/main/resources/META-INF/beans.xml|,25,27,27,2015-05-09 12:17:56 +0000,2015-05-12 07:59:05 +0000,ff19dad76cadb5165726b2bb3fb0707c46a33e2d,openwebbeans
OWB-904,2013-10-11 20:30:58 +0000,webbeans-impl/src/main/java/org/apache/webbeans/proxy/InterceptorDecoratorProxyFactory.java|,17,18,18,2013-10-11 09:07:42 +0000,2013-10-11 09:45:54 +0000,1fe14e00eef09489dd05dbfc8f15bc25752666b6,openwebbeans
OWB-909,2013-10-26 20:24:16 +0000,webbeans-impl/src/main/java/org/apache/webbeans/component/ConversationBean.java|,17,18,18,2013-10-26 20:19:43 +0000,2013-10-26 20:23:48 +0000,ddaca24b8faa16b23d46689a72369965891b7d7f,openwebbeans
OWB-908,2013-10-25 16:14:11 +0000,webbeans-impl/src/main/java/org/apache/webbeans/proxy/InterceptorDecoratorProxyFactory.java|webbeans-impl/src/main/java/org/apache/webbeans/proxy/NormalScopeProxyFactory.java|webbeans-impl/src/test/java/org/apache/webbeans/newtests/decorators/tests/AbstractDecoratorTest.java|webbeans-impl/src/test/java/org/apache/webbeans/newtests/interceptors/factory/beans/ClassInterceptedClass.java|webbeans-impl/src/test/java/org/apache/webbeans/newtests/interceptors/resolution/InterceptorResolutionServiceTest.java|webbeans-impl/src/test/java/org/apache/webbeans/newtests/proxy/beans/ApplicationBean.java|webbeans-impl/src/test/java/org/apache/webbeans/newtests/proxy/beans/DummyBean.java|webbeans-web/pom.xml|,17,18,18,2013-10-25 15:40:15 +0000,2013-10-25 16:13:55 +0000,6e4651d70c5c1e4f11f44d8913147b04c6ab5d12,openwebbeans
OWB-1077,2015-05-30 20:13:35 +0000,distribution/src/main/install_scripts/install_owb_tomcat7_myfaces.sh|,25,27,27,2015-05-28 07:30:48 +0000,2015-05-30 19:32:00 +0000,4d5e83faac822cb670e16b1ffc88e24318ac8c39,openwebbeans
OWB-1076,2015-05-27 15:13:37 +0000,distribution/src/assembly/dist-binary.xml|,25,27,27,2015-05-26 20:48:54 +0000,2015-05-27 08:45:19 +0000,af51b757c5e1713049c6fd8c62ffd617120fb796,openwebbeans
OWB-1183,2017-05-27 16:12:49 +0000,webbeans-arquillian/owb-arquillian-standalone/src/main/java/org/apache/webbeans/arquillian/standalone/OwbArquillianScannerService.java|webbeans-arquillian/owb-arquillian-standalone/src/test/java/org/apache/webbeans/arquillian/test/OwbArquillianImplicitBdaJarDeploymentTest.java|webbeans-arquillian/owb-arquillian-standalone/src/test/java/org/apache/webbeans/arquillian/test/beans/NonCdiBean.java|,34,35,35,2017-05-27 16:09:25 +0000,2017-05-27 16:11:48 +0000,b0f8a3c7f26921acc0c950be0b5fc55c9fd670fa,openwebbeans
OWB-1062,2015-04-28 14:29:59 +0000,webbeans-web/src/main/java/org/apache/webbeans/web/lifecycle/WebContainerLifecycle.java|,25,27,27,2015-04-28 10:28:11 +0000,2015-04-28 14:25:40 +0000,8ef06b968f4dcd79b8810685795011ee0a5f6436,openwebbeans
OWB-1061,2015-05-25 22:28:26 +0000,webbeans-impl/src/main/java/org/apache/webbeans/context/ApplicationContext.java|webbeans-impl/src/main/java/org/apache/webbeans/corespi/se/DefaultContextsService.java|webbeans-web/src/main/java/org/apache/webbeans/web/context/WebContextsService.java|,25,27,27,2015-04-27 17:57:00 +0000,2015-05-25 22:28:16 +0000,775e3c5ba095e32d8cf507124250ea1a8cc00176,openwebbeans
OWB-938,2014-11-18 09:16:21 +0000,webbeans-impl/src/main/java/org/apache/webbeans/config/BeansDeployer.java|,19,20,20,2014-03-07 18:19:32 +0000,2014-03-07 18:47:03 +0000,b0b1c02cf08066e15a7ff40c6fbb568396708055,openwebbeans
