Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
PDFBOX-904,2015-02-05 21:02:52 +0000,pdfbox/src/test/java/org/apache/pdfbox/cos/TestCOSString.java|,11,11,24,2010-11-25 14:05:42 +0000,2014-11-23 18:10:15 +0000,e4c994279192c0c81c0eb8be73a840bf124a43f7,pdfbox
PDFBOX-907,2010-12-02 19:44:50 +0000,pdfbox/src/main/java/org/apache/pdfbox/cos/COSName.java|pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/PDEncryptionDictionary.java|pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/SecurityHandler.java|pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/StandardSecurityHandler.java|,10,11,11,2010-11-26 13:26:58 +0000,2010-12-02 19:41:13 +0000,d41cbf92b2b6c994405628920470744bdb8e9661,pdfbox
PDFBOX-908,2016-01-29 10:55:32 +0000,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/NonSequentialPDFParser.java|,10,11,22,2010-11-26 15:20:40 +0000,2014-06-09 13:38:27 +0000,b288eea75a7f3845c6aa89a859b9719beae0eb1b,pdfbox
PDFBOX-902,2010-11-23 17:51:57 +0000,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotation.java|pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationMarkup.java|,10,11,11,2010-11-23 06:07:09 +0000,2010-11-23 17:50:20 +0000,fb9ab33a4943741ad165de2036128946d17e58b2,pdfbox
PDFBOX-900,2010-11-23 17:38:03 +0000,pdfbox/src/test/java/org/apache/pdfbox/pdmodel/TestPDDocumentCatalog.java|,10,11,11,2010-11-23 05:46:39 +0000,2010-11-23 22:09:23 +0000,da0f08da7d8e9458ed10fe06372c8b15eb5e13a0,pdfbox
PDFBOX-3742,2017-04-02 09:53:29 +0000,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/PDFStreamParser.java|,32,35,35,2017-04-02 02:50:16 +0000,2017-04-02 09:41:29 +0000,6e85770f18370a89b822d98e0cfe7979ff78e0ee,pdfbox
PDFBOX-2411,2014-10-20 18:11:03 +0000,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/NonSequentialPDFParser.java|,23,24,24,2014-10-08 12:24:51 +0000,2014-10-20 18:05:17 +0000,7945016ba07d2b6cb73a66f83d86f068b8c0bb42,pdfbox
PDFBOX-3743,2017-04-04 15:38:27 +0000,examples/src/main/java/org/apache/pdfbox/examples/signature/CreateVisibleSignature.java|pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/SignatureOptions.java|,34,35,35,2017-04-03 07:37:40 +0000,2017-04-04 15:37:22 +0000,a46a88dbd3189de0892019c0007150c9e5c93169,pdfbox
PDFBOX-2412,2014-11-02 13:43:21 +0000,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/fdf/FDFDictionary.java|,23,24,24,2014-10-08 13:42:49 +0000,2014-11-02 13:36:43 +0000,322b064e2942f157316da0a4e110e5beb6999795,pdfbox
PDFBOX-3740,2017-04-06 08:07:54 +0000,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java|pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1CFont.java|pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1Font.java|,34,35,35,2017-04-01 12:34:24 +0000,2017-04-02 15:49:23 +0000,4962b1f023c2bc7f2ce3ade7a016208ab5678250,pdfbox
