Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
PIG-797,2009-06-19 18:04:28 +0000,CHANGES.txt|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/MRCompiler.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/PhysicalOperator.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POPackage.java|test/org/apache/pig/test/TestEvalPipeline2.java|,3,4,4,2009-05-01 20:12:34 +0000,2009-06-19 18:02:44 +0000,0109f8c4cb63fc296b8f9fbe40cd9e9537f76647,pig
PIG-2901,2012-09-10 04:39:12 +0000,CHANGES.txt|src/docs/src/documentation/content/xdocs/basic.xml|,14,15,15,2012-09-01 13:20:29 +0000,2012-09-10 04:37:27 +0000,bcabe18e922beacfeab38aed5f74d280f41292f5,pig
PIG-2931,2012-10-19 00:06:18 +0000,CHANGES.txt|src/org/apache/pig/tools/parameters/PreprocessorContext.java|test/org/apache/pig/test/TestParamSubPreproc.java|,14,15,15,2012-09-25 05:40:11 +0000,2012-10-18 23:59:51 +0000,aab53ae9b787365e8e3efaced2bc45256f40ca5a,pig
PIG-2929,2012-09-27 18:10:16 +0000,CHANGES.txt|src/docs/src/documentation/content/xdocs/func.xml|,11,15,15,2012-09-24 14:38:06 +0000,2012-09-27 18:08:38 +0000,f3841bf5fcd77d6bd3425953fadebdfba94395f1,pig
PIG-330,2008-07-23 00:56:53 +0000,CHANGES.txt|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/MergeJoinIndexer.java|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigCombiner.java|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigGenericMapBase.java|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigGenericMapReduce.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/PhysicalOperator.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/Add.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/BinaryComparisonOperator.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/ComparisonOperator.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/ConstantExpression.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/Divide.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/EqualToExpr.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/ExpressionOperator.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/GTOrEqualToExpr.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/GreaterThanExpr.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/LTOrEqualToExpr.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/LessThanExpr.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/Mod.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/Multiply.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/NotEqualToExpr.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POAnd.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POBinCond.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POCast.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POIsNull.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POMapLookUp.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/PONegative.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/PONot.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POOr.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POProject.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/PORegexp.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/PORelationToExprProject.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POUserComparisonFunc.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POUserFunc.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/Subtract.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POCollectedGroup.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POCombinerPackage.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POCounter.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POCross.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/PODemux.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/PODistinct.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POFRJoin.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POFilter.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POForEach.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POGlobalRearrange.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POJoinPackage.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POLimit.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POLoad.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POLocalRearrange.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POMergeCogroup.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POMergeJoin.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POMultiQueryPackage.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POOptimizedForEach.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POPackage.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POPackageLite.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POPartialAgg.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POPartitionRearrange.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POPreCombinerLocalRearrange.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/PORank.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POSort.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POSortedDistinct.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POSplit.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POStore.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POStream.java|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POUnion.java|src/org/apache/pig/impl/builtin/DefaultIndexableLoader.java|test/org/apache/pig/test/PORead.java|test/org/apache/pig/test/TestAdd.java|test/org/apache/pig/test/TestBoolean.java|test/org/apache/pig/test/TestCharArrayToNumeric.java|test/org/apache/pig/test/TestConstExpr.java|test/org/apache/pig/test/TestDivide.java|test/org/apache/pig/test/TestEqualTo.java|test/org/apache/pig/test/TestFRJoin.java|test/org/apache/pig/test/TestFilter.java|test/org/apache/pig/test/TestForEach.java|test/org/apache/pig/test/TestGTOrEqual.java|test/org/apache/pig/test/TestGreaterThan.java|test/org/apache/pig/test/TestLTOrEqual.java|test/org/apache/pig/test/TestLessThan.java|test/org/apache/pig/test/TestLoad.java|test/org/apache/pig/test/TestLocalRearrange.java|test/org/apache/pig/test/TestMod.java|test/org/apache/pig/test/TestMultiply.java|test/org/apache/pig/test/TestNotEqualTo.java|test/org/apache/pig/test/TestNull.java|test/org/apache/pig/test/TestPOBinCond.java|test/org/apache/pig/test/TestPOCast.java|test/org/apache/pig/test/TestPODistinct.java|test/org/apache/pig/test/TestPOGenerate.java|test/org/apache/pig/test/TestPOMapLookUp.java|test/org/apache/pig/test/TestPONegative.java|test/org/apache/pig/test/TestPOPartialAgg.java|test/org/apache/pig/test/TestPOSort.java|test/org/apache/pig/test/TestPOSplit.java|test/org/apache/pig/test/TestPOUserFunc.java|test/org/apache/pig/test/TestPackage.java|test/org/apache/pig/test/TestProject.java|test/org/apache/pig/test/TestRegexp.java|test/org/apache/pig/test/TestSubtract.java|test/org/apache/pig/test/TestUnion.java|test/org/apache/pig/test/utils/POCastDummy.java|test/org/apache/pig/test/utils/TestHelper.java|,1,2,18,2008-07-22 18:34:31 +0000,2013-05-18 01:10:18 +0000,a760df0b20425eef2820b2526baa617c81358ce4,pig
PIG-2924,2012-11-19 19:54:52 +0000,CHANGES.txt|conf/pig.properties|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/FileBasedOutputSizeReader.java|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigStatsOutputSizeReader.java|src/org/apache/pig/tools/pigstats/JobStats.java|test/org/apache/pig/test/TestJobStats.java|,13,15,15,2012-09-19 14:37:31 +0000,2012-11-19 19:53:50 +0000,ca1ec37169a96f89b50265ddac5badb96128aedf,pig
PIG-4299,2014-11-07 23:28:45 +0000,CHANGES.txt|src/org/apache/pig/impl/util/SpillableMemoryManager.java|,20,21,21,2014-11-05 23:47:46 +0000,2014-11-07 23:28:20 +0000,34d7f472f7826ed81f4fe8ab8c83a095b09322c2,pig
PIG-761,2009-12-25 00:20:35 +0000,CHANGES.txt|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/MRCompiler.java|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/MapReduceOper.java|src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/plans/POPackageAnnotator.java|test/org/apache/pig/test/TestEvalPipeline2.java|,3,4,7,2009-04-09 00:53:49 +0000,2009-12-25 00:16:08 +0000,6e74ce71d22b5ec4547e72ee914ab41fe5ead29b,pig
PIG-775,2009-04-24 16:54:10 +0000,CHANGES.txt|src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/PORelationToExprProject.java|src/org/apache/pig/data/DefaultAbstractBag.java|src/org/apache/pig/data/NonSpillableDataBag.java|test/org/apache/pig/test/TestDataBag.java|,3,4,4,2009-04-23 19:29:58 +0000,2009-04-24 16:53:33 +0000,f6a6633e995c6d263aa4519d13d4f0dbe0ae939f,pig
PIG-773,2009-07-24 01:00:11 +0000,CHANGES.txt|src/org/apache/pig/data/DataType.java|src/org/apache/pig/impl/logicalLayer/parser/QueryParser.jjt|test/org/apache/pig/test/TestLogicalPlanBuilder.java|,4,4,5,2009-04-21 17:40:20 +0000,2009-07-24 00:59:41 +0000,76d08757cbd00091c65317cd161fcbc3c839a73f,pig
