Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
PROTON-618,2014-10-06 14:53:44 +0000,proton-j/src/main/java/org/apache/qpid/proton/amqp/Binary.java|proton-j/src/main/java/org/apache/qpid/proton/amqp/Symbol.java|proton-j/src/main/java/org/apache/qpid/proton/amqp/UnsignedByte.java|proton-j/src/main/java/org/apache/qpid/proton/amqp/UnsignedInteger.java|proton-j/src/main/java/org/apache/qpid/proton/amqp/UnsignedLong.java|proton-j/src/main/java/org/apache/qpid/proton/amqp/UnsignedShort.java|,7,8,8,2014-06-27 11:21:16 +0000,2014-10-06 14:50:55 +0000,c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7,qpid-proton
PROTON-858,2015-05-01 16:25:11 +0000,proton-c/src/tests/object.c|,9,10,10,2015-04-22 10:20:59 +0000,2015-04-30 23:53:39 +0100,f82f96ab65dbcc61230b39151deb4e5b07b4407f,qpid-proton
PROTON-616,2014-07-02 12:25:44 +0000,contrib/proton-jms/src/main/java/org/apache/qpid/proton/jms/InboundTransformer.java|contrib/proton-jms/src/main/java/org/apache/qpid/proton/jms/JMSMappingOutboundTransformer.java|proton-j/src/main/java/org/apache/qpid/proton/amqp/messaging/MessageAnnotations.java|,7,8,8,2014-06-26 12:13:47 +0000,2014-07-02 12:17:43 +0000,5ad3b7dc438ed99ad3dc0a7b30010b2bdf7f51a2,qpid-proton
PROTON-617,2014-07-02 19:57:57 +0000,proton-c/src/object/object.c|proton-c/src/tests/object.c|,7,8,8,2014-06-27 03:56:47 +0000,2014-07-02 19:52:45 +0000,4c558e48b0f31ad8c50a9f895d7bfa5ff8ffe441,qpid-proton
PROTON-1717,2017-12-15 14:22:32 +0000,examples/c/send-ssl.c|,30,32,32,2017-12-12 16:17:55 +0000,2017-12-19 14:45:41 -0500,4d16e6183d4d0eb39e2a29d2a3a289fef2327201,qpid-proton
PROTON-615,2014-06-25 22:34:25 +0000,proton-c/bindings/perl/CMakeLists.txt|proton-c/bindings/php/CMakeLists.txt|proton-c/bindings/python/CMakeLists.txt|proton-c/bindings/python/cproton.i|proton-c/bindings/ruby/CMakeLists.txt|,7,8,8,2014-06-25 22:24:10 +0000,2014-06-25 22:30:50 +0000,11e5ee4b9c926daf3992e7295eb0b69fcbbc4660,qpid-proton
PROTON-1956,2018-10-11 22:34:24 +0000,go/src/qpid.apache.org/electron/electron_test.go|go/src/qpid.apache.org/electron/handler.go|go/src/qpid.apache.org/proton/handlers.go|,45,47,47,2018-10-11 16:57:14 +0000,2018-10-11 15:14:20 -0400,2a84494c4befb40c674116aeba7e563e68b9537d,qpid-proton
PROTON-854,2015-04-20 18:11:26 +0000,proton-j/src/main/java/org/apache/qpid/proton/engine/impl/ConnectionImpl.java|proton-j/src/main/java/org/apache/qpid/proton/engine/impl/SessionImpl.java|,9,10,10,2015-04-17 16:31:31 +0000,2015-04-20 19:07:32 +0100,1e4b121d6fdbcfa5585416dfdca4430e042f52bf,qpid-proton
PROTON-1954,2018-10-11 22:32:57 +0000,go/src/qpid.apache.org/electron/connection.go|,45,47,47,2018-10-11 15:49:02 +0000,2018-10-11 12:33:08 -0400,c24910781489de19669384180d96a23ca5a4fbcd,qpid-proton
PROTON-610,2014-09-04 19:28:55 +0000,proton-c/src/dispatcher/dispatcher.c|proton-c/src/messenger/messenger.c|tests/python/proton_tests/messenger.py|,7,8,8,2014-06-16 11:41:35 +0000,2014-09-04 19:24:52 +0000,9c15b2dd3f688df5f6ca992747996ef01ed480bf,qpid-proton
