Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
QPIDJMS-179,2016-05-24 18:58:54 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/util/IdGenerator.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/util/IdGeneratorTest.java|,8,10,10,2016-05-23 21:08:52 +0000,2016-05-24 14:57:27 -0400,6b6e1a76c9721d619c88caa8d120547766c9b255,qpid-jms
QPIDJMS-335,2017-10-16 15:17:43 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/sasl/AbstractScramSHAMechanism.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/sasl/ScramSHA1MechanismTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/sasl/ScramSHA256MechanismTest.java|,19,20,20,2017-10-06 16:47:35 +0000,2017-10-16 16:13:29 +0100,89e8f9908c476a942e23c6762541df774db963fd,qpid-jms
QPIDJMS-457,2019-05-13 18:22:48 +0000,qpid-jms-client/src/test/java/org/apache/qpid/jms/integration/ProducerIntegrationTest.java|,35,36,36,2019-05-13 18:18:09 +0000,2019-05-21 11:59:32 -0400,c18f6ff3fb857917d4f19dcd39a82ae39f999cf6,qpid-jms
QPIDJMS-336,2017-10-13 16:31:38 +0000,qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/failover/FailoverProviderTest.java|,19,20,20,2017-10-09 20:25:19 +0000,2017-11-01 12:44:01 +0000,6d49f7c50e5be464708013f79178b96210cf17bf,qpid-jms
QPIDJMS-451,2019-04-03 15:32:27 +0000,qpid-jms-client/src/test/java/org/apache/qpid/jms/integration/SessionIntegrationTest.java|,30,34,34,2019-04-03 15:10:30 +0000,2019-04-03 16:17:42 +0100,253ae123536c231103dadab405b3fdeca1e63e97,qpid-jms
QPIDJMS-330,2017-09-29 11:31:22 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/builders/AmqpConnectionBuilder.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/test/testpeer/TestAmqpPeer.java|,18,19,19,2017-09-29 11:12:22 +0000,2017-09-29 12:21:39 +0100,ac5aab2cb0db996f7726ca6be7a5b74d7adb09b1,qpid-jms
QPIDJMS-331,2017-09-29 11:31:33 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/builders/AmqpConnectionBuilder.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/test/testpeer/TestAmqpPeer.java|,18,19,19,2017-09-29 11:16:52 +0000,2017-09-29 12:21:39 +0100,a6db6a001a094d4ff9505320f8827b2a69beb5bb,qpid-jms
QPIDJMS-178,2016-05-25 18:12:21 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/AmqpConsumer.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/message/AmqpJmsMessageBuilder.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/message/AmqpJmsObjectMessageFacade.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/message/AmqpMessageSupport.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/message/AmqpSerializedObjectDelegate.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/message/AmqpTypedObjectDelegate.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/amqp/message/AmqpJmsMessageBuilderTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/amqp/message/AmqpJmsMessageTypesTestCase.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/amqp/message/AmqpJmsObjectMessageFacadeTest.java|,9,10,10,2016-05-20 20:45:32 +0000,2016-05-20 17:23:44 -0400,df2d911d4e75a65b50c23717636b0a6e15be526f,qpid-jms
QPIDJMS-292,2017-05-11 10:55:06 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/JmsMessageConsumer.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/meta/JmsConsumerInfo.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/AmqpConsumer.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/integration/ConsumerIntegrationTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/integration/QueueBrowserIntegrationTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/integration/TransactionsIntegrationTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/meta/JmsConsumerInfoTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/meta/JmsDefaultResourceVisitorTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/amqp/AmqpSubscriptionTrackerTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/amqp/message/AmqpCodecTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/amqp/message/AmqpJmsMessageTypesTestCase.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/failover/FailoverProviderTestSupport.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/test/testpeer/TestAmqpPeer.java|,15,16,16,2017-05-11 10:40:16 +0000,2017-05-11 11:43:13 +0100,b0b554d752f1f0320d73c7645ec89bb51677e5e6,qpid-jms
QPIDJMS-293,2017-05-16 14:09:13 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/transports/netty/NettyWsTransport.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/transports/netty/NettyServer.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/transports/netty/NettyTcpTransportTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/transports/netty/NettyWsTransportTest.java|,16,17,17,2017-05-16 13:58:52 +0000,2017-05-16 15:03:42 +0100,d3ce3dc38587ca1799613371d3096907899b362a,qpid-jms
QPIDJMS-172,2016-04-15 15:01:16 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/failover/FailoverProvider.java|,9,10,10,2016-04-15 14:53:00 +0000,2016-04-15 11:00:33 -0400,bcd4a91cae3df8c30130fc5a0d4c80d52fce7ec6,qpid-jms
QPIDJMS-294,2017-08-04 20:35:07 +0000,qpid-jms-client/src/main/java/org/apache/qpid/jms/provider/amqp/AmqpSaslAuthenticator.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/sasl/AbstractScramSHAMechanism.java|qpid-jms-client/src/main/java/org/apache/qpid/jms/sasl/CramMD5Mechanism.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/provider/amqp/AmqpSaslAuthenticatorTest.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/sasl/AbstractScramSHAMechanismTestBase.java|qpid-jms-client/src/test/java/org/apache/qpid/jms/sasl/CramMD5MechanismTest.java|,16,17,17,2017-05-18 13:20:08 +0000,2017-08-02 17:22:52 +0100,53d96e8a5162257894aaaf3951b4ce1d77e641ed,qpid-jms
QPIDJMS-290,2017-05-16 14:08:48 +0000,qpid-jms-client/src/test/java/org/apache/qpid/jms/transports/netty/NettyWsTransportTest.java|,15,16,16,2017-05-01 18:51:12 +0000,2017-05-03 13:10:05 -0400,d6112e77c7c718fb50c82472671cd02e59342061,qpid-jms
