Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
SCM-639,2011-10-20 17:09:00 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-git-commons/src/main/java/org/apache/maven/scm/provider/git/repository/GitScmProviderRepository.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-git-commons/src/test/java/org/apache/maven/scm/provider/git/repository/GitScmProviderRepositoryTest.java|,13,14,14,2011-10-20 11:39:47 +0000,2011-10-20 22:07:19 +0000,4436bfe57e795f1741a4d7a578fb884745820afb,maven-scm
SCM-518,2018-08-13 21:25:53 +0000,maven-scm-providers/maven-scm-provider-vss/pom.xml|maven-scm-providers/maven-scm-provider-vss/src/test/java/org/apache/maven/scm/provider/vss/commands/VssCommandLineUtilsTest.java|src/site/apt/vss.apt|,10,11,24,2009-12-25 05:11:48 +0000,2018-08-13 23:24:34 +0200,368968b814ec983f2e504be0907ad2187148b594,maven-scm
SCM-635,2011-10-10 13:33:38 +0000,maven-scm-plugin/src/main/java/org/apache/maven/scm/plugin/AddMojo.java|,13,14,14,2011-10-10 12:55:47 +0000,2011-10-10 18:32:28 +0000,39cbf7edc7c763a7deaf7db740df1854c2c47808,maven-scm
SCM-878,2018-04-02 15:41:04 +0000,maven-scm-api/src/main/java/org/apache/maven/scm/util/AbstractConsumer.java|,22,23,23,2018-04-01 21:31:55 +0000,2018-04-02 00:10:41 +0200,c83eee65903c6d1eafd9e51810a3c523037b499b,maven-scm
SCM-757,2014-06-25 02:24:16 +0000,maven-scm-plugin/src/main/java/org/apache/maven/scm/plugin/AbstractScmMojo.java|maven-scm-plugin/src/main/java/org/apache/maven/scm/plugin/CheckoutMojo.java|maven-scm-plugin/src/main/java/org/apache/maven/scm/plugin/ExportMojo.java|,18,19,19,2014-06-20 20:56:01 +0000,2014-06-25 00:22:22 -0700,82b8f4bd3e3f61d2e98209e758c43afd41b987d8,maven-scm
SCM-879,2018-04-02 15:41:51 +0000,maven-scm-providers/maven-scm-provider-jazz/src/main/java/org/apache/maven/scm/provider/jazz/command/changelog/JazzListChangesetConsumer.java|,22,23,23,2018-04-01 23:06:40 +0000,2018-04-02 17:39:33 +0200,57c9e6caa823011f9c4cc9d0e72790cbc1f23e4a,maven-scm
SCM-637,2012-02-06 13:20:39 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-git-commons/src/main/java/org/apache/maven/scm/provider/git/repository/GitScmProviderRepository.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-git-commons/src/test/java/org/apache/maven/scm/provider/git/repository/GitScmProviderRepositoryTest.java|,13,14,15,2011-10-18 04:23:14 +0000,2012-02-06 19:17:32 +0000,917fee121eb5f4582a0b720947af829467e38033,maven-scm
SCM-759,2014-07-26 12:18:00 +0000,maven-scm-providers/maven-scm-provider-tfs/src/test/java/org/apache/maven/scm/provider/tfs/command/TfsBranchCommandTest.java|,18,19,20,2014-06-23 09:11:54 +0000,2014-07-26 09:48:21 -0700,b273f796be56cd0ea5ab86aed4de250fc262a3c6,maven-scm
SCM-752,2014-05-26 15:35:31 +0000,maven-scm-providers/maven-scm-provider-tfs/src/main/java/org/apache/maven/scm/provider/tfs/TfsScmProvider.java|,18,19,19,2014-05-24 17:01:27 +0000,2014-05-26 22:15:08 +0200,252c2ddcfe166759bf6f3b7b0245b09a312a007a,maven-scm
SCM-874,2018-03-17 23:55:11 +0000,maven-scm-api/src/main/java/org/apache/maven/scm/ScmResult.java|maven-scm-api/src/test/java/org/apache/maven/scm/ScmResultTest.java|,22,23,23,2018-03-17 23:52:57 +0000,2018-03-18 00:53:26 +0100,302ccb4854af613b5818c4187e5d8fd537484bf9,maven-scm
SCM-875,2018-03-23 12:52:06 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/main/java/org/apache/maven/scm/provider/git/gitexe/command/update/GitUpdateCommand.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/java/org/apache/maven/scm/provider/git/gitexe/command/update/GitUpdateCommandTest.java|,22,23,23,2018-03-18 00:44:53 +0000,2018-03-23 13:51:00 +0100,e81778d63cfd6cff7a5fa5a14644440b758e35f2,maven-scm
SCM-750,2014-05-25 15:36:28 +0000,maven-scm-providers/maven-scm-provider-tfs/src/main/java/org/apache/maven/scm/provider/tfs/TfsScmProvider.java|maven-scm-providers/maven-scm-provider-tfs/src/main/java/org/apache/maven/scm/provider/tfs/TfsScmProviderRepository.java|,18,19,19,2014-05-16 05:18:32 +0000,2014-05-25 22:32:38 +0200,f493dfdbd35daf2eb0f864afff0c00cc839543c6,maven-scm
SCM-409,2008-09-01 16:29:43 +0000,maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/src/main/java/org/apache/maven/scm/provider/svn/svnexe/command/checkout/SvnCheckOutCommand.java|maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/src/test/java/org/apache/maven/scm/provider/svn/svnexe/command/checkout/SvnCheckOutCommandTest.java|,9,10,10,2008-09-01 04:51:26 +0000,2008-09-01 21:25:04 +0000,e2f7ed806de3f471ae99d141cb1c28a17b1dd043,maven-scm
SCM-888,2018-05-15 19:48:23 +0000,maven-scm-providers/maven-scm-provider-hg/src/main/java/org/apache/maven/scm/provider/hg/command/HgCommandConstants.java|,22,23,23,2018-05-14 05:25:28 +0000,2018-05-15 21:47:28 +0200,e25e6bf3d9da6ba015eee274422fd5a0b864e481,maven-scm
SCM-646,2011-11-22 01:59:26 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/main/java/org/apache/maven/scm/provider/git/gitexe/command/changelog/GitChangeLogConsumer.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/java/org/apache/maven/scm/provider/git/gitexe/command/changelog/GitChangeLogConsumerTest.java|,13,14,14,2011-11-20 13:04:57 +0000,2011-11-22 07:55:51 +0000,b565c13a3311c98793f86c2ec95237211c720ef5,maven-scm
SCM-525,2010-01-14 03:51:15 +0000,maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/src/main/java/org/apache/maven/scm/provider/svn/svnexe/command/export/SvnExeExportCommand.java|,10,11,11,2010-01-14 02:28:08 +0000,2010-01-14 09:49:47 +0000,5390dafa2674565f1fedb973e0841e2df79579df,maven-scm
SCM-889,2019-03-16 21:18:37 +0000,maven-scm-providers/maven-scm-provider-jazz/src/main/java/org/apache/maven/scm/provider/jazz/command/tag/JazzTagCommand.java|,22,24,24,2018-06-09 11:35:11 +0000,2018-08-13 22:17:01 +0200,fd177662edb0a9d712e87ae373373c135b959824,maven-scm
SCM-647,2011-11-28 08:56:32 +0000,maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/src/main/java/org/apache/maven/scm/provider/svn/svnexe/command/changelog/SvnChangeLogConsumer.java|maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/src/test/java/org/apache/maven/scm/provider/svn/svnexe/command/changelog/SvnChangeLogConsumerTest.java|,13,14,14,2011-11-25 19:38:46 +0000,2011-11-28 14:55:57 +0000,803056d2fa1205777ff679c21d09ce43c9d87a17,maven-scm
SCM-648,2011-11-28 03:59:33 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/main/java/org/apache/maven/scm/provider/git/gitexe/command/checkout/GitCheckOutCommand.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/main/java/org/apache/maven/scm/provider/git/gitexe/command/remoteinfo/GitRemoteInfoCommand.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/java/org/apache/maven/scm/provider/git/gitexe/command/checkin/GitCheckInCommandNoBranchTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/java/org/apache/maven/scm/provider/git/gitexe/command/checkout/GitExeCheckOutCommandNoBranchTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/HEAD|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/config|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/description|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/applypatch-msg.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/commit-msg.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/post-commit.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/post-receive.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/post-update.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/pre-applypatch.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/pre-commit.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/pre-rebase.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/prepare-commit-msg.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/hooks/update.sample|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/info/exclude|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/objects/empty.txt|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/resources/repository_no_branch/refs/empty.txt|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/command/remoteinfo/AbstractGitRemoteInfoCommandTckTest.java|,13,14,14,2011-11-27 07:11:28 +0000,2011-11-28 09:57:30 +0000,548c70457370d3ee8654bb3dee717f8ae6a89014,maven-scm
SCM-763,2018-04-29 21:39:40 +0000,maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/src/main/java/org/apache/maven/scm/provider/svn/svnexe/command/SvnCommandLineUtils.java|maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/src/test/java/org/apache/maven/scm/provider/svn/svnexe/command/SvnCommandLineUtilsTest.java|,18,19,23,2014-07-04 09:40:32 +0000,2018-04-29 23:37:43 +0200,60d98849047f11daec78e2fb14938c12776e68c3,maven-scm
SCM-642,2011-11-10 08:58:52 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/main/java/org/apache/maven/scm/provider/git/gitexe/command/status/GitStatusConsumer.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/java/org/apache/maven/scm/provider/git/gitexe/command/status/GitStatusConsumerTest.java|,13,14,14,2011-11-09 16:41:36 +0000,2011-11-10 14:58:30 +0000,66b1210e7927a41320c8ac07de2dd53b20389e20,maven-scm
SCM-886,2018-05-15 22:11:57 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/java/org/apache/maven/scm/provider/git/gitexe/command/checkin/GitCheckInCommandNoBranchTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/java/org/apache/maven/scm/provider/git/gitexe/command/checkin/GitCheckInCommandTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/GitScmTestUtils.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/command/blame/GitBlameCommandTckTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/command/branch/GitBranchCommandTckTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/command/changelog/GitChangeLogCommandTckTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/command/checkin/GitCheckInCommandTckTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/command/status/GitStatusCommandTckTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/command/tag/GitTagCommandTckTest.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gittest/src/main/java/org/apache/maven/scm/provider/git/command/update/GitUpdateCommandTckTest.java|maven-scm-test/src/main/java/org/apache/maven/scm/ScmTestCase.java|,22,23,23,2018-05-03 11:29:55 +0000,2018-05-15 23:39:55 +0200,7719468daf9432e88c34005ca6054f6c07d3f4b3,maven-scm
SCM-765,2014-07-18 14:03:21 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-jgit/src/main/java/org/apache/maven/scm/provider/git/jgit/command/checkin/JGitCheckInCommand.java|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-jgit/src/site/markdown/index.md.vm|maven-scm-providers/maven-scm-providers-git/maven-scm-provider-jgit/src/test/java/org/apache/maven/scm/provider/git/jgit/command/checkin/JGitCheckInCommandCommitterAuthorTckTest.java|,18,19,19,2014-07-13 13:19:06 +0000,2014-07-18 18:18:49 +0200,037ba69bced119de1618526e6977940908eeb7bc,maven-scm
SCM-644,2011-11-14 02:05:08 +0000,maven-scm-providers/maven-scm-providers-git/maven-scm-provider-gitexe/src/test/java/org/apache/maven/scm/provider/git/gitexe/command/remove/GitRemoveCommandTest.java|,13,14,14,2011-11-13 15:38:54 +0000,2011-11-14 08:05:07 +0000,2780bff091ee8e38c50c08ef35e0d41375055309,maven-scm
SCM-402,2008-08-22 16:40:13 +0000,src/site/apt/subversion.apt|,8,9,9,2008-08-19 13:40:24 +0000,2008-08-22 21:43:53 +0000,a04fa48f6a848b2a9ec8518edeb5e91e37134fac,maven-scm
