Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
SLING-858,2009-02-16 14:18:14 +0000,src/main/provisioning/sling.txt|,1,2,674,2009-02-16 14:15:35 +0000,2019-07-15 09:03:46 +0200,54a327572adc32985ea743eb7be75757fbeb4922,sling-org-apache-sling-starter
SLING-830,2009-01-15 14:20:56 +0000,src/main/provisioning/sling.txt|,2,2,641,2009-01-15 13:13:42 +0000,2019-03-04 10:44:45 +0200,6aa323b5ff4b959e2a0b50f9a638c2d7cdbfcb0a,sling-org-apache-sling-starter
SLING-831,2009-01-16 07:33:58 +0000,src/main/provisioning/boot.txt|src/main/provisioning/sling.txt|src/main/provisioning/standalone.txt|src/main/provisioning/webapp.txt|,2,2,643,2009-01-15 21:08:09 +0000,2019-03-18 14:22:49 +0100,8936fbb81002b80b43d0b86d1301d1c3f3eaf91b,sling-org-apache-sling-starter
SLING-815,2009-01-08 08:52:06 +0000,src/main/provisioning/sling.txt|,1,2,625,2009-01-07 12:31:59 +0000,2018-12-13 14:03:33 -0800,b8f9de1228d5bce73e28691c41559afc37cc0df1,sling-org-apache-sling-starter
SLING-816,2009-01-08 09:28:43 +0000,src/main/provisioning/boot.txt|,2,2,623,2009-01-08 06:46:05 +0000,2018-12-05 14:01:37 +0100,6fd3182efc7339709d08e270d25875746fe26530,sling-org-apache-sling-starter
SLING-801,2009-01-03 18:28:28 +0000,src/main/provisioning/scripting.txt|,2,2,616,2009-01-03 18:27:43 +0000,2018-11-05 14:15:02 +0100,f6d55d44ade8564f2030bb1771de7e5e5c33cfae,sling-org-apache-sling-starter
SLING-4940,2015-08-10 14:30:25 +0000,src/main/provisioning/sling.txt|,251,257,257,2015-08-10 13:25:42 +0000,2015-08-10 14:09:01 +0000,4c9875a426bfa089f92fcb994c615d96f309c289,sling-org-apache-sling-starter
SLING-3665,2014-06-25 21:51:58 +0000,src/main/bundles/list.xml|,98,138,139,2014-06-12 20:48:08 +0000,2014-06-23 14:54:51 +0000,15a33c79f0fc0df90f0722120dea7fd531a94352,sling-org-apache-sling-starter
SLING-4981,2015-09-04 13:41:38 +0000,src/main/provisioning/sling.txt|,212,265,296,2015-09-01 08:31:45 +0000,2015-12-15 09:49:59 +0000,ac5066c0caf3592761706e306903fe6732bc5e34,sling-org-apache-sling-starter
SLING-1933,2011-01-17 02:43:41 +0000,src/main/bundles/list.xml|,43,44,44,2011-01-17 02:40:49 +0000,2011-01-17 02:42:48 +0000,b257b6990c279bed2d22771f96b9947bc6ae85a6,sling-org-apache-sling-starter
SLING-1932,2011-01-17 02:45:00 +0000,src/main/bundles/list.xml|,43,44,44,2011-01-17 02:27:31 +0000,2011-01-17 02:41:32 +0000,c1cd5d4d353d4b4b13efa3e28facd90bd933e727,sling-org-apache-sling-starter
SLING-1965,2011-02-02 08:40:49 +0000,src/main/bundles/list.xml|,34,47,47,2011-02-02 08:06:45 +0000,2011-02-02 08:44:17 +0000,f46fe9a7ed8de01c889e8a4c073e8c3716a90e33,sling-org-apache-sling-starter
SLING-7258,2017-11-22 08:59:22 +0000,src/main/provisioning/sling.txt|,510,520,520,2017-11-21 10:29:19 +0000,2017-11-21 16:33:58 +0100,61b53232b64ee074aa8c0cb1db2e6ac67a578d3b,sling-org-apache-sling-starter
SLING-8164,2018-12-05 13:01:57 +0000,src/main/provisioning/boot.txt|,611,623,623,2018-12-05 12:59:37 +0000,2018-12-05 14:01:37 +0100,6fd3182efc7339709d08e270d25875746fe26530,sling-org-apache-sling-starter
SLING-4136,2014-11-05 20:45:01 +0000,src/main/bundles/list.xml|,171,183,183,2014-11-05 20:05:03 +0000,2014-11-05 20:42:35 +0000,63a86b8d6af961c63cac5511ea57449515f21fab,sling-org-apache-sling-starter
SLING-6791,2017-04-26 11:45:23 +0000,src/main/provisioning/sling.txt|,417,452,453,2017-04-25 14:48:33 +0000,2017-04-27 09:33:55 +0000,4ac519d9a0e83f32fe7124cd0493c6aa70a9c983,sling-org-apache-sling-starter
SLING-790,2009-01-26 13:49:33 +0000,src/main/provisioning/sling.txt|,2,2,605,2008-12-19 10:10:04 +0000,2018-09-24 17:02:29 +0200,d89ef352508df0de2081ac4f559f5ee97f50a80e,sling-org-apache-sling-starter
SLING-791,2008-12-29 21:29:03 +0000,src/main/provisioning/sling-discovery.txt|,1,2,603,2008-12-19 13:16:57 +0000,2018-09-13 12:41:58 +0200,22a7f13caf2b0378421ab7897001e2dd068bee69,sling-org-apache-sling-starter
