Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
STDCXX-195,2008-01-06 23:19:33 +0000,tests/regress/27.cstdio.stdcxx-195.cpp|,2,3,5,2006-06-05 22:22:00 +0000,2008-01-04 02:04:41 +0000,945b1039527e7c9391a450b0e35c26cb38256c71,stdcxx
STDCXX-197,2006-06-20 22:24:10 +0000,etc/config/gcc.config|,2,3,3,2006-06-06 03:57:55 +0000,2006-06-20 15:24:55 +0000,3ec9f56d69bd5d9b199f341605c1645bd8761ece,stdcxx
STDCXX-189,2006-06-06 04:11:56 +0000,etc/config/src/LOCALE_NAME_FMAT.cpp|,1,3,3,2006-05-25 03:16:27 +0000,2006-06-05 20:09:21 +0000,cfe913dab9d73b56eb12f74f4d545b365ccef29f,stdcxx
STDCXX-188,2007-06-05 18:33:09 +0000,src/typeinfo.cpp|,2,3,4,2006-05-23 19:26:11 +0000,2007-06-06 11:11:19 +0000,bceaec4b18f4dde0dd9c2d510a339de038df584b,stdcxx
STDCXX-184,2006-06-30 07:54:24 +0000,util/charmap.cpp|,2,3,4,2006-05-23 01:09:26 +0000,2006-09-06 00:54:14 +0000,8d0575490e0b963bb371ddf62ee3774bb58f375a,stdcxx
STDCXX-192,2006-06-12 04:31:22 +0000,src/i86/atomic.s|,2,3,3,2006-06-01 01:40:17 +0000,2006-06-01 18:06:56 +0000,d94bd518d6e8e6d514565ae7a5749390d62f4ba1,stdcxx
STDCXX-191,2006-06-06 02:37:11 +0000,etc/config/gcc.config|,2,3,3,2006-06-01 01:12:55 +0000,2006-06-05 18:51:39 +0000,61179453e25e744bfebd644d2e8cbc3cd722bbc1,stdcxx
STDCXX-194,2006-06-12 04:41:45 +0000,etc/config/gcc.config|,2,3,3,2006-06-03 00:40:39 +0000,2006-06-11 21:41:48 +0000,ea35597eaaea505fea1793655d825f856832b652,stdcxx
STDCXX-193,2006-06-02 02:17:00 +0000,etc/config/makefile.common|,2,3,3,2006-06-02 00:04:04 +0000,2006-06-01 19:02:00 +0000,32fcde78644170a84ccb630bc0562d9b126d0d21,stdcxx
STDCXX-179,2006-05-24 21:50:04 +0000,include/vector.cc|,2,3,3,2006-05-13 05:45:59 +0000,2006-05-17 01:28:38 +0000,30f68a895994fa4f4559af4fb05b8fe90733b3a1,stdcxx
STDCXX-295,2007-02-02 23:51:22 +0000,tests/regress/27.stringbuf.seekoff.stdcxx-295.cpp|,1,4,5,2006-10-05 19:47:19 +0000,2008-04-22 03:32:10 +0000,51e549fb146507cc16632cc68ef96226f0d0fe0a,stdcxx
STDCXX-174,2006-06-12 04:45:11 +0000,include/bitset|,2,3,3,2006-04-21 05:43:18 +0000,2006-04-20 22:57:23 +0000,bddb3f3e1bea9de46e58ba9624597cca435d7c9e,stdcxx
STDCXX-294,2006-10-05 01:17:26 +0000,tests/regress/23.vector.cons.stdcxx-294.cpp|,1,4,5,2006-10-04 20:30:19 +0000,2008-04-22 03:40:33 +0000,fa813e3e44fd3b35e847a903000ebbdcb7a4cbff,stdcxx
STDCXX-1009,2008-10-01 19:45:16 +0000,etc/config/xfail.txt|include/rw/_select.h|include/rw/_specialized.h|src/time_put.cpp|,1,8,8,2008-09-05 15:15:23 +0000,2008-10-14 10:30:16 +0000,aca2b3c96277668818cc31791b9874a4d5586a8b,stdcxx
STDCXX-297,2006-10-19 06:54:33 +0000,tests/regress/23.bitset.cons.stdcxx-297.cpp|,2,4,4,2006-10-06 12:38:18 +0000,2007-06-06 10:10:25 +0000,053aa3fa74b7179e7c1a79bc1ac4ae2eb0eef128,stdcxx
STDCXX-175,2007-07-24 16:02:04 +0000,tests/strings/21.string.replace.stdcxx-175.cpp|tests/strings/21.string.stdcxx-466.cpp|,2,3,4,2006-04-27 23:06:49 +0000,2007-07-24 15:35:38 +0000,cee99ab5f2ba1b81088b46460722e59c4c4e31c1,stdcxx
STDCXX-167,2006-03-26 06:08:25 +0000,etc/config/vacpp.config|,2,3,3,2006-03-26 02:46:35 +0000,2006-03-25 18:51:24 +0000,aba70123917c970bed7595ebedea5ca9d7d92003,stdcxx
STDCXX-166,2006-03-19 05:31:17 +0000,GNUmakefile|,2,3,3,2006-03-19 04:39:34 +0000,2006-03-18 21:06:13 +0000,328c5b6e0aef69c61e335d47cc59659fa5975c21,stdcxx
STDCXX-168,2006-04-07 22:14:17 +0000,etc/config/windows/generate.wsf|,2,3,3,2006-03-29 04:29:32 +0000,2006-04-06 12:57:30 +0000,9dbe2a6ee133ae51cb374fee4c140c1f13916d7e,stdcxx
STDCXX-286,2007-06-01 22:05:17 +0000,etc/config/vacpp.config|,2,4,4,2006-09-06 19:47:46 +0000,2007-03-20 22:54:43 +0000,7749dc56657dbea223b3fd27a95cbbb846a84022,stdcxx
STDCXX-165,2006-06-12 04:33:40 +0000,src/num_get.cpp|,2,3,3,2006-03-19 04:33:31 +0000,2006-03-18 23:02:40 +0000,5141da33505cec5fe1eebe4424e5fe99c82cc21b,stdcxx
STDCXX-164,2007-08-23 23:33:54 +0000,etc/config/src/FLOAT.cpp|,2,3,3,2006-03-19 03:51:36 +0000,2006-03-18 22:04:49 +0000,1b6665f3d4989a16d921fa35b0cacb2c8ffa0750,stdcxx
STDCXX-293,2007-06-21 18:53:59 +0000,src/exception.cpp|,2,4,4,2006-10-04 14:17:48 +0000,2007-06-21 18:51:41 +0000,1cda2b9de0ef9abe61ce5e642639bc9b3c4d951d,stdcxx
STDCXX-1026,2008-12-04 21:57:21 +0000,include/streambuf.cc|tests/regress/27.streambuf.sgetn.stdcxx-1026.cpp|,5,8,8,2008-12-04 21:17:06 +0000,2008-12-10 22:11:41 +0000,f6b36ed9c098ed2188268663ff4efe9fd2858d14,stdcxx
STDCXX-1025,2008-11-24 01:10:10 +0000,doc/stdlibref/ios-base.html|,5,8,8,2008-11-20 08:32:25 +0000,2008-11-24 01:07:33 +0000,a60c366235e3345e9ddca5d87a8ef20fff472e35,stdcxx
STDCXX-1024,2008-11-15 17:59:03 +0000,doc/stdlibug/34-2.html|,5,8,8,2008-11-15 17:26:16 +0000,2008-11-15 17:53:07 +0000,3823ccf1a7df130b41c3bbfe7d9a49e952d757fb,stdcxx
STDCXX-1023,2008-11-13 17:58:52 +0000,include/rw/_config.h|,1,8,8,2008-11-13 17:47:45 +0000,2008-11-13 18:19:25 +0000,a193fb5f901afb1cc924ebd2c2bb7b97d3e14acb,stdcxx
STDCXX-1017,2008-09-26 16:30:02 +0000,doc/stdlibref/bind1st.html|,5,8,9,2008-09-26 11:10:13 +0000,2012-01-11 23:20:11 +0000,e897e9fca7fb803e4b0aa51523ca6a8397f8cd45,stdcxx
