Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
TAP5-1555,2011-09-23 17:20:52 +0000,tapestry-core/src/main/java/org/apache/tapestry5/internal/services/PropertyConduitSourceImpl.java|tapestry-core/src/test/java/org/apache/tapestry5/internal/services/PropertyConduitSourceImplTest.java|,19,20,21,2011-06-23 18:58:09 +0000,2011-09-23 17:20:38 +0000,bedf7a9612278e4243768bdb5ddb3a476212fdf2,tapestry-5
TAP5-1791,2012-04-06 17:46:09 +0000,tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ComponentEventLinkEncoderImpl.java|tapestry-core/src/test/java/org/apache/tapestry5/internal/services/ComponentEventDispatcherTest.java|tapestry-core/src/test/java/org/apache/tapestry5/internal/services/ComponentEventLinkEncoderImplTest.java|,21,22,24,2011-12-15 00:08:15 +0000,2012-04-06 17:44:44 +0000,0e74c9db6273da9cdb8ff5e88388bf85e01454a7,tapestry-5
TAP5-1551,2011-06-22 08:56:59 +0000,tapestry-core/src/main/java/org/apache/tapestry5/services/TranslatorSource.java|tapestry-core/src/main/resources/org/apache/tapestry5/tapestry.js|tapestry-core/src/test/app1/NestedFormFragment.tml|tapestry-core/src/test/groovy/org/apache/tapestry5/integration/app1/TapestryJavaScriptTests.groovy|tapestry-core/src/test/java/org/apache/tapestry5/integration/app1/AjaxTests.java|tapestry-core/src/test/java/org/apache/tapestry5/integration/app1/pages/Index.java|tapestry-core/src/test/java/org/apache/tapestry5/integration/app1/pages/NestedFormFragment.java|,19,20,20,2011-06-18 06:02:12 +0000,2011-06-22 08:55:51 +0000,f100d78eec1bc9245aa0aaa2c3b4bb9ad70ec635,tapestry-5
TAP5-1549,2011-07-07 19:43:32 +0000,plastic/src/main/java/org/apache/tapestry5/internal/plastic/PlasticClassImpl.java|plastic/src/main/java/org/apache/tapestry5/plastic/PlasticField.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/structure/InternalComponentResourcesImpl.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/BindParameterWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/BridgeClassTransformation.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/ComponentWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/EnvironmentalWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/InjectComponentWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/InjectContainerWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/InjectPageWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/MixinWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/ParameterConduit.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/ParameterWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/ReadOnlyFieldValueConduit.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/transform/UnclaimedFieldWorker.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/util/NamedSet.java|tapestry-core/src/main/java/org/apache/tapestry5/services/TapestryModule.java|tapestry-core/src/main/java/org/apache/tapestry5/services/TransformConstants.java|,19,20,20,2011-06-16 05:55:35 +0000,2011-07-07 19:34:01 +0000,e06d1d2b9097de2f401ff5fe0537a3a03324829f,tapestry-5
TAP5-1309,2010-10-15 18:39:40 +0000,tapestry-core/src/main/java/org/apache/tapestry5/internal/services/AjaxComponentInstanceEventResultProcessor.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/services/AjaxLinkComponentEventResultProcessor.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/services/AjaxPageClassComponentEventResultProcessor.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/services/AjaxPageNameComponentEventResultProcessor.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/services/PageRenderQueue.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/services/PageRenderQueueImpl.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/services/PartialMarkupRendererTerminator.java|tapestry-core/src/main/java/org/apache/tapestry5/internal/services/RenderCommandComponentEventResultProcessor.java|tapestry-core/src/main/java/org/apache/tapestry5/services/TapestryModule.java|tapestry-core/src/main/java/org/apache/tapestry5/services/ajax/MultiZoneUpdateEventResultProcessor.java|tapestry-core/src/main/java/org/apache/tapestry5/services/ajax/SingleZonePartialRendererFilter.java|,15,16,16,2010-10-15 08:55:45 +0000,2010-10-15 18:38:51 +0000,0ef36ee7eda63916bddb5e3eb26cde7ea4db4c70,tapestry-5
TAP5-1788,2011-12-15 10:32:24 +0000,tapestry-spring/src/main/java/org/apache/tapestry5/internal/spring/SpringModuleDef.java|tapestry-spring/src/test/java/org/apache/tapestry5/internal/spring/SpringModuleDefTest.java|tapestry-spring/src/test/java/org/apache/tapestry5/spring/TapestryExternalSpringContextIntegrationTest.java|tapestry-spring/src/test/java/org/example/testapp1/pages/Index.java|tapestry-spring/src/test/java/org/example/testapp1/services/AppModule.java|tapestry-spring/src/test/webapp1/Index.tml|tapestry-spring/src/test/webapp1/WEB-INF/applicationContext.xml|tapestry-spring/src/test/webapp1/WEB-INF/web.xml|,18,22,22,2011-12-13 19:24:41 +0000,2011-12-15 09:56:38 +0000,789f1937f7d73ff7c436f124f562d278643d6247,tapestry-5
TAP5-1787,2011-12-14 23:30:07 +0000,tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/TextField.java|,21,22,22,2011-12-13 11:58:40 +0000,2011-12-13 19:04:30 +0000,de35f5e48e7460e1801d32e10e19e908ecc94d63,tapestry-5
TAP5-1305,2014-06-06 14:52:20 +0000,tapestry-ioc/src/main/java/org/apache/tapestry5/ioc/internal/RegistryImpl.java|tapestry-ioc/src/main/java/org/apache/tapestry5/ioc/internal/util/Orderer.java|tapestry-ioc/src/test/groovy/ioc/specs/DecoratorsSpec.groovy|tapestry-ioc/src/test/java/org/apache/tapestry5/ioc/SpecificDecoratorModuleAgain.java|,9,16,29,2010-10-13 20:51:05 +0000,2014-06-06 11:49:00 -0300,63ad93a7dc1cdac66c81a43cbd5a21723d54a93b,tapestry-5
TAP5-1798,2011-12-21 23:51:35 +0000,tapestry-core/src/main/java/org/apache/tapestry5/internal/services/BeanModelSourceImpl.java|tapestry-core/src/test/java/org/apache/tapestry5/internal/services/BeanModelSourceImplTest.java|tapestry-core/src/test/java/org/apache/tapestry5/internal/services/BeanWithStaticField.java|,21,22,23,2011-12-20 16:16:33 +0000,2011-12-21 23:50:28 +0000,b2af71efd23c0590925b01076b62824ccaf09efe,tapestry-5
TAP5-2406,2014-10-24 21:00:58 +0000,tapestry-ioc/src/main/java/org/apache/tapestry5/ioc/internal/services/cron/PeriodicExecutorImpl.java|,28,29,29,2014-10-20 06:06:32 +0000,2014-10-24 13:59:37 -0700,3257161990f639eabb60ce8729e3c1244823609a,tapestry-5
TAP5-1332,2010-11-05 20:43:59 +0000,tapestry-core/src/main/resources/org/apache/tapestry5/tapestry-messages.js|tapestry-core/src/main/resources/org/apache/tapestry5/tapestry-messages_de.js|tapestry-core/src/main/resources/org/apache/tapestry5/tapestry.js|tapestry-core/src/test/app1/nested/ZoneDemo.tml|tapestry-core/src/test/java/org/apache/tapestry5/integration/app1/pages/nested/ZoneDemo.java|,16,17,17,2010-11-03 01:17:03 +0000,2010-11-05 20:40:51 +0000,76960eb3bbf43364b6cf91ef51da7bcd87893c4c,tapestry-5
TAP5-2424,2014-12-08 16:42:57 +0000,tapestry-core/src/main/java/org/apache/tapestry5/internal/services/ComponentEventLinkEncoderImpl.java|tapestry-core/src/test/java/org/apache/tapestry5/internal/services/ComponentEventLinkEncoderImplTest.java|,29,30,30,2014-12-04 15:54:27 +0000,2014-12-08 17:35:26 +0100,91bd025fc4a65f14f2e41a2373804812f6f6be51,tapestry-5
