Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
TAPESTRY-1638,2007-07-12 18:55:46 +0000,tapestry-framework/src/java/org/apache/tapestry/form/ImageSubmit.java|tapestry-framework/src/test/org/apache/tapestry/form/TestImageSubmit.java|,12,14,14,2007-07-11 08:23:38 +0000,2007-07-12 18:57:25 +0000,07c849641e6fbd0f151ccef4efd6d05fa0b6d215,tapestry4
TAPESTRY-1877,2007-11-01 15:27:26 +0000,tapestry-framework/src/js/tapestry/widget/TimePicker.js|tapestry-framework/src/js/tapestry/widget/Widget.js|tapestry-framework/src/js/tests/widget/test_TimePicker.html|,14,16,16,2007-11-01 15:26:16 +0000,2007-11-01 15:27:24 +0000,956f20883985a5929d050590e751507ef96866a4,tapestry4
TAPESTRY-1872,2007-11-08 14:13:27 +0000,tapestry-contrib/src/java/org/apache/tapestry/contrib/table/model/simple/SimpleTableColumn.java|tapestry-contrib/src/test/org/apache/tapestry/contrib/table/model/simple/TestSimpleTableColumn.java|,14,16,16,2007-10-30 04:59:13 +0000,2007-11-08 14:12:54 +0000,aa3d289ec79a56214f81aa9e853dff40f16500b7,tapestry4
TAPESTRY-803,2006-08-04 13:59:27 +0000,tapestry-framework/src/java/org/apache/tapestry/util/exception/ExceptionAnalyzer.java|,5,5,9,2005-12-15 00:55:36 +0000,2006-08-04 14:00:14 +0000,ae2b76d65948b6b5c5a1985e1a34f2d28744e7c5,tapestry4
TAPESTRY-1640,2007-07-19 02:21:03 +0000,tapestry-examples/Workbench/src/context/Dates.html|tapestry-framework/src/java/org/apache/tapestry/FormBehavior.java|tapestry-framework/src/java/org/apache/tapestry/form/AbstractFormComponent.java|tapestry-framework/src/java/org/apache/tapestry/form/Form.java|tapestry-framework/src/java/org/apache/tapestry/form/FormSupportImpl.java|tapestry-framework/src/java/org/apache/tapestry/services/impl/DojoAjaxResponseBuilder.java|tapestry-framework/src/test/org/apache/tapestry/form/BaseFormComponentTestCase.java|tapestry-framework/src/test/org/apache/tapestry/form/FormSupportTest.java|tapestry-framework/src/test/org/apache/tapestry/form/MockForm.java|tapestry-framework/src/test/org/apache/tapestry/services/impl/DojoAjaxResponseBuilderTest.java|tapestry-framework/src/test/org/apache/tapestry/valid/FieldLabelTest.java|,12,14,14,2007-07-12 19:05:02 +0000,2007-07-19 02:21:09 +0000,1d2f4c990574b2c06eff165f843e50d0a7be0534,tapestry4
TAPESTRY-1415,2007-04-30 19:03:00 +0000,tapestry-framework/src/java/org/apache/tapestry/enhance/ClientIdPropertyWorker.java|,9,11,11,2007-04-17 01:49:37 +0000,2007-04-30 19:01:59 +0000,fca9e0941e87b5edc5ec87ad88b7631dba15d14a,tapestry4
TAPESTRY-1654,2007-07-21 20:50:47 +0000,tapestry-contrib/src/java/org/apache/tapestry/contrib/ajax/Timeout.script|,12,14,14,2007-07-18 19:44:58 +0000,2007-07-21 20:44:44 +0000,1698911bbcbaf1c60947983c31e31b564cb4ff09,tapestry4
TAPESTRY-1651,2007-07-17 00:22:10 +0000,pom.xml|sign.rb|tapestry-framework/pom.xml|tapestry-framework/src/java/org/apache/tapestry/engine/IPropertySource.java|tapestry-framework/src/java/org/apache/tapestry/engine/Namespace.java|tapestry-framework/src/java/org/apache/tapestry/event/BrowserEvent.java|tapestry-framework/src/java/org/apache/tapestry/resolver/ComponentSpecificationResolverImpl.java|tapestry-framework/src/java/org/apache/tapestry/services/ComponentMessagesSource.java|tapestry-framework/src/java/org/apache/tapestry/services/ComponentPropertySource.java|tapestry-framework/src/java/org/apache/tapestry/services/impl/ComponentMessagesSourceImpl.java|tapestry-framework/src/java/org/apache/tapestry/services/impl/ComponentPropertySourceImpl.java|tapestry-framework/src/java/org/apache/tapestry/spec/ApplicationSpecification.java|tapestry-framework/src/java/org/apache/tapestry/spec/IComponentSpecification.java|tapestry-framework/src/java/org/apache/tapestry/spec/LibrarySpecification.java|tapestry-framework/src/java/org/apache/tapestry/spec/LocatablePropertyHolder.java|tapestry-framework/src/java/org/apache/tapestry/util/BasePropertyHolder.java|tapestry-framework/src/js/tapestry/core.js|tapestry-framework/src/test/org/apache/tapestry/engine/DirectEventServiceTest.java|tapestry-framework/src/test/org/apache/tapestry/engine/DirectServiceTest.java|tapestry-framework/src/test/org/apache/tapestry/engine/TestNamespaceProperties.java|tapestry-framework/src/test/org/apache/tapestry/event/BrowserEventTest.java|tapestry-framework/src/test/org/apache/tapestry/form/FormSupportTest.java|tapestry-framework/src/test/org/apache/tapestry/junit/Application.properties|tapestry-framework/src/test/org/apache/tapestry/junit/Library.properties|tapestry-framework/src/test/org/apache/tapestry/junit/TestComponentMessages.java|tapestry-framework/src/test/org/apache/tapestry/junit/spec/BasicExtension.application|tapestry-framework/src/test/org/apache/tapestry/junit/spec/TestComponentSpecification.java|,12,14,14,2007-07-16 17:21:50 +0000,2007-07-17 00:22:19 +0000,8fa36ddbf020b80a46bb8c95f21e2e7940e9a76e,tapestry4
TAPESTRY-827,2006-12-16 21:01:32 +0000,tapestry-framework/src/test/org/apache/tapestry/form/translator/TestNumberTranslator.java|,5,5,9,2006-01-04 19:36:55 +0000,2006-12-16 21:01:32 +0000,f715d6bb8d29d47dfb90445fbcee0fd1d67b8d39,tapestry4
TAPESTRY-825,2006-12-19 22:54:50 +0000,tapestry-framework/src/java/org/apache/tapestry/json/IJSONWriter.java|tapestry-framework/src/java/org/apache/tapestry/markup/JSONWriterImpl.java|tapestry-framework/src/java/org/apache/tapestry/services/impl/DefaultResponseBuilder.java|tapestry-framework/src/java/org/apache/tapestry/services/impl/DojoAjaxResponseBuilder.java|tapestry-framework/src/java/org/apache/tapestry/services/impl/JSONResponseBuilder.java|tapestry-portlet/src/test/org/apache/tapestry/portlet/TestPortletRenderer.java|,5,5,10,2006-01-01 05:59:01 +0000,2006-12-19 22:55:21 +0000,34c10de51a93ff9952b42880d0b6aadb5d3da687,tapestry4
