Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
TUSCANY-2085,2008-04-11 17:51:23 +0000,modules/databinding/src/main/java/org/apache/tuscany/sca/databinding/DefaultDataBindingExtensionPoint.java|,16,17,17,2008-03-14 15:43:09 +0000,2008-04-11 17:51:21 +0000,996f509b40b7f7a1ba04da3f185e6a8a6afd348c,tuscany-sca-1.x
TUSCANY-2049,2008-02-18 16:39:48 +0000,modules/interface-wsdl-xml/src/main/java/org/apache/tuscany/sca/interfacedef/wsdl/xml/WSDLModelResolver.java|,16,17,17,2008-02-15 21:37:40 +0000,2008-02-18 16:39:18 +0000,5bc6191154a38b7855d4c6dbd5f99adf307a80ca,tuscany-sca-1.x
TUSCANY-3379,2009-11-23 18:20:57 +0000,modules/policy-logging/src/main/java/org/apache/tuscany/sca/policy/logging/jdk/JDKLoggingPolicyProcessor.java|,26,30,30,2009-11-20 16:24:48 +0000,2009-11-23 18:15:18 +0000,a8c946cbfb41e7dddb230714a405cd4417056e16,tuscany-sca-1.x
TUSCANY-2045,2010-07-29 14:32:24 +0000,modules/binding-ws-xml/src/main/java/org/apache/tuscany/sca/binding/ws/xml/WebServiceBindingProcessor.java|modules/interface-wsdl-xml/src/main/java/org/apache/tuscany/sca/interfacedef/wsdl/xml/WSDLInterfaceProcessor.java|modules/interface-wsdl/src/main/java/org/apache/tuscany/sca/interfacedef/wsdl/WSDLDefinition.java|modules/interface-wsdl/src/main/java/org/apache/tuscany/sca/interfacedef/wsdl/WSDLObject.java|modules/interface-wsdl/src/main/java/org/apache/tuscany/sca/interfacedef/wsdl/XSDefinition.java|modules/interface-wsdl/src/main/java/org/apache/tuscany/sca/interfacedef/wsdl/impl/WSDLDefinitionImpl.java|modules/interface-wsdl/src/main/java/org/apache/tuscany/sca/interfacedef/wsdl/impl/WSDLObjectImpl.java|,16,17,17,2008-02-15 08:24:54 +0000,2008-03-04 16:52:24 +0000,9e89b199d766498049280ca3d918288420e65ef8,tuscany-sca-1.x
TUSCANY-2038,2008-02-10 22:42:45 +0000,pom.xml|,16,17,17,2008-02-10 22:37:40 +0000,2008-02-10 22:38:33 +0000,b1326f0594836e636ea2350f15fedd8802c1153d,tuscany-sca-1.x
TUSCANY-2037,2008-02-10 22:30:22 +0000,samples/calculator-ws-secure-webapp/build.xml|,16,17,17,2008-02-10 22:28:45 +0000,2008-02-10 22:29:45 +0000,3623ca0990223942c976e397044dd0e3b3dae9ca,tuscany-sca-1.x
TUSCANY-2034,2008-02-10 22:33:04 +0000,modules/interface-wsdl-java2wsdl/src/main/java/org/apache/tuscany/sca/interfacedef/wsdl/java2wsdl/Java2WSDLHelper.java|,15,17,17,2008-02-09 01:17:58 +0000,2008-02-10 22:32:17 +0000,7a3b08ef503c0f5fec496c3f04eadf3d4fc5db54,tuscany-sca-1.x
TUSCANY-2036,2008-02-24 01:15:34 +0000,samples/calculator-webapp/pom.xml|samples/calculator-ws-secure-webapp/pom.xml|samples/calculator-ws-webapp/pom.xml|samples/chat-webapp/pom.xml|samples/domain-webapp/pom.xml|samples/feed-aggregator-webapp/pom.xml|samples/helloworld-dojo-webapp/pom.xml|samples/helloworld-jms-webapp/pom.xml|samples/helloworld-jsonrpc-webapp/pom.xml|samples/helloworld-ws-sdo-webapp/pom.xml|samples/helloworld-ws-service-webapp/pom.xml|samples/pom.xml|,16,17,17,2008-02-10 22:16:07 +0000,2008-02-24 01:18:37 +0000,9184085d51ff1869785051945eb7a2f37ebe5f27,tuscany-sca-1.x
TUSCANY-2035,2008-03-14 16:55:25 +0000,itest/callback-multiple-wires/src/main/java/org/apache/tuscany/sca/test/callback/MyServiceImpl.java|modules/binding-dwr/src/main/java/org/apache/tuscany/sca/binding/dwr/DWRService.java|modules/binding-jsonrpc/src/main/java/org/apache/tuscany/sca/binding/jsonrpc/provider/JSONRPCServiceBindingProvider.java|modules/core/src/main/java/org/apache/tuscany/sca/core/context/CallableReferenceImpl.java|modules/core/src/main/java/org/apache/tuscany/sca/core/context/RequestContextImpl.java|modules/core/src/main/java/org/apache/tuscany/sca/core/invocation/CallbackReferenceImpl.java|modules/core/src/main/java/org/apache/tuscany/sca/core/invocation/CglibProxyFactory.java|modules/core/src/main/java/org/apache/tuscany/sca/core/invocation/DefaultProxyFactoryExtensionPoint.java|modules/core/src/main/java/org/apache/tuscany/sca/core/invocation/JDKCallbackInvocationHandler.java|modules/core/src/main/java/org/apache/tuscany/sca/core/invocation/JDKInvocationHandler.java|modules/core/src/main/java/org/apache/tuscany/sca/core/invocation/JDKProxyFactory.java|modules/core/src/main/java/org/apache/tuscany/sca/core/invocation/ProxyFactory.java|,16,17,17,2008-02-09 21:15:20 +0000,2008-02-18 16:50:37 +0000,90d257962ec27e5b54bb3c5881cfb1577265f4dd,tuscany-sca-1.x
TUSCANY-2066,2008-03-07 19:12:19 +0000,itest/ws-void-args-return/src/main/java/voidtest/HelloWorldImpl.java|itest/ws-void-args-return/src/main/java/voidtest/HelloWorldService.java|itest/ws-void-args-return/src/main/java/voidtest/TestClientImpl.java|,16,17,17,2008-03-06 10:35:47 +0000,2008-03-07 19:08:22 +0000,0fc27f6aa756665dc9b8f82250a1b62da81309a3,tuscany-sca-1.x
