Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
WSS-140,2008-10-17 13:34:21 +0000,src/org/apache/ws/security/util/UUIDGenerator.java|,4,5,5,2008-08-11 17:19:56 +0000,2008-09-30 11:09:03 +0000,36feba9af1162eaca32209882e40ff03dde1b9a4,wss4j
WSS-260,2010-12-20 17:11:02 +0000,src/main/java/org/apache/ws/security/message/WSSecEncrypt.java|src/main/java/org/apache/ws/security/message/token/SecurityTokenReference.java|,10,11,11,2010-12-20 17:03:44 +0000,2010-12-20 17:05:21 +0000,cb48f32f7d53a6ba173f7ddcb9d57b63eed8bba5,wss4j
WSS-389,2012-05-03 09:38:41 +0000,src/main/java/org/apache/ws/security/message/token/Timestamp.java|src/main/java/org/apache/ws/security/message/token/UsernameToken.java|,18,19,19,2012-05-03 09:14:58 +0000,2012-05-03 09:15:57 +0000,f499703b68870b790159e0529b7da9d2d697ceea,wss4j
WSS-385,2012-04-17 16:37:39 +0000,src/main/java/org/apache/ws/security/message/token/UsernameToken.java|,17,19,19,2012-04-17 15:46:16 +0000,2012-04-17 16:36:26 +0000,94dd8ba6e395e84470e096fb2601bdcf59567e54,wss4j
WSS-142,2008-09-24 10:50:23 +0000,README.txt|lib/commons-httpclient-3.0-rc2.jar|lib/commons-logging-1.0.4.jar|lib/commons-logging-1.1.jar|lib/opensaml-1.0.1.jar|lib/opensaml-1.1.jar|wss4j-readme.html|,4,5,5,2008-09-23 13:43:27 +0000,2008-09-24 10:49:31 +0000,5a1326dd638f3521ae79863b3e4330226dd84467,wss4j
WSS-262,2010-12-24 10:56:55 +0000,src/main/java/org/apache/ws/security/message/token/Timestamp.java|src/test/java/org/apache/ws/security/message/TimestampTest.java|,10,11,11,2010-12-24 10:21:19 +0000,2010-12-24 10:41:15 +0000,5cea9e8699d437c7181395b8d4113f8ed9d73867,wss4j
WSS-141,2008-09-19 10:18:55 +0000,src/org/apache/ws/security/processor/UsernameTokenProcessor.java|test/wssec/TestWSSecurityNew5.java|,4,5,5,2008-09-17 12:27:18 +0000,2008-09-19 10:16:09 +0000,23544cd0a02edbb8c563cf597b54c01fdef3c0c5,wss4j
WSS-149,2008-10-17 09:49:33 +0000,src/org/apache/ws/security/components/crypto/AbstractCrypto.java|test/nofile.properties|test/wssec/TestWSSecurityNew.java|,4,5,5,2008-10-16 08:14:11 +0000,2008-10-16 16:22:12 +0000,255168f38d5c09a978faf749fa68589070d9dd77,wss4j
WSS-393,2012-06-21 08:45:37 +0000,src/main/java/org/apache/ws/security/saml/SAMLUtil.java|,19,20,20,2012-06-13 19:21:10 +0000,2012-06-14 09:11:36 +0000,ea4f1de06f5c0b65d225eff54b0751b07759b680,wss4j
WSS-392,2012-06-13 12:54:55 +0000,src/main/java/org/apache/ws/security/str/SignatureSTRParser.java|,19,20,20,2012-06-13 12:47:23 +0000,2012-06-13 12:47:54 +0000,cf1d1ab8f82ecacf4fd6f77fa54e7a30b2a0d898,wss4j
WSS-270,2011-02-10 12:42:35 +0000,src/main/java/org/apache/ws/security/WSConstants.java|src/main/java/org/apache/ws/security/message/token/Reference.java|src/main/java/org/apache/ws/security/message/token/SecurityTokenReference.java|src/main/java/org/apache/ws/security/processor/DerivedKeyTokenProcessor.java|src/main/java/org/apache/ws/security/processor/EncryptedKeyProcessor.java|src/main/java/org/apache/ws/security/processor/ReferenceListProcessor.java|src/main/java/org/apache/ws/security/processor/SAMLTokenProcessor.java|src/main/java/org/apache/ws/security/processor/SignatureConfirmationProcessor.java|src/main/java/org/apache/ws/security/processor/SignatureProcessor.java|src/main/java/org/apache/ws/security/processor/TimestampProcessor.java|src/main/java/org/apache/ws/security/processor/UsernameTokenProcessor.java|src/main/java/org/apache/ws/security/saml/SAMLUtil.java|src/main/java/org/apache/ws/security/str/DerivedKeyTokenSTRParser.java|src/main/java/org/apache/ws/security/str/EncryptedKeySTRParser.java|src/main/java/org/apache/ws/security/str/STRParser.java|src/main/java/org/apache/ws/security/str/SecurityTokenRefSTRParser.java|src/main/java/org/apache/ws/security/str/SignatureSTRParser.java|src/main/java/org/apache/ws/security/util/Base64.java|src/main/resources/org/apache/ws/security/errors.properties|src/test/java/org/apache/ws/security/message/token/SecurityTokenReferenceTest.java|,11,12,12,2011-02-10 12:31:39 +0000,2011-02-10 12:34:16 +0000,3077aa9a7b1c208b5bb6db4104f79af159e5550c,wss4j
WSS-390,2012-05-17 10:51:14 +0000,src/main/java/org/apache/ws/security/saml/ext/AssertionWrapper.java|,18,19,19,2012-05-17 10:16:51 +0000,2012-05-17 10:22:23 +0000,938e693b8e3f7c833aae93a70f00801cac0dc1f6,wss4j
WSS-399,2012-08-13 10:01:10 +0000,src/main/java/org/apache/ws/security/WSConstants.java|src/main/java/org/apache/ws/security/action/EncryptionAction.java|src/main/java/org/apache/ws/security/handler/RequestData.java|src/main/java/org/apache/ws/security/handler/WSHandler.java|src/main/java/org/apache/ws/security/handler/WSHandlerConstants.java|src/main/java/org/apache/ws/security/message/WSSecEncryptedKey.java|src/main/java/org/apache/ws/security/processor/EncryptedKeyProcessor.java|src/site/xdoc/config.xml|src/test/java/org/apache/ws/security/message/EncryptionTest.java|,20,21,21,2012-08-08 16:22:38 +0000,2012-08-13 09:57:09 +0000,0e1ffa3be3cbb264155fc9438a8861c63ad3db23,wss4j
WSS-398,2012-07-19 15:09:31 +0000,src/main/java/org/apache/ws/security/action/UsernameTokenAction.java|src/test/java/org/apache/ws/security/message/UsernameTokenTest.java|,19,20,20,2012-07-18 20:01:36 +0000,2012-07-19 15:08:22 +0000,31acabb13b66361c54ed87426b1e4639c79b8bda,wss4j
