Bug ID,Bug Resolution Date by Jira,Classes Touched by Last Fix,Earliest AV,Version of Ticket Creation,Version of Fix,Ticket Creation Date,Fix Date (of most recent commit),Hash (of most recent commit),Git Directory
ZOOKEEPER-2573,2017-01-25 12:52:27 +0000,build.xml|src/java/main/org/apache/zookeeper/Version.java|src/java/main/org/apache/zookeeper/version/util/VerGen.java|src/java/test/org/apache/zookeeper/VerGenTest.java|src/lastRevision.bat|src/lastRevision.sh|,26,28,28,2016-09-09 13:35:48 +0000,2017-01-25 17:30:56 +0530,8771ffdaacb87126a485ae740558f6a288ab980b,zookeeper
ZOOKEEPER-2574,2017-01-23 01:31:22 +0000,docs/index.pdf|docs/javaExample.pdf|docs/linkmap.pdf|docs/recipes.pdf|docs/zookeeperAdmin.html|docs/zookeeperAdmin.pdf|docs/zookeeperHierarchicalQuorums.pdf|docs/zookeeperInternals.pdf|docs/zookeeperJMX.pdf|docs/zookeeperObservers.pdf|docs/zookeeperOver.pdf|docs/zookeeperProgrammers.pdf|docs/zookeeperQuotas.pdf|docs/zookeeperReconfig.pdf|docs/zookeeperStarted.pdf|docs/zookeeperTutorial.pdf|src/docs/src/documentation/content/xdocs/zookeeperAdmin.xml|,22,28,31,2016-09-09 20:20:40 +0000,2017-11-15 12:27:10 -0800,efeebd0a1ba7f6be3b4ffe262ab4045656bb1eb3,zookeeper
ZOOKEEPER-2579,2016-09-18 21:37:06 +0000,CHANGES.txt|src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java|src/java/test/org/apache/zookeeper/server/ZooKeeperServerMainTest.java|,26,28,28,2016-09-13 20:49:38 +0000,2016-09-18 14:21:51 -0700,ec20c5434cc8a334b3fd25e27d26dccf4793c8f3,zookeeper
ZOOKEEPER-1007,2011-03-15 20:42:44 +0000,CHANGES.txt|src/c/src/zookeeper.c|,11,12,12,2011-03-04 21:42:58 +0000,2011-03-15 20:42:21 +0000,f28e66203772b3cbb5df1785b06eeda197b55d46,zookeeper
ZOOKEEPER-1489,2012-07-17 21:29:26 +0000,CHANGES.txt|src/java/main/org/apache/zookeeper/server/ZKDatabase.java|src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java|src/java/test/org/apache/zookeeper/server/TruncateCorruptionTest.java|src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerTestBase.java|src/java/test/org/apache/zookeeper/server/util/PortForwarder.java|src/java/test/org/apache/zookeeper/test/TruncateTest.java|,16,18,18,2012-06-18 09:09:37 +0000,2012-07-17 21:25:11 +0000,43eedab16b074f7b87da98ac0af60092bb0c52fd,zookeeper
ZOOKEEPER-831,2010-09-17 16:59:19 +0000,CHANGES.txt|src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerHandle.java|src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/PendingReadOp.java|src/contrib/bookkeeper/test/org/apache/bookkeeper/test/BookieReadWriteTest.java|,9,10,10,2010-08-04 21:25:16 +0000,2010-09-17 16:58:07 +0000,e1109ed7d6353fae077e81d2cdb010b570677ee3,zookeeper
ZOOKEEPER-1493,2012-07-29 05:35:34 +0000,CHANGES.txt|src/c/src/zookeeper.c|,16,18,18,2012-06-20 20:47:58 +0000,2012-07-29 05:31:15 +0000,3c906d668041a13fc6ff4ccf5ab7b9a6c85eda0f,zookeeper
ZOOKEEPER-1494,2012-09-10 07:04:28 +0000,CHANGES.txt|src/c/src/zookeeper.c|,15,18,19,2012-06-22 19:56:13 +0000,2012-09-10 07:00:50 +0000,af4a92d88c39345f02edf77d5742da0407675b3a,zookeeper
ZOOKEEPER-2581,2017-09-11 20:57:03 +0000,src/java/main/org/apache/zookeeper/server/auth/X509AuthenticationProvider.java|,23,28,30,2016-09-14 07:12:58 +0000,2017-09-11 13:56:46 -0700,ef8b751c491bbc57b628ea9685a774fe40ba43dc,zookeeper
ZOOKEEPER-2563,2019-07-17 11:42:56 +0000,zookeeper-docs/src/main/resources/markdown/zookeeperCLI.md|zookeeper-docs/src/main/resources/markdown/zookeeperQuotas.md|zookeeper-server/src/main/java/org/apache/zookeeper/ZooKeeperMain.java|zookeeper-server/src/main/java/org/apache/zookeeper/cli/SetQuotaCommand.java|zookeeper-server/src/test/java/org/apache/zookeeper/test/QuorumQuotaTest.java|zookeeper-server/src/test/java/org/apache/zookeeper/test/ZooKeeperQuotaTest.java|,23,28,36,2016-09-08 06:19:59 +0000,2019-07-17 13:42:32 +0200,a6c36b69cc72d7d67e392dab5360007d6f737bef,zookeeper
