Index,Version ID,Version Name,Date
1,12330282,1.0-alpha-5,2007-08-24T00:00
2,12330283,1.0-alpha-6,2007-08-25T00:00
3,12330284, 1.0-alpha-7,2007-08-30T00:00
4,12330286,2.0-alpha-1,2008-02-08T00:00
5,12330287,2.0-alpha-2,2008-02-18T00:00
6,12330288,2.0-alpha-3,2008-04-28T00:00
7,12330289,2.0-alpha-4,2008-09-26T00:00
8,12330290,2.0-alpha-5,2010-04-23T00:00
9,12330291,2.0,2010-10-28T00:00
10,12330292,2.1,2011-09-04T00:00
11,12330293,2.2,2011-11-23T00:00
12,12330294,2.3,2015-03-13T00:00
13,12330295,2.4,2015-08-15T00:00
14,12345450,3.1.1,2016-06-17T00:00
15,12330297,3.0.0,2017-02-12T00:00
16,12339582,3.0.1,2017-04-11T00:00
17,12340346,3.1.0,2019-04-30T00:00
18,12345957,3.1.2,2019-08-22T00:00
