Index,Version ID,Version Name,Date
1,12310712,M0.1,2005-11-25T00:00
2,12310713,M0.2,2005-12-07T00:00
3,12310714,M0.3,2006-02-01T00:00
4,12310770,M0.4,2006-02-17T00:00
5,12310850,M0.5,2006-03-11T00:00
6,12310890,0.90,2006-03-31T00:00
7,12310921,0.91,2006-05-12T00:00
8,12311020,0.92,2006-06-16T00:00
9,12311943,0.93,2006-08-31T00:00
10,12311944,0.94,2006-09-30T00:00
11,12312095,0.95,2006-10-27T00:00
12,12312153,0.96,2006-12-22T00:00
13,12312211,1.0.0,2007-04-30T00:00
14,12312520,1.1.0,2007-09-30T00:00
15,12312811,1.2.0,2008-01-18T00:00
16,12312953,1.3.0,2008-03-04T00:00
17,12313091,1.4.0,2008-05-07T00:00
18,12313124,1.4.1,2008-06-30T00:00
19,12313320,1.5.0,2008-07-21T00:00
20,12313547,1.6.0,2009-04-22T00:00
