Index,Version ID,Version Name,Date
1,10462,beta-1,2002-03-15T00:00
2,10464,beta-2,2002-04-29T00:00
3,10466,beta-3,2002-07-09T00:00
4,10467,1.0-rc1,2002-09-06T00:00
5,10468,1.0-rc2,2002-09-30T00:00
6,10469,1.0,2002-10-07T00:00
7,10470,1.1beta,2002-12-03T00:00
8,10472,1.1RC1,2003-02-09T00:00
9,10473,1.1rc2,2003-03-05T00:00
10,10471,1.1,2003-06-16T00:00
11,10474,1.2 Alpha,2003-12-01T00:00
12,10630,1.2 Beta,2004-04-01T00:00
13,10923,1.2RC1,2004-09-30T00:00
14,10924,1.2RC2,2004-11-17T00:00
15,11094,1.2RC3,2005-03-01T00:00
16,10971,1.2,2005-05-04T00:00
17,11183,1.2.1,2005-06-15T00:00
18,12310372,1.3,2005-10-11T00:00
19,12310993,1.4,2006-04-22T00:00
