Index,Version ID,Version Name,Date
1,12313759,3.0M6,2009-05-25T00:00
2,12313971,3.0 beta 1,2009-11-09T00:00
3,12314338,3.0RC1,2010-01-06T00:00
4,12314495,3.0RC2,2010-02-05T00:00
5,12314731,3.0RC3,2010-04-03T00:00
6,12313760,3.0,2010-05-07T00:00
7,12314876,3.0.1,2010-09-07T00:00
8,12314299,3.1M1,2010-12-02T00:00
9,12315560,3.1M2,2011-03-08T00:00
10,12315325,3.0.2,2011-06-19T00:00
11,12316228,3.1M3,2011-09-22T00:00
12,12317958,3.1B1,2012-06-11T00:00
13,12321877,3.1B2,2013-02-18T00:00
14,12321697,3.2.M1,2013-07-16T00:00
15,12324064,3.1RC1,2014-02-16T00:00
16,12316229,3.1,2014-09-29T00:00
17,12324653,4.0.M2,2015-03-19T00:00
18,12327645,4.0.M3,2016-02-12T00:00
19,12328741,3.1.1,2016-05-16T00:00
20,12334861,4.0.M4,2016-12-15T00:00
21,12338835,4.0.M5,2017-03-06T00:00
22,12339961,4.0.B1,2017-06-12T00:00
23,12341597,4.0.B2,2017-10-07T00:00
24,12340850,4.1.M1,2017-10-14T00:00
25,12335813,3.1.2,2017-11-20T00:00
26,12341655,4.0.RC1,2018-04-25T00:00
27,12341840,4.1.M2,2018-07-23T00:00
28,12343108,4.0,2018-08-20T00:00
29,12343980,4.0.1,2018-12-28T00:00
30,12343776,4.1.B1,2019-03-14T00:00
31,12345147,4.1.B2,2019-05-13T00:00
