Index,Version ID,Version Name,Date
1,12330082,1.0-alpha-1,2005-04-26T00:00
2,12330085,1.0-alpha-4,2005-09-20T00:00
3,12330086,1.0-beta-1,2005-10-07T00:00
4,12330087,1.0,2005-10-25T00:00
5,12330088,1.0.1,2005-11-16T00:00
6,12330089,1.0.2,2005-12-09T00:00
7,12330090,1.0.3,2006-04-25T00:00
8,12330091,1.1-alpha-1,2007-04-20T00:00
9,12330092,1.1-alpha-2,2007-05-30T00:00
10,12330093,1.1-beta-1,2007-07-24T00:00
11,12330094,1.1-beta-2,2007-08-17T00:00
12,12330095,1.1-beta-3,2007-09-25T00:00
13,12330096,1.1-beta-4,2007-10-30T00:00
14,12330097,1.1,2007-11-23T00:00
15,12330098,1.2,2008-09-22T00:00
16,12330099,1.2.1,2008-10-27T00:00
17,12330100,1.2.2,2008-11-02T00:00
18,12330101,1.2.3,2009-01-13T00:00
19,12330103,1.3.1 (Alpha),2009-01-21T00:00
20,12330102,1.2.3.1,2009-02-25T00:00
21,12330104,1.3.2 (Beta),2009-03-26T00:00
22,12330105,1.3.3 (Beta),2009-05-29T00:00
23,12330106,1.3.4 (Beta),2009-09-04T00:00
24,12330107,1.3.5 (Beta),2010-01-19T00:00
25,12330108,1.3.6,2010-03-14T00:00
26,12330111,1.4.0 (Beta),2010-05-06T00:00
27,12330109,1.3.7,2011-02-11T00:00
28,12330110,1.3.8,2011-09-18T00:00
29,12330112,1.4.1,2013-01-07T00:00
30,12330113,1.4.2,2014-06-13T00:00
