Index,Version ID,Version Name,Date
1,12330547,1.0-alpha-9,2007-09-12T00:00
2,12330548,1.0-alpha-10,2007-11-02T00:00
3,12330549,1.0-alpha-11,2008-05-15T00:00
4,12330550,1.0,2009-02-19T00:00
5,12330551,1.1,2009-03-07T00:00
6,12330552,1.1.1,2009-06-24T00:00
7,12330553,1.1.2,2009-12-06T00:00
8,12330554,1.1.3,2010-05-27T00:00
9,12330555,1.1.4,2010-11-19T00:00
10,12330556,1.2,2011-04-29T00:00
11,12330557,1.3,2012-04-13T00:00
12,12330558,1.4,2013-04-27T00:00
13,12330559,1.5,2013-11-17T00:00
14,12330560,1.6,2014-06-27T00:00
15,12330561,1.7,2016-02-09T00:00
16,12334847,1.8,2017-12-21T00:00
17,12342342,1.9,2019-05-30T00:00
