Index,Version ID,Version Name,Date
1,12331788,1.0-beta-1,2003-12-13T00:00
2,12331789,1.0-beta-2,2003-12-27T00:00
3,12331790,1.0-beta-3,2004-01-23T00:00
4,12331791,1.0-beta-4,2004-03-12T00:00
5,12331792,1.0-beta-5,2004-05-12T00:00
6,12331793,1.0-beta-6,2004-07-15T00:00
7,12331794,1.0-beta-7,2004-09-29T00:00
8,12331795,1.0-beta-8,2004-12-20T00:00
9,12331796,1.0-beta-9,2005-01-12T00:00
10,12331797,1.0-beta-10,2005-02-28T00:00
11,12331798,1.0-JSR-1,2005-04-06T00:00
12,12331799,1.0-JSR-2,2005-06-15T00:00
13,12331800,1.0-JSR-3,2005-08-16T00:00
14,12331801,1.0-JSR-4,2005-11-21T00:00
15,12331802,1.0-JSR-5,2006-02-13T00:00
16,12331803,1.0-JSR-6,2006-06-28T00:00
17,12331804,1.0-RC-1,2006-12-04T00:00
18,12331805,1.0-RC-2,2006-12-23T00:00
19,12331806,1.0,2007-01-03T00:00
20,12331807,1.1-beta-1,2007-05-01T00:00
21,12331808,1.1-beta-2,2007-07-05T00:00
22,12331809,1.1-beta-3,2007-09-20T00:00
23,12331810,1.1-rc-1,2007-10-12T00:00
24,12331811,1.1-rc-2,2007-11-02T00:00
25,12331812,1.1-rc-3,2007-11-28T00:00
26,12331813,1.5,2007-12-07T00:00
27,12331814,1.5.1,2007-12-21T00:00
28,12331815,1.5.2,2008-01-29T00:00
29,12331816,1.5.3,2008-01-31T00:00
30,12331817,1.5.4,2008-02-01T00:00
31,12331818,1.5.5,2008-04-14T00:00
32,12331819,1.5.6,2008-04-25T00:00
33,12331820,1.6-beta-1,2008-05-02T00:00
34,12331822,1.6-beta-2,2008-10-09T00:00
35,12331823,1.6-rc-1,2008-12-22T00:00
36,12331824,1.6-rc-2,2009-01-22T00:00
37,12331825,1.6-rc-3,2009-02-09T00:00
38,12331826,1.6,2009-02-18T00:00
39,12331828,1.5.8,2009-04-07T00:00
40,12331829,1.6.2,2009-04-24T00:00
41,12331830,1.6.3,2009-05-13T00:00
42,12331832,1.7-beta-1,2009-07-31T00:00
43,12331833,1.6.5,2009-10-02T00:00
44,12331834,1.7-beta-2,2009-10-12T00:00
45,12331836,1.7-rc-1,2009-11-27T00:00
46,12331837,1.6.7,2009-12-02T00:00
47,12331839,1.7-rc-2,2009-12-09T00:00
48,12331840,1.7.0,2009-12-22T00:00
49,12331841,1.7.1,2010-02-19T00:00
50,12331842,1.7.2,2010-04-07T00:00
51,12331843,1.7.3,2010-06-14T00:00
52,12331844,1.6.9,2010-06-16T00:00
53,12331846,1.8-beta-1,2010-07-22T00:00
54,12331848,1.8-beta-2,2010-09-16T00:00
55,12331850,1.8-beta-3,2010-12-15T00:00
56,12331852,1.8-beta-4,2011-02-04T00:00
57,12331853,1.7.8,2011-02-15T00:00
58,12331854,1.8-rc-1,2011-02-18T00:00
59,12331856,1.7.9,2011-03-09T00:00
60,12331858,1.8-rc-3,2011-03-17T00:00
61,12331859,1.8-rc-4,2011-04-13T00:00
62,12331860,1.8.0,2011-04-27T00:00
63,12331862,1.9-beta-1,2011-07-21T00:00
64,12331864,1.9-beta-3,2011-09-05T00:00
65,12331866,1.9-beta-4,2011-10-12T00:00
66,12331868,2.0-beta-1,2011-11-09T00:00
67,12331870,2.0-beta-2,2011-12-23T00:00
68,12331871,1.8.6,2012-02-09T00:00
69,12331872,2.0-beta-3,2012-05-07T00:00
70,12331873,2.0-rc-1,2012-05-31T00:00
71,12331874,2.0-rc-2,2012-06-01T00:00
72,12331875,2.0-rc-3,2012-06-14T00:00
73,12331876,2.0-rc-4,2012-06-21T00:00
74,12331877,2.0.0,2012-06-28T00:00
75,12331880,2.0.1,2012-07-25T00:00
76,12331882,2.0.2,2012-09-10T00:00
77,12331883,2.0.4,2012-09-21T00:00
78,12331884,2.0.5,2012-10-04T00:00
79,12331886,2.1.0-beta-1,2012-12-21T00:00
80,12331887,2.1.0-rc-1,2013-01-10T00:00
81,12331888,2.1.0-rc-2,2013-01-18T00:00
82,12331889,2.1.0-rc-3,2013-01-21T00:00
83,12331890,2.1.0,2013-01-24T00:00
84,12331893,2.1.1,2013-02-15T00:00
85,12331894,2.1.2,2013-03-19T00:00
86,12331896,2.1.3,2013-04-12T00:00
87,12331897,2.1.4,2013-05-31T00:00
88,12331898,2.1.5,2013-06-14T00:00
89,12331900,2.2.0-beta-1,2013-07-09T00:00
90,12331902,2.2.0-beta-2,2013-09-06T00:00
91,12331904,2.2.0-rc-1,2013-10-14T00:00
92,12331906,2.2.0-rc-2,2013-10-29T00:00
93,12331907,2.2.0-rc-3,2013-11-06T00:00
94,12331908,2.2.0,2013-11-18T00:00
95,12331909,2.2.1,2013-11-26T00:00
96,12331910,2.2.2,2014-02-26T00:00
97,12331911,2.3.0-beta-1,2014-04-04T00:00
98,12331912,2.3.0-beta-2,2014-04-10T00:00
99,12331913,2.3.0-rc-1,2014-04-24T00:00
100,12331914,2.3.0-rc-2,2014-04-28T00:00
101,12331915,2.3.0-rc-4,2014-05-01T00:00
102,12331916,2.3.0,2014-05-05T00:00
103,12331917,2.3.1,2014-05-19T00:00
104,12331918,2.3.2,2014-05-28T00:00
105,12331921,2.2.3,2014-06-11T00:00
106,12331922,2.3.4,2014-07-08T00:00
107,12331923,2.3.5,2014-07-25T00:00
108,12331931,2.4.0-beta-2,2014-07-28T00:00
109,12331932,2.4.0-beta-3,2014-09-02T00:00
110,12331925,2.3.7,2014-09-25T00:00
111,12331933,2.4.0-beta-4,2014-11-26T00:00
112,12331926,2.3.8,2014-11-28T00:00
113,12331927,2.3.9,2014-12-19T00:00
114,12331934,2.4.0-rc-1,2014-12-24T00:00
115,12331935,2.4.0-rc-2,2015-01-07T00:00
116,12331936,2.4.0,2015-01-21T00:00
117,12331937,2.4.1,2015-02-18T00:00
118,12331938,2.4.2,2015-03-19T00:00
119,12331940,2.4.3,2015-03-23T00:00
120,12331941,2.4.4,2015-07-09T00:00
121,12332749,2.4.5,2015-09-17T00:00
122,12333530,2.4.6,2016-02-22T00:00
123,12334898,2.4.7,2016-06-03T00:00
124,12335950,2.4.8,2017-01-10T00:00
125,12339147,2.4.9,2017-02-24T00:00
126,12339743,2.4.10,2017-03-15T00:00
127,12338913,2.5.0-alpha-1,2017-03-30T00:00
128,12340047,2.4.11,2017-04-27T00:00
129,12331949,2.5.0-beta-1,2017-06-02T00:00
130,12340472,2.4.12,2017-06-21T00:00
131,12340456,2.6.0-alpha-1,2017-08-30T00:00
132,12340842,2.5.0-beta-2,2017-10-02T00:00
133,12341386,2.6.0-alpha-2,2017-11-11T00:00
134,12341014,2.4.13,2017-11-19T00:00
135,12331946,3.0.0-alpha-1,2017-11-25T00:00
136,12341721,2.5.0-beta-3,2018-02-20T00:00
137,12342217,2.4.14,2018-02-24T00:00
138,12342190,2.6.0-alpha-3,2018-03-03T00:00
139,12342853,2.4.15,2018-03-23T00:00
