Index,Version ID,Version Name,Date
1,12311040,4.0-alpha1,2006-04-23T00:00
2,12311041,4.0-alpha2,2006-06-08T00:00
3,12311940,4.0-alpha3,2006-12-08T00:00
4,12312212,4.0-alpha4,2007-03-30T00:00
5,12312297,4.0-alpha5,2007-07-04T00:00
6,12312444,4.0-alpha6,2007-10-09T00:00
7,12312574,4.0-beta1,2008-01-24T00:00
8,12312939,4.0-beta2,2008-06-22T00:00
9,12313308,4.0-beta3,2008-10-19T00:00
10,12313121,4.0,2009-02-26T00:00
11,12314018,4.0.1,2009-06-22T00:00
12,12314094,4.1-alpha1,2009-09-12T00:00
13,12314246,4.1-beta1,2010-04-03T00:00
14,12315267,4.1-beta2,2010-08-30T00:00
15,12313548,4.1,2010-11-19T00:00
16,12315578,4.1.1,2011-05-20T00:00
17,12316530,4.1.2,2011-07-18T00:00
18,12317340,4.1.3,2011-07-31T00:00
19,12316449,4.2-alpha1,2011-08-18T00:00
20,12317640,4.2-alpha2,2011-09-23T00:00
21,12317587,4.1.4,2011-12-23T00:00
22,12317978,4.2-beta1,2012-02-01T00:00
23,12316361,4.2,2012-05-05T00:00
24,12321245,4.2.1,2012-06-14T00:00
25,12321876,4.2.2,2012-09-22T00:00
26,12322499,4.3-alpha1,2012-11-30T00:00
27,12323289,4.2.3,2012-12-02T00:00
28,12323586,4.3-beta1,2013-03-25T00:00
29,12324270,4.3-beta2,2013-05-08T00:00
30,12320543,4.3,2013-08-05T00:00
31,12324820,4.3.1,2013-12-27T00:00
32,12325844,4.3.2,2014-02-17T00:00
33,12326045,4.4-alpha1,2014-06-18T00:00
34,12327140,4.4-beta1,2014-09-22T00:00
35,12326260,4.3.3,2014-10-22T00:00
36,12324871,4.4,2014-12-17T00:00
37,12329440,4.4.1,2015-03-20T00:00
38,12332049,4.4.3,2015-09-11T00:00
39,12333392,4.4.4,2015-11-04T00:00
40,12329047,5.0-alpha1,2016-01-04T00:00
41,12334619,4.4.5,2016-06-10T00:00
42,12334601,5.0-alpha2,2016-12-27T00:00
43,12336079,4.4.6,2017-01-12T00:00
44,12339186,5.0-alpha3,2017-05-02T00:00
45,12340485,5.0-alpha4,2017-09-04T00:00
46,12339185,4.4.7,2017-09-14T00:00
47,12341624,4.4.8,2017-10-07T00:00
48,12341427,5.0-beta1,2017-11-06T00:00
49,12342148,5.0-beta2,2018-01-15T00:00
50,12341719,4.4.9,2018-01-22T00:00
51,12342713,4.4.10,2018-07-03T00:00
52,12344345,5.0-beta5,2018-10-22T00:00
53,12344346,5.0-beta6,2018-12-06T00:00
54,12343578,4.4.11,2019-01-21T00:00
55,12344614,5.0-beta7,2019-03-04T00:00
56,12345054,5.0-beta8,2019-07-15T00:00
