Index,Version ID,Version Name,Date
1,12328891,sprint-1,2015-02-18T00:00
2,12339765,1.0,2015-04-02T00:00
3,12328995,sprint-3,2015-04-13T00:00
4,12331986,sprint-3-p1,2015-04-23T00:00
5,12329576,sprint-4,2015-05-07T00:00
6,12329577,sprint-5,2015-06-18T00:00
7,12332817,1.1.4,2015-06-22T00:00
8,12337345,1.4,2015-09-28T00:00
9,12333116,1.5.0.final,2016-01-04T00:00
10,12333118,1.6,2016-05-23T00:00
11,12334268,1.7,2016-08-05T00:00
12,12336946,1.8,2016-12-09T00:00
13,12338378,1.9,2017-03-07T00:00
14,12337947,2.0,2017-05-03T00:00
15,12338223,2.1,2017-07-27T00:00
16,12338224,2.2,2017-09-22T00:00
17,12338225,2.3,2017-10-31T00:00
18,12341667,2.4,2018-03-12T00:00
19,12342246,2.5,2018-05-29T00:00
20,12343002,2.6,2018-07-16T00:00
21,12343446,2.7,2018-12-05T00:00
22,12345188,2.7.5,2019-06-04T00:00
