Index,Version ID,Version Name,Date
1,12340142,Impala 0.1,2012-10-24T00:00
2,12340143,Impala 0.2,2012-11-13T00:00
3,12340144,Impala 0.3,2012-12-04T00:00
4,12340145,Impala 0.4,2013-01-20T00:00
5,12340146,Impala 0.5,2013-02-04T00:00
6,12340147,Impala 0.6,2013-02-26T00:00
7,12340148,Impala 0.7,2013-04-15T00:00
8,12340149,Impala 1.0,2013-04-30T00:00
9,12340150,Impala 1.0.1,2013-06-04T00:00
10,12340151,Impala 1.1,2013-07-23T00:00
11,12340152,Impala 1.1.1,2013-08-27T00:00
12,12340153,Impala 1.2,2013-10-28T00:00
13,12340154,Impala 1.2.1,2013-11-25T00:00
14,12340155,Impala 1.2.2,2013-12-17T00:00
15,12340156,Impala 1.2.3,2013-12-23T00:00
16,12340158,Impala 1.3,2014-03-06T00:00
17,12340159,Impala 1.3.1,2014-05-01T00:00
18,12340160,Impala 1.4,2014-07-17T00:00
19,12340162,Impala 1.4.1,2014-08-28T00:00
20,12340164,Impala 2.0,2014-10-14T00:00
21,12340165,Impala 2.0.1,2014-12-02T00:00
22,12340166,Impala 2.1,2014-12-22T00:00
23,12340167,Impala 2.1.1,2015-02-03T00:00
24,12340168,Impala 2.2,2015-04-23T00:00
25,12340173,Impala 2.2.1,2015-05-01T00:00
26,12340174,Impala 2.2.2,2015-05-15T00:00
27,12340175,Impala 2.2.3,2015-06-01T00:00
28,12340176,Impala 2.2.4,2015-07-09T00:00
29,12340186,Kudu_Impala,2015-10-01T00:00
30,12340207,Impala 2.7.1,2016-10-15T00:00
31,12340200,Impala 2.8.0,2017-01-23T00:00
32,12340208,Impala 2.9.0,2017-06-15T00:00
33,12340209,Impala 2.10.0,2017-09-13T00:00
34,12341093,Impala 2.11.0,2018-01-18T00:00
35,12342208,Impala 2.12.0,2018-04-24T00:00
36,12340181,Impala 3.0,2018-05-07T00:00
37,12343036,Impala 3.1.0,2018-12-06T00:00
38,12344168,Impala 3.2.0,2019-03-28T00:00
