Index,Version ID,Version Name,Date
1,12325964,Initial Clearing,2014-01-01T00:00
2,12325963,20140122,2014-01-22T00:00
3,12326266,Feb 2014,2014-02-17T00:00
4,12326536,Mar 2014,2014-03-19T00:00
5,12326764,Apr 2013,2014-04-19T00:00
6,12327119,May 2014,2014-06-14T00:00
7,12327447,Jul 2014,2014-07-20T00:00
8,12327853,Aug 2014,2014-08-22T00:00
9,12328827,Sep 2014,2014-09-16T00:00
10,12328828,Oct 2014,2014-10-12T00:00
11,12334279,Nov 2014,2014-12-01T00:00
12,12334281,Dec 2014,2015-01-01T00:00
13,12334282,Jan 2015,2015-02-01T00:00
14,12334283,Feb 2015,2015-03-01T00:00
15,12334284,Mar 2015,2015-04-01T00:00
16,12334285,Apr 2015,2015-05-01T00:00
17,12334286,May 2015,2015-06-01T00:00
18,12334287,Jun 2015,2015-07-01T00:00
19,12334288,Jul 2015,2015-08-01T00:00
20,12334289,Aug 2015,2015-09-01T00:00
21,12334290,Sep 2015,2015-10-01T00:00
22,12334291,Oct 2015,2015-11-01T00:00
23,12334292,Nov 2015,2015-12-01T00:00
24,12334293,Dec 2015,2016-01-01T00:00
25,12334620,Jan 2016,2016-02-01T00:00
26,12334621,Feb 2016,2016-03-01T00:00
27,12334935,Mar 2016,2016-04-01T00:00
28,12334936,Apr 2016,2016-05-01T00:00
29,12334937,May 2016,2016-06-01T00:00
30,12340963,Jun 2016,2016-07-01T00:00
31,12340964,Jul 2016,2016-08-01T00:00
32,12340965,Aug 2016,2016-09-01T00:00
33,12340966,Sep 2016,2016-10-01T00:00
34,12340967,Oct 2016,2016-11-01T00:00
35,12340968,Nov 2016,2016-12-01T00:00
36,12340969,Dec 2016,2017-01-01T00:00
37,12340971,Jan 2017,2017-02-01T00:00
38,12340972,Feb 2017,2017-03-01T00:00
39,12340973,Mar 2017,2017-04-01T00:00
40,12340974,Apr 2017,2017-05-01T00:00
41,12340975,May 2017,2017-06-01T00:00
42,12341040,Jun 2017,2017-06-30T00:00
43,12340977,Jul 2017,2017-08-01T00:00
44,12342045,Aug 2017,2017-09-01T00:00
45,12342046,Sep 2017,2017-10-01T00:00
46,12342050,Oct 2017,2017-11-01T00:00
47,12342051,Nov 2017,2017-12-01T00:00
48,12342052,Dec 2017,2018-01-01T00:00
49,12343955,Jan 2018,2018-02-01T00:00
50,12343956,Feb 2018,2018-03-01T00:00
51,12343957,Mar 2018,2018-04-01T00:00
52,12343958,Apr 2018,2018-05-01T00:00
53,12343959,May 2018,2018-06-01T00:00
54,12343960,Jun 2018,2018-07-01T00:00
55,12343961,Jul 2018,2018-08-01T00:00
56,12343962,Aug 2018,2018-09-01T00:00
57,12343963,Sep 2018,2018-10-01T00:00
